LEGACY_TAX_CATEGORY	APPLICATION	TAX_CATEGORY	TAX_CATEGORY_TXT_GBL	TAX_CATEGORY_TXT_LCL	DI_TIMESTAMP										
Y101	KA	Y101	Material overhead	Material-GK	2017.07.06 08:56:49										
Y102	KA	Y102	Production overhead	Fertigungs-GK	2017.07.06 08:56:49										
Y103	KA	Y103	Administration ovh	Verwaltungs-GK	2017.07.06 08:56:49										
Y104	KA	Y104	Sales overhead	Vertriebs-GK	2017.07.06 08:56:49										
Y171	KA	Y171	Material overhead-US	Material-GK - US	2017.07.06 08:56:49										
Y172	KA	Y172	Production ovh-US	Fertigungs-GK - US	2017.07.06 08:56:49										
Y173	KA	Y173	Admin. overhead-US	Verwaltungs-GK - US	2017.07.06 08:56:49										
Y174	KA	Y174	Sales overhead-US	Vertriebs-GK - US	2017.07.06 08:56:49										
DCD1	M	DCD1	Cash Discount 1	Skonto 1	2017.07.06 08:56:49										
DRG1	M	DRG1	% Gross Amount 1	% Bruttobetrag 1	2017.07.06 08:56:49										
DRN1	M	DRN1	% Net Amount 1	% Nettobetrag 1	2017.07.06 08:56:49										
DRQ1	M	DRQ1	+/- as to Quantity 1	+/- bzgl. Menge 1	2017.07.06 08:56:49										
DRV1	M	DRV1	Fixed Amount 1	Festbetrag 1	2017.07.06 08:56:49										
DRW1	M	DRW1	+/- as to Grss Wght	+/- bzgl. Bruttogew.	2017.07.06 08:56:49										
FGW1	M	FGW1	Freight/Gr. Weight 1	Fracht/BruGewicht 1	2017.07.06 08:56:49										
FQU1	M	FQU1	Freight/Quantity 1	Fracht/Menge 1	2017.07.06 08:56:49										
FVA1	M	FVA1	Freight/Value 1	Fracht/Wert 1	2017.07.06 08:56:49										
GRWR	M	GRWR	Statistical Value	Statistischer Wert	2017.07.06 08:56:49										
GWLB	M	GWLB	Stat. Val. LB-Comp.	Stat. Wrt LB-Kompon.	2017.07.06 08:56:49										
PMP0	M	PMP0	Manual Gross Price	Bruttopreis manuell	2017.07.06 08:56:49										
PPR0	M	PPR0	Default Gross Price	Standardbruttopreis	2017.07.06 08:56:49										
TTX1	M	TTX1	Non-Deductible Tax	Nicht abzugsf. St.	2017.07.06 08:56:49										
AP1E	TX	AP1E	A/P Sales Tax 1 Exp.	KR Umsatzst. 1 Befr.	2017.07.06 08:56:49										
AP1I	TX	AP1I	A/P Sales Tax 1 Inv.	KR Umsatzst. 1 Best.	2017.07.06 08:56:49										
AP1U	TX	AP1U	A/P Sales Tax 1 Use	KR Umsatzst. 1 Verw.	2017.07.06 08:56:49										
AP2E	TX	AP2E	A/P Sales Tax 2 Exp.	KR Umsatzst. 2 Befr.	2017.07.06 08:56:49										
AP2I	TX	AP2I	A/P Sales Tax 2 Inv.	KR Umsatzst. 2 Best.	2017.07.06 08:56:49										
AP2U	TX	AP2U	A/P Sales Tax 2 Use	KR Umsatzst. 2 Verw.	2017.07.06 08:56:49										
AP3E	TX	AP3E	A/P Sales Tax 3 Exp.	KR Umsatzst. 3 Befr.	2017.07.06 08:56:49										
AP3I	TX	AP3I	A/P Sales Tax 3 Inv.	KR Umsatzst. 3 Best.	2017.07.06 08:56:49										
AP3U	TX	AP3U	A/P Sales Tax 3 Use	KR Umsatzst. 3 Verw.	2017.07.06 08:56:49										
AP4E	TX	AP4E	A/P Sales Tax 4 Exp.	KR Umsatzst. 4 Befr.	2017.07.06 08:56:49										
AP4I	TX	AP4I	A/P Sales Tax 4 Inv.	KR Umsatzst. 4 Best.	2017.07.06 08:56:49										
AP4U	TX	AP4U	A/P Sales Tax 4 Use	KR Umsatzst. 4 Verw.	2017.07.06 08:56:49										
AR1	TX	AR1	A/R Sales Tax 1	DE Umsatzsteuer 1	2017.07.06 08:56:49										
AR2	TX	AR2	A/R Sales Tax 2	DE Umsatzsteuer 2	2017.07.06 08:56:49										
AR3	TX	AR3	A/R Sales Tax 3	DE Umsatzsteuer 3	2017.07.06 08:56:49										
AR4	TX	AR4	A/R Sales Tax 4	DE Umsatzsteuer 4	2017.07.06 08:56:49										
ARSD	TX	ARSD	Sls Tax SD Interface	Umsatzsteuer SD-Sch.	2017.07.06 08:56:49										
B100	TX	B100	Convenio 100	Convenio 100	2017.07.06 08:56:49										
BASB	TX	BASB	Base Amount	Basisbetrag	2017.07.06 08:56:49										
BASI	TX	BASI	Base Amount	Basisbetrag	2017.07.06 08:56:49										
BCI1	TX	BCI1	ICMS Complement Base	ICMS Ergänzungsbasis	2017.07.06 08:56:49										
BCI2	TX	BCI2	ICMS Complem. Exempt	ICMS Ergänz. befreit	2017.07.06 08:56:49										
BCI3	TX	BCI3	ICMS Complement Rate	ICMS Ergänzungssatz	2017.07.06 08:56:49										
BCO1	TX	BCO1	COFINS Rate	COFINS Satz	2017.07.06 08:56:49										
BCO2	TX	BCO2	COFINS Base	COFINS Basis	2017.07.06 08:56:49										
BCO3	TX	BCO3	COFINS Rate	COFINS Satz	2017.07.06 08:56:49										
BCO4	TX	BCO4	COFINS Pauta Amount	COFINS Pauta-Betrag	2017.07.06 08:56:49										
BCOP	TX	BCOP	COFINS Pauta Amount	COFINS Pauta-Betrag	2017.07.06 08:56:49										
BDIS	TX	BDIS	Discounting	Diskontierung	2017.07.06 08:56:49										
BFI1	TX	BFI1	ICMS Base Reduction	ICMS Basisreduktion	2017.07.06 08:56:49										
BFI2	TX	BFI2	ICMS Base Reduction	ICMS Basisreduktion	2017.07.06 08:56:49										
BFI3	TX	BFI3	ICMS Conh O.Bas Flag	ICMS Conh O.Bas Kz.	2017.07.06 08:56:49										
BFRE	TX	BFRE	Freight	Fracht	2017.07.06 08:56:49										
BI00	TX	BI00	Dummy Non-Statistic	Dummy Nicht statist.	2017.07.06 08:56:49										
BIC0	TX	BIC0	ICMS Rate	ICMS Satz	2017.07.06 08:56:49										
BIC1	TX	BIC1	ICMS Base Reduction	ICMS Basisreduktion	2017.07.06 08:56:49										
BIC2	TX	BIC2	ICMS Other Base Flag	ICMS Sonst. Basis-Kz	2017.07.06 08:56:49										
BIC3	TX	BIC3	ICMS Rate * Base	ICMS Satz * Basis	2017.07.06 08:56:49										
BIC5	TX	BIC5	ICMS Rate * 10^n	ICMS Satz * 10^n	2017.07.06 08:56:49										
BIC6	TX	BIC6	ICMS Base	ICMS Basis	2017.07.06 08:56:49										
BIC7	TX	BIC7	ICMS Exclude Base	ICMS Basis ausschl.	2017.07.06 08:56:49										
BIC9	TX	BIC9	ICMS Ind.Calc.Base	ICMS Kz. BerechnBas.	2017.07.06 08:56:49										
BICA	TX	BICA	ICMS Ind.Calc.Base	ICMS Kz. BerechnBas.	2017.07.06 08:56:49										
BICB	TX	BICB	ICMS Ref BIC1	ICMS Ref BIC1	2017.07.06 08:56:49										
BICC	TX	BICC	ICMS Conv.100 Flag	ICMS Konv.100 Kennz.	2017.07.06 08:56:49										
BICD	TX	BICD	ICMS Ex.Base Con.	ICMS Aus. Basis Kon.	2017.07.06 08:56:49										
BICE	TX	BICE	ICMS Con.Calc.Base	ICMS Kon.BerechnBas.	2017.07.06 08:56:49										
BICF	TX	BICF	ICMS Other Base Flag	ICMS Sonst. Basis-Kz	2017.07.06 08:56:49										
BICG	TX	BICG	ICMS Rate SF=ST	ICMS Satz SF=ST	2017.07.06 08:56:49										
BICH	TX	BICH	ICMS Rate SF=ST	ICMS Satz SF=ST	2017.07.06 08:56:49										
BICS	TX	BICS	ICMS Rate for ST	ICMS Satz für ST	2017.07.06 08:56:49										
BICX	TX	BICX	ICMS Exempt	ICMS befreit	2017.07.06 08:56:49										
BICY	TX	BICY	ICMS Exempt Ref BICX	ICMS befr. Ref. BICX	2017.07.06 08:56:49										
BIF0	TX	BIF0	ICMS on Freight	ICMS auf Fracht	2017.07.06 08:56:49										
BIFH	TX	BIFH	ICMS Fr Rate SF=ST	ICMS Fr-Satz SF=ST	2017.07.06 08:56:49										
BIP0	TX	BIP0	IPI Rate	IPI Satz	2017.07.06 08:56:49										
BIP1	TX	BIP1	IPI Base Reduction	IPI Basisreduktion	2017.07.06 08:56:49										
BIP2	TX	BIP2	IPI Other Base Flag	IPI Sonst. Basis-Kz.	2017.07.06 08:56:49										
BIP3	TX	BIP3	IPI Rate * Base	IPI Satz * Basis	2017.07.06 08:56:49										
BIP4	TX	BIP4	IPI Rate Ref BIP0	IPI Satz Ref BIP0	2017.07.06 08:56:49										
BIP5	TX	BIP5	IPI Rate * 10^n	IPI Satz * 10^n	2017.07.06 08:56:49										
BIP7	TX	BIP7	IPI  Exclude Base In	IPI  Basis auss. Ein	2017.07.06 08:56:49										
BIP9	TX	BIP9	IPI Calculation Base	IPI Berechnungsbasis	2017.07.06 08:56:49										
BIPA	TX	BIPA	IPI Rate Ref BIP0	IPI Satz Ref BIP0	2017.07.06 08:56:49										
BIPB	TX	BIPB	IPI Ref. Base	IPI Ref. Basis	2017.07.06 08:56:49										
BIPC	TX	BIPC	IPI Other Base Flag	IPI Sonst. Basis-Kz.	2017.07.06 08:56:49										
BIPD	TX	BIPD	IPI  Exclude Base Co	IPI  Basis-Co aussch	2017.07.06 08:56:49										
BIPE	TX	BIPE	Calculate Excl./Oth.	Ausg./Sonst. berechn	2017.07.06 08:56:49										
BIPP	TX	BIPP	IPI Pauta Amount	IPI Pauta-Betrag	2017.07.06 08:56:49										
BIPS	TX	BIPS	IPI -Split Vendor	IPI -Split Vendor	2017.07.06 08:56:49										
BIPT	TX	BIPT	IPI -Split Vendor PO	IPI -Split Vendor PO	2017.07.06 08:56:49										
BIPU	TX	BIPU	IPI -Split Vendor IV	IPI -Split Vendor IV	2017.07.06 08:56:49										
BIPX	TX	BIPX	IPI Exempt	IPI befreit	2017.07.06 08:56:49										
BIPY	TX	BIPY	IPI Exempt Ref BIPX	IPI befreit Ref BIPX	2017.07.06 08:56:49										
BIS0	TX	BIS0	ISS Rate	ISS Satz	2017.07.06 08:56:49										
BIS1	TX	BIS1	ISS Rate at Prov.	ISS Satz bei Leist.	2017.07.06 08:56:49										
BIS2	TX	BIS2	ISS Base at Prov.	ISS Basis bei Leist.	2017.07.06 08:56:49										
BIS3	TX	BIS3	ISS Law at Prov.	ISS Gesetz b. Leist.	2017.07.06 08:56:49										
BIS5	TX	BIS5	ISS Taxloc at Prov.	ISS SteuSt. b.Leist.	2017.07.06 08:56:49										
BIS6	TX	BIS6	ISS WHT at Prov.	ISS QSt bei Leist.	2017.07.06 08:56:49										
BIS7	TX	BIS7	ISS Min WHT at Prov.	ISS Min QSt bei Lei.	2017.07.06 08:56:49										
BISA	TX	BISA	ISS Rate at Serv.	ISS Satz am Leist.	2017.07.06 08:56:49										
BISB	TX	BISB	ISS Base at Serv.	ISS Basis am Leist.	2017.07.06 08:56:49										
BISC	TX	BISC	ISS Law at Serv.	ISS Gesetz am Leist.	2017.07.06 08:56:49										
BISE	TX	BISE	ISS Taxloc.at Serv.	ISS SteuStand am Lei	2017.07.06 08:56:49										
BISF	TX	BISF	ISS WHT at Serv.	ISS QSt am Leist.	2017.07.06 08:56:49										
BISG	TX	BISG	ISS Min WHT at Serv.	ISS Min QSt am Leist	2017.07.06 08:56:49										
BIZF	TX	BIZF	Zona Franca	Zona Franca	2017.07.06 08:56:49										
BLCO	TX	BLCO	Tax Laws for COFINS	Steuerges. f. COFINS	2017.07.06 08:56:49										
BLIC	TX	BLIC	Tax Laws for ICMS	Steuergesetze f.ICMS	2017.07.06 08:56:49										
BLIP	TX	BLIP	Tax Laws for IPI	Steuergesetze f. IPI	2017.07.06 08:56:49										
BLPI	TX	BLPI	Tax Laws for PIS	Steuergesetze f. PIS	2017.07.06 08:56:49										
BPI1	TX	BPI1	PIS Rate	PIS Satz	2017.07.06 08:56:49										
BPI2	TX	BPI2	PIS Base	PIS Basis	2017.07.06 08:56:49										
BPI3	TX	BPI3	PIS Rate	PIS Satz	2017.07.06 08:56:49										
BPI4	TX	BPI4	PIS Pauta Amount	PIS Pauta-Betrag	2017.07.06 08:56:49										
BPIP	TX	BPIP	PIS Pauta Amount	PIS Pauta-Betrag	2017.07.06 08:56:49										
BSF0	TX	BSF0	Subtrib. Rate	Subtrib. Satz	2017.07.06 08:56:49										
BSF1	TX	BSF1	ICMS Fr Rate SF=ST	ICMS Fr-Satz SF=ST	2017.07.06 08:56:49										
BST0	TX	BST0	Subtrib. Rate	Subtrib. Satz	2017.07.06 08:56:49										
BST1	TX	BST1	Subtrib. Surch. Type	Subtrib. ZuschlArt	2017.07.06 08:56:49										
BST2	TX	BST2	Subtrib. Minprice	Subtrib. Mindestpr.	2017.07.06 08:56:49										
BST3	TX	BST3	Subtrib. Fix Price	Subtrib. Festpreis	2017.07.06 08:56:49										
BST5	TX	BST5	Subtrib Icms Rate	Subtrib ICMS-Satz	2017.07.06 08:56:49										
BST6	TX	BST6	Subtrib. Reduction 1	Subtrib. Reduktion 1	2017.07.06 08:56:49										
BST7	TX	BST7	Subtrib. Reduction 2	Subtrib. Reduktion 2	2017.07.06 08:56:49										
BST8	TX	BST8	Subtrib. Base Reduct	Subtrib. Basis Red.	2017.07.06 08:56:49										
BST9	TX	BST9	Subtrib. Calc.Base	Subtrib. BerechBasis	2017.07.06 08:56:49										
BSTA	TX	BSTA	Subtrib. Surch. Type	Subtrib. ZuschlArt	2017.07.06 08:56:49										
BSTB	TX	BSTB	Subtrib. Surch. Type	Subtrib. ZuschlArt	2017.07.06 08:56:49										
BSTF	TX	BSTF	Subtrib.MinPr.Factor	SubTrib.MinPr.Faktor	2017.07.06 08:56:49										
BSTI	TX	BSTI	S.T. MinPrBef.Surch.	S.T. MinPrvrZschlag	2017.07.06 08:56:49										
BSUB	TX	BSUB	S.T. Base Modif.	S.T. Basismodifiz.	2017.07.06 08:56:49										
BW01	TX	BW01	WHT Coll.Code Gen.	QSt Einzugsschl.Gen.	2017.07.06 08:56:49										
BW02	TX	BW02	WHT Rate Gen.	QSt Satz Gen.	2017.07.06 08:56:49										
BW11	TX	BW11	WHT Coll.Code PIS	QSt EinzSchlüss. PIS	2017.07.06 08:56:49										
BW12	TX	BW12	WHT Rate PIS	QSt Satz PIS	2017.07.06 08:56:49										
BW21	TX	BW21	WHT Coll.Code COFINS	QSt EinzSchl. COFINS	2017.07.06 08:56:49										
BW22	TX	BW22	WHT Rate COFINS	QSt Satz COFINS	2017.07.06 08:56:49										
BW31	TX	BW31	WHT Coll.Code CSLL	QSt Einzugsschl.CSLL	2017.07.06 08:56:49										
BW32	TX	BW32	WHT Rate CSLL	QSt Satz CSLL	2017.07.06 08:56:49										
BW41	TX	BW41	WHT Coll.Code IR	QSt Einzugsschl. TR	2017.07.06 08:56:49										
BW42	TX	BW42	WHT Rate IR	QSt Satz IR	2017.07.06 08:56:49										
BW51	TX	BW51	BR WHT Base Amount	BR QSt Basisbetrag	2017.07.06 08:56:49										
BX01	TX	BX01	BR Tax Calculation	BR Steuerberechnung	2017.07.06 08:56:49										
BX10	TX	BX10	BR ICMS Normal Base	BR ICMS Normale Bas.	2017.07.06 08:56:49										
BX11	TX	BX11	BR ICMS Excluded Bse	BR ICMS Ausg. Basis	2017.07.06 08:56:49										
BX12	TX	BX12	BR ICMS Other Base	BR ICMS Andere Basis	2017.07.06 08:56:49										
BX13	TX	BX13	BR ICMS Amount	BR ICMS Betrag	2017.07.06 08:56:49										
BX14	TX	BX14	BR ICMS Freight Base	BR ICMS Fracht Basis	2017.07.06 08:56:49										
BX15	TX	BX15	BRICMS Freight Amnt.	BRICMS Frachtbetrag	2017.07.06 08:56:49										
BX16	TX	BX16	BR ICMS Rate	BR ICMS Satz	2017.07.06 08:56:49										
BX17	TX	BX17			2017.07.06 08:56:49										
BX18	TX	BX18			2017.07.06 08:56:49										
BX19	TX	BX19			2017.07.06 08:56:49										
BX1E	TX	BX1E			2017.07.06 08:56:49										
BX20	TX	BX20	BR IPI Normal Base	BR IPI Normale Basis	2017.07.06 08:56:49										
BX21	TX	BX21	BR IPI Excluded Base	BR IPI Ausg. Basis	2017.07.06 08:56:49										
BX22	TX	BX22	BR IPI Other Base	BR IPI Andere Basis	2017.07.06 08:56:49										
BX23	TX	BX23	BR IPI Amount	BR IPI Betrag	2017.07.06 08:56:49										
BX24	TX	BX24	BR IPI Offset Base	BR IPI AbgrenzBasis	2017.07.06 08:56:49										
BX25	TX	BX25	BR IPI Offset Amount	BR IPI AbgrenzBetrag	2017.07.06 08:56:49										
BX30	TX	BX30	BR ICMS Comp. Base	BR ICMS Komp.-Basis	2017.07.06 08:56:49										
BX31	TX	BX31	BR ICMS Comp.  Amnt.	BR ICMS Komp.-Betrag	2017.07.06 08:56:49										
BX32	TX	BX32	BR ICMS Comp. Rate	BR ICMS Komp.-Rate	2017.07.06 08:56:49										
BX40	TX	BX40	BR SubTrib Base	BR SubTrib Basis	2017.07.06 08:56:49										
BX41	TX	BX41	BR SubTrib Amount	BR SubTrib Betrag	2017.07.06 08:56:49										
BX42	TX	BX42	BR SubTrib Fr. Base	BR SubTrib Fr.-Basis	2017.07.06 08:56:49										
BX43	TX	BX43	BR SubTrib Fr. Amnt	BR SubTrib Fr.Betrag	2017.07.06 08:56:49										
BX44	TX	BX44	BRSubTrib NF Rate	BRSubTrib NF Rate	2017.07.06 08:56:49										
BX45	TX	BX45			2017.07.06 08:56:49										
BX46	TX	BX46			2017.07.06 08:56:49										
BX47	TX	BX47			2017.07.06 08:56:49										
BX49	TX	BX49			2017.07.06 08:56:49										
BX4E	TX	BX4E			2017.07.06 08:56:49										
BX50	TX	BX50	BR ISS Base	BR ISS Basis	2017.07.06 08:56:49										
BX51	TX	BX51	BR ISS Amount	BR ISS Betrag	2017.07.06 08:56:49										
BX60	TX	BX60	BR ISS Base Prov	BR ISS Basisprov.	2017.07.06 08:56:49										
BX61	TX	BX61	BR ISS ExBase Prov	BR ISS ExBasisprov.	2017.07.06 08:56:49										
BX62	TX	BX62	BR ISS Amount Prov	BR ISS Betrag Prov.	2017.07.06 08:56:49										
BX63	TX	BX63	BR ISS WTAmount Prov	BR ISS WTBetrag Prov	2017.07.06 08:56:49										
BX64	TX	BX64	BR ISS WT Base Prov	BR ISS WT Basisprov.	2017.07.06 08:56:49										
BX65	TX	BX65	BR ISS WTExBase Prov	BR ISS WTExBasisprov	2017.07.06 08:56:49										
BX6A	TX	BX6A	BR ISS Base Serv	BR ISS Basisservice	2017.07.06 08:56:49										
BX6B	TX	BX6B	BR ISS ExBase Serv	BR ISS ExBasisserv.	2017.07.06 08:56:49										
BX6C	TX	BX6C	BR ISS Amount Serv	BR ISS Betrag Serv.	2017.07.06 08:56:49										
BX6D	TX	BX6D	BR ISS WTAmount Serv	BR ISS WTBetrag Serv	2017.07.06 08:56:49										
BX6E	TX	BX6E	BR ISS WT Base Serv	BR ISS WT Basisserv.	2017.07.06 08:56:49										
BX6F	TX	BX6F	BR ISS WTExBase Serv	BR ISS WTExBasisserv	2017.07.06 08:56:49										
BX6O	TX	BX6O	BR ISS Offset TxIncl	BR ISS Abg SteuerInk	2017.07.06 08:56:49										
BX70	TX	BX70	BR COFINS Base	BR COFINS Basis	2017.07.06 08:56:49										
BX71	TX	BX71	BR COFINS Excl.Base	BR COFINS Auss.Basis	2017.07.06 08:56:49										
BX72	TX	BX72	BR COFINS Amount	BR COFINS Betrag	2017.07.06 08:56:49										
BX73	TX	BX73	BR COFINS Amount Res	BR COFINS BetrRes.	2017.07.06 08:56:49										
BX7O	TX	BX7O	BR COFINS Off.TxIncl	BR COFINS Abg.StInkl	2017.07.06 08:56:49										
BX7P	TX	BX7P	BR COFINS Pauta Amt.	BR COFINS Pauta-Btr.	2017.07.06 08:56:49										
BX7Q	TX	BX7Q	BR COFINS Pauta Amt.	BR COFINS Pauta-Btr.	2017.07.06 08:56:49										
BX7R	TX	BX7R	BR COFINS Res. Base	BR COFINS LösBasis	2017.07.06 08:56:49										
BX80	TX	BX80	BR PIS Base	BR PIS Basis	2017.07.06 08:56:49										
BX81	TX	BX81	BR PIS Excl. Base	BR PIS Ausschl.Basis	2017.07.06 08:56:49										
BX82	TX	BX82	BR PIS Amount	BR PIS Betrag	2017.07.06 08:56:49										
BX83	TX	BX83	BR PIS Amount Res.	BR PIS Betragsres.	2017.07.06 08:56:49										
BX8O	TX	BX8O	BR PIS Off.TxIncl	BR PIS Abg.SteuInkl.	2017.07.06 08:56:49										
BX8P	TX	BX8P	BR PIS Pauta Amount	BR PIS Pauta-Betrag	2017.07.06 08:56:49										
BX8Q	TX	BX8Q	BR PIS Pauta Amount	BR PIS Pauta-Betrag	2017.07.06 08:56:49										
BX8R	TX	BX8R	BR PIS Res. Base	BR PIS Lösungsbasis	2017.07.06 08:56:49										
BXPA	TX	BXPA	BR IPI Pauta Amount	BR IPI Pauta-Betrag	2017.07.06 08:56:49										
BXPO	TX	BXPO	BR Caller = PO?	BR Anrufer = PO?	2017.07.06 08:56:49										
BXWA	TX	BXWA	BR WHT Base Amount	BR QSt Basisbetrag	2017.07.06 08:56:49										
BXWT	TX	BXWT	BR WHT Base Amount	BR QSt Basisbetrag	2017.07.06 08:56:49										
BXZF	TX	BXZF			2017.07.06 08:56:49										
CCOP	TX	CCOP	ICMS Conh Complement	ICMS Conh-Komplement	2017.07.06 08:56:49										
CCOX	TX	CCOX	ICMS Conh Compl 100	ICMS Conh-Kompl. 100	2017.07.06 08:56:49										
CIC0	TX	CIC0	Conh ICMS Exempt	Conh ICMS befreit	2017.07.06 08:56:49										
CIC1	TX	CIC1			2017.07.06 08:56:49										
CIC2	TX	CIC2			2017.07.06 08:56:49										
CIC3	TX	CIC3			2017.07.06 08:56:49										
CNSC	TX	CNSC	Service Tax Cred. CN	DienstlSt. Haben CN	2017.07.06 08:56:49										
CNSD	TX	CNSD	Service Tax Deb. CN	DienstlSteu. Soll CN	2017.07.06 08:56:49										
CONC	TX	CONC	Consumption tax Cre.	Luxussteuer Haben	2017.07.06 08:56:49										
COND	TX	COND	Consumption tax Deb.	Luxussteuer Soll	2017.07.06 08:56:49										
CST1	TX	CST1			2017.07.06 08:56:49										
CST2	TX	CST2			2017.07.06 08:56:49										
CST3	TX	CST3			2017.07.06 08:56:49										
GST	TX	GST	A/P GST	KR GST	2017.07.06 08:56:49										
GST1	TX	GST1	A/R GST	KR GST	2017.07.06 08:56:49										
GSTS	TX	GSTS	A/P GST self assess	KR GST Selbstveranl.	2017.07.06 08:56:49										
GTI1	TX	GTI1	A/P GST	KR GST	2017.07.06 08:56:49										
GTI2	TX	GTI2	A/P GST	KR GST	2017.07.06 08:56:49										
GTO0	TX	GTO0	A/R GST	KR GST	2017.07.06 08:56:49										
GTO1	TX	GTO1	A/R GST	KR GST	2017.07.06 08:56:49										
GTO2	TX	GTO2	A/R GST	KR GST	2017.07.06 08:56:49										
HUV1	TX	HUV1	Deductable %	Abzugsfähig %	2017.07.06 08:56:49										
HUV2	TX	HUV2	Non-deductable %	Nicht abzugsfähig %	2017.07.06 08:56:49										
HUVN	TX	HUVN	Non-deductable %	Telefon 30%	2017.07.06 08:56:49										
HUVS	TX	HUVS	Deductable %	Telefon 70%	2017.07.06 08:56:49										
IC1C	TX	IC1C	ICMS Ind.Clearing	ICMS Kz. Verrechnung	2017.07.06 08:56:49										
IC1O	TX	IC1O	ICMS Ind.Clear.Off.	ICMS Kz.Verrechn.Abg	2017.07.06 08:56:49										
ICD0	TX	ICD0	ICMS DIFAL Pri	ICMS DIFAL Pri	2017.07.06 08:56:49										
ICD1	TX	ICD1	ICMS DIFAL Asset	ICMS DIFAL Anlage	2017.07.06 08:56:49										
ICD2	TX	ICD2	ICMS DIFAL Asset Off	ICMS DIFAL AnlageAbg	2017.07.06 08:56:49										
