LEGACY_STATUS	STATUS	LANGUA	DESCRP	DI_TIMESTAMP											
03	03	I	Trasf. dati alla porta OK	2018.06.19 05:33:47											
03	03	J	ポートへのデータ受渡し OK	2018.06.19 05:33:47											
03	03	K	Dataoverførsel til port OK	2018.06.19 05:33:47											
03	03	L	Transfer danych do portu OK	2018.06.19 05:33:47											
03	03	M	傳送資料至埠 OK	2018.06.19 05:33:47											
03	03	N	Gegevensdoorgifte aan poort OK	2018.06.19 05:33:47											
03	03	O	Dataoverføring til port OK	2018.06.19 05:33:47											
03	03	P	Transferência de dados para a porta OK	2018.06.19 05:33:47											
03	03	Q	Odovzdanie dát na port OK	2018.06.19 05:33:47											
03	03	R	Перенос данных в порт ОК	2018.06.19 05:33:47											
03	03	S	Transferencia de datos a puerta OK	2018.06.19 05:33:47											
03	03	T	Port'a veri aktarımı tamamlandı	2018.06.19 05:33:47											
03	03	U	Tiedonsiirto porttiin OK	2018.06.19 05:33:47											
03	03	V	Dataöverföring till port OK	2018.06.19 05:33:47											
03	03	W	Данните прехвърлени към порта OK	2018.06.19 05:33:47											
03	03	X	Pavyko perduoti duomenis į prievadą	2018.06.19 05:33:47											
03	03	Y	Datu nosūtīšana uz portu ir izdevusies	2018.06.19 05:33:47											
03	03	c	Transferència de dades OK	2018.06.19 05:33:47											
03	03	d	Podaci predati na port OK	2018.06.19 05:33:47											
03	03	늑	TAIS TEDS2*+	2018.06.19 05:33:47											
03	03	닱	[Ďąţēŋüƃēŗğąƃē∙ąŋ∙Ƥŏŗţ∙ŎĶ∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙]	2018.06.19 05:33:47											
03	03	묩	पोर्ट पर पास किया गया डेटा ठीक है	2018.06.19 05:33:47											
03	03	뱋	Деректер портқа дұрыс жіберілді	2018.06.19 05:33:47											
03	03	쁩	Truyền dữ liệu ra cổng OK	2018.06.19 05:33:47											
04	04	1	EDI 子系统控制信息错误	2018.06.19 05:33:47											
04	04	2	การควบคุมข้อมูลในระบบย่อยของ EDI เกิดข้อผิดพลาด	2018.06.19 05:33:47											
04	04	3	EDI 하위 시스템의 제어 정보에서 오류 발생	2018.06.19 05:33:47											
04	04	4	Eroare la informaţii control la subsistem EDI	2018.06.19 05:33:47											
04	04	5	Napaka v informacijah nadzora EDI-podsistema	2018.06.19 05:33:47											
04	04	6	Greška unutar informacija kontrole EDI podsustava	2018.06.19 05:33:47											
04	04	7	Ralat dalam maklumat kawalan subsietem EDI	2018.06.19 05:33:47											
04	04	8	Помилка в інформації керування підсистеми EDI	2018.06.19 05:33:47											
04	04	9	Tõrge EDI alamsüsteemi juhtimisteabes	2018.06.19 05:33:47											
04	04	A	خطأ في معلومات التحكم للنظام الفرعي EDI	2018.06.19 05:33:47											
04	04	B	שגיאה בתוך מידע בקרה של תת מערכת EDI	2018.06.19 05:33:47											
04	04	C	Chyba v řídících informacích subsystému EDI	2018.06.19 05:33:47											
04	04	D	Fehler in den Steuerinformationen des EDI-Subsystems	2018.06.19 05:33:47											
04	04	E	Error within control information of EDI subsystem	2018.06.19 05:33:47											
04	04	F	Erreur dans les informations de commande du sous-système EDI	2018.06.19 05:33:47											
04	04	G	Λάθος με πληροφορία ελέγχου υποσυστήματος EDI	2018.06.19 05:33:47											
04	04	H	Hiba az EDI-alrendszer vezérlési információiban	2018.06.19 05:33:47											
04	04	I	Errore nelle info di controllo del sottosistema EDI	2018.06.19 05:33:47											
04	04	J	EDI サブシステムの制御情報内のエラー	2018.06.19 05:33:47											
04	04	K	Fejl i styreinformationer for EDI-subsystem	2018.06.19 05:33:47											
04	04	L	Błąd w informacjach sterujących systemu podrzędnego EDI	2018.06.19 05:33:47											
04	04	M	EDI 子系統的控制資訊中有錯誤	2018.06.19 05:33:47											
04	04	N	Fout in besturingsgegevens van EDI-subsysteem	2018.06.19 05:33:47											
04	04	O	Feil i styringsinformasjonen for EDI-subsystemet	2018.06.19 05:33:47											
04	04	P	Erro nas informações de controle do subsistema de EDI	2018.06.19 05:33:47											
04	04	Q	Chyba v riadiacich informáciach subsystému EDI	2018.06.19 05:33:47											
04	04	R	Ошибка в информации управления подсистемы EDI	2018.06.19 05:33:47											
04	04	S	Error en informaciones de control del subsistema EDI	2018.06.19 05:33:47											
04	04	T	EDI alt sistemleri kontrol bilgilerinde hata	2018.06.19 05:33:47											
04	04	U	Virhe EDI-alijärjestelmän ohjaustiedoissa	2018.06.19 05:33:47											
04	04	V	Fel i styrinformationen i EDI-subsystemet	2018.06.19 05:33:47											
04	04	W	Грешка в контролна информация на EDI подсистема	2018.06.19 05:33:47											
04	04	X	EDI posistemės valdymo informacijos klaida	2018.06.19 05:33:47											
04	04	Y	EDI apakšsistēmas vadības informācijā ir kļūda	2018.06.19 05:33:47											
04	04	c	Error en la informació fiscal del susbsistema EDI	2018.06.19 05:33:47											
04	04	d	Greška unutar informacija o kontroli EDI podsistema	2018.06.19 05:33:47											
04	04	늑	TAIS TEDS2*+	2018.06.19 05:33:47											
04	04	닱	[Ƒēĥĺēŗ∙įŋ∙ƌēŋ∙Ŝţēűēŗįŋƒŏŗɱąţįŏŋēŋ∙ƌēş∙ĔĎĬ-Ŝűƃşŷşţēɱş∙∙∙∙∙∙]	2018.06.19 05:33:47											
04	04	묩	EDI सबसिस्टम की नियंत्रण जानकारी के अंतर्गत त्रुटि	2018.06.19 05:33:47											
04	04	뱋	EDI ішкі жүйесінің басқару ақпаратындағы қате	2018.06.19 05:33:47											
04	04	쁩	Lỗi trong thông tin kiểm soát của hệ thống phụ EDI	2018.06.19 05:33:47											
05	05	1	转换错误	2018.06.19 05:33:47											
05	05	2	เกิดข้อผิดพลาดของการแปล	2018.06.19 05:33:47											
05	05	3	번역 오류	2018.06.19 05:33:47											
05	05	4	Eroare la traducere	2018.06.19 05:33:47											
05	05	5	Napaka pri konverziji	2018.06.19 05:33:47											
05	05	6	Greška konverzije	2018.06.19 05:33:47											
05	05	7	Ralat terjemahan	2018.06.19 05:33:47											
05	05	8	Помилка підчас перекладу	2018.06.19 05:33:47											
05	05	9	Tõlkimise tõrge	2018.06.19 05:33:47											
05	05	A	خطأ في الترجمة	2018.06.19 05:33:47											
05	05	B	שגיאת תרגום	2018.06.19 05:33:47											
05	05	C	Chyba při konverzi	2018.06.19 05:33:47											
05	05	D	Fehler bei der Konvertierung	2018.06.19 05:33:47											
05	05	E	Translation error	2018.06.19 05:33:47											
05	05	F	Erreur de conversion	2018.06.19 05:33:47											
05	05	G	Λάθος κατά την Μετάφραση	2018.06.19 05:33:47											
05	05	H	Hiba a konvertálásnál	2018.06.19 05:33:47											
05	05	I	Errore nella conversione	2018.06.19 05:33:47											
05	05	J	翻訳エラー	2018.06.19 05:33:47											
05	05	K	Fejl ved konvertering	2018.06.19 05:33:47											
05	05	L	Błąd podczas konwersji	2018.06.19 05:33:47											
05	05	M	翻譯錯誤	2018.06.19 05:33:47											
05	05	N	Fout bij de conversie	2018.06.19 05:33:47											
05	05	O	Feil ved konvertering	2018.06.19 05:33:47											
05	05	P	Erro durante a conversão	2018.06.19 05:33:47											
05	05	Q	Chyba pri konverzii	2018.06.19 05:33:47											
05	05	R	Ошибка в преобразовании	2018.06.19 05:33:47											
05	05	S	Error en la conversión	2018.06.19 05:33:47											
05	05	T	Dönüştürme sırasında hata	2018.06.19 05:33:47											
05	05	U	Virhe muunnossa	2018.06.19 05:33:47											
05	05	V	Fel vid konverteringen	2018.06.19 05:33:47											
05	05	W	Грешка при преизчисление	2018.06.19 05:33:47											
05	05	X	Konvertavimo klaida	2018.06.19 05:33:47											
05	05	Y	Pārrēķina kļūda	2018.06.19 05:33:47											
05	05	c	Error en la conversió	2018.06.19 05:33:47											
05	05	d	Greška pri konverziji	2018.06.19 05:33:47											
05	05	늑	TAIS TEDS2*+	2018.06.19 05:33:47											
05	05	닱	[Ƒēĥĺēŗ∙ƃēį∙ƌēŗ∙Ķŏŋʋēŗţįēŗűŋğ∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙]	2018.06.19 05:33:47											
05	05	묩	अनुवाद के दौरान त्रुटि	2018.06.19 05:33:47											
05	05	뱋	Аудару кезіндегі қате	2018.06.19 05:33:47											
05	05	쁩	Lỗi dịch	2018.06.19 05:33:47											
06	06	1	翻译正确	2018.06.19 05:33:47											
06	06	2	การแปล OK	2018.06.19 05:33:47											
06	06	3	번역 OK	2018.06.19 05:33:47											
06	06	4	Traducere OK	2018.06.19 05:33:47											
06	06	5	Konverzija OK	2018.06.19 05:33:47											
06	06	6	Konverzija OK	2018.06.19 05:33:47											
06	06	7	Terjemahan OK	2018.06.19 05:33:47											
06	06	8	Переклад пройшов успішно	2018.06.19 05:33:47											
06	06	9	Tõlkimine õnnestus	2018.06.19 05:33:47											
06	06	A	الترجمة مقبولة	2018.06.19 05:33:47											
06	06	B	תרגום מוצלח	2018.06.19 05:33:47											
06	06	C	Konverze OK	2018.06.19 05:33:47											
06	06	D	Konvertierung OK	2018.06.19 05:33:47											
06	06	E	Translation OK	2018.06.19 05:33:47											
06	06	F	OK pour conversion	2018.06.19 05:33:47											
06	06	G	Μετάφραση OK	2018.06.19 05:33:47											
06	06	H	Konvertálás O.K.	2018.06.19 05:33:47											
06	06	I	Conversione OK	2018.06.19 05:33:47											
06	06	J	翻訳 OK	2018.06.19 05:33:47											
06	06	K	Konvertering OK	2018.06.19 05:33:47											
06	06	L	Konwersja OK	2018.06.19 05:33:47											
06	06	M	翻譯 OK	2018.06.19 05:33:47											
06	06	N	Conversie OK	2018.06.19 05:33:47											
06	06	O	Konvertering OK	2018.06.19 05:33:47											
06	06	P	Conversão OK	2018.06.19 05:33:47											
06	06	Q	Konverzia OK	2018.06.19 05:33:47											
06	06	R	Преобразование ОК	2018.06.19 05:33:47											
06	06	S	Conversión OK	2018.06.19 05:33:47											
06	06	T	Dönüştürme tamam	2018.06.19 05:33:47											
06	06	U	Muunto OK	2018.06.19 05:33:47											
06	06	V	Konvertering OK	2018.06.19 05:33:47											
06	06	W	Транслация OK	2018.06.19 05:33:47											
06	06	X	Pavyko konvertuoti	2018.06.19 05:33:47											
06	06	Y	Pārrēķins ir izdevies	2018.06.19 05:33:47											
06	06	c	Conversió OK	2018.06.19 05:33:47											
06	06	d	Konverzija OK	2018.06.19 05:33:47											
06	06	늑	TAIS TEDS2*+	2018.06.19 05:33:47											
06	06	닱	[Ķŏŋʋēŗţįēŗűŋğ∙ŎĶ∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙]	2018.06.19 05:33:47											
06	06	묩	अनुवाद ठीक है	2018.06.19 05:33:47											
06	06	뱋	Аудару дұрыс	2018.06.19 05:33:47											
06	06	쁩	Dịch OK	2018.06.19 05:33:47											
07	07	1	语法检查出错	2018.06.19 05:33:47											
07	07	2	เกิดข้อผิดพลาดระหว่างการตรวจสอบไวยากรณ์	2018.06.19 05:33:47											
07	07	3	구문을 점검하는 동안 오류 발생	2018.06.19 05:33:47											
07	07	4	Erore la verificare sintaxă	2018.06.19 05:33:47											
07	07	5	Napaka sintakse v EDI-sporočilu	2018.06.19 05:33:47											
07	07	6	Greška tokom provjere sintakse	2018.06.19 05:33:47											
07	07	7	Ralat semasa semakan sintaks	2018.06.19 05:33:47											
07	07	8	Помилка підчас перевірки синтаксису	2018.06.19 05:33:47											
07	07	9	Tõrge süntaksi kontrollimisel	2018.06.19 05:33:47											
07	07	A	خطأ أثناء فحص بناء الجملة	2018.06.19 05:33:47											
07	07	B	שגיאה במהלך בדיקת תחביר	2018.06.19 05:33:47											
07	07	C	Chyba syntaxe ve zprávě EDI	2018.06.19 05:33:47											
07	07	D	Syntaxfehler in EDI-Nachricht	2018.06.19 05:33:47											
07	07	E	Error during syntax check	2018.06.19 05:33:47											
07	07	F	Erreur de syntaxe dans message EDI	2018.06.19 05:33:47											
07	07	G	Λάθος κατά τον συντακτικό έλεγχο	2018.06.19 05:33:47											
07	07	H	Szintaktikai hiba az EDI-üzenetben	2018.06.19 05:33:47											
07	07	I	Errore di sintassi nel mess. EDI	2018.06.19 05:33:47											
07	07	J	構文チェック中のエラー	2018.06.19 05:33:47											
07	07	K	Syntaksfejl i EDI-meddelelse	2018.06.19 05:33:47											
07	07	L	Błąd składni w komunikacie EDI	2018.06.19 05:33:47											
07	07	M	語法檢查期間發生錯誤	2018.06.19 05:33:47											
07	07	N	Syntaxerror in EDI-bericht	2018.06.19 05:33:47											
07	07	O	Syntaksfeil i EDI-melding	2018.06.19 05:33:47											
07	07	P	Erro de sintaxe na mensagem EDI	2018.06.19 05:33:47											
07	07	Q	Chyba systaxe v správe EDI	2018.06.19 05:33:47											
07	07	R	Синтаксическая ошибка в документе EDI	2018.06.19 05:33:47											
07	07	S	Error sintaxis en mensaje EDI	2018.06.19 05:33:47											
07	07	T	EDI iletilerinde sözdizim hatası	2018.06.19 05:33:47											
07	07	U	Syntaksivirhe EDI-sanomassa	2018.06.19 05:33:47											
07	07	V	Syntaxfel i EDI-meddelande	2018.06.19 05:33:47											
07	07	W	Грешка при синтактична проверка	2018.06.19 05:33:47											
07	07	X	Sintaksės patikros klaida	2018.06.19 05:33:47											
07	07	Y	Sintakses pārbaudes laikā radās kļūda	2018.06.19 05:33:47											
07	07	c	Error de sintaxi a missatge EDI	2018.06.19 05:33:47											
07	07	d	Greška pri proveri sintakse	2018.06.19 05:33:47											
07	07	늑	TAIS TEDS2*+	2018.06.19 05:33:47											
07	07	닱	[Ŝŷŋţąχƒēĥĺēŗ∙įŋ∙ĔĎĬ-Ńąċĥŗįċĥţ∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙]	2018.06.19 05:33:47											
07	07	묩	सिंटैक्स जांच के दौरान त्रुटि	2018.06.19 05:33:47											
07	07	뱋	Синтаксистік тексеру кезіндегі қате	2018.06.19 05:33:47											
07	07	쁩	Lỗi khi kiểm tra cú pháp	2018.06.19 05:33:47											
08	08	1	语法检查正确	2018.06.19 05:33:47											
08	08	2	การตรวจสอบไวยากรณ์ OK	2018.06.19 05:33:47											
08	08	3	구문 점검 OK	2018.06.19 05:33:47											
08	08	4	Verificare sintaxă OK	2018.06.19 05:33:47											
08	08	5	Kontrola sintakse OK	2018.06.19 05:33:47											
08	08	6	Provjera sintakse OK	2018.06.19 05:33:47											
08	08	7	Semakan sintaks OK	2018.06.19 05:33:47											
08	08	8	Перевірка синтаксису OK	2018.06.19 05:33:47											
08	08	9	Süntaks on kontrollitud	2018.06.19 05:33:47											
08	08	A	فحص بناء الجملة جيد	2018.06.19 05:33:47											
08	08	B	בדיקת תחביר מוצלחת	2018.06.19 05:33:47											
08	08	C	Kontr.syntaxe OK	2018.06.19 05:33:47											
08	08	D	Syntaxprüfung OK	2018.06.19 05:33:47											
08	08	E	Syntax check OK	2018.06.19 05:33:47											
08	08	F	OK pour contrôle de syntaxe	2018.06.19 05:33:47											
08	08	G	Συντακτικός έλεγχος OK	2018.06.19 05:33:47											
08	08	H	Szintaktikai ellenőrzés OK	2018.06.19 05:33:47											
08	08	I	Contr. sintassi OK	2018.06.19 05:33:47											
08	08	J	構文チェック OK	2018.06.19 05:33:47											
08	08	K	Syntakskontrol OK	2018.06.19 05:33:47											
08	08	L	Kontrola składni OK	2018.06.19 05:33:47											
08	08	M	語法檢查 OK	2018.06.19 05:33:47											
08	08	N	Syntaxcheck OK	2018.06.19 05:33:47											
08	08	O	Syntakskontroll OK	2018.06.19 05:33:47											
08	08	P	Verificação de sintaxe OK	2018.06.19 05:33:47											
08	08	Q	Kontrola syntaxe OK	2018.06.19 05:33:47											
08	08	R	Проверка синтаксиса ОК	2018.06.19 05:33:47											
08	08	S	Verificación sintaxis OK	2018.06.19 05:33:47											
08	08	T	Sözdizim kontrolü tamam	2018.06.19 05:33:47											
08	08	U	Syntaksitarkistus OK	2018.06.19 05:33:47											
08	08	V	Syntaxkontroll OK	2018.06.19 05:33:47											
08	08	W	Синтактична проверка OK	2018.06.19 05:33:47											
08	08	X	Sintaksės patikra pavyko	2018.06.19 05:33:47											
08	08	Y	Sintakses pārbaude ir veiksmīga	2018.06.19 05:33:47											
08	08	c	Verificació de sintaxi OK	2018.06.19 05:33:47											
08	08	d	Provera sintakse OK	2018.06.19 05:33:47											
08	08	늑	TAIS TEDS2*+	2018.06.19 05:33:47											
08	08	닱	[Ŝŷŋţąχρŗüƒűŋğ∙ŎĶ∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙∙]	2018.06.19 05:33:47											
08	08	묩	सिंटैक्स जांच ठीक है	2018.06.19 05:33:47											
08	08	뱋	Синтаксистік тексеру дұрыс	2018.06.19 05:33:47											
08	08	쁩	K.tra cú pháp OK	2018.06.19 05:33:47											
09	09	1	互换处理时出错	2018.06.19 05:33:47											
09	09	2	เกิดข้อผิดพลาดระหว่างการจัดการการแลกเปลี่ยน	2018.06.19 05:33:47											
09	09	3	교환 처리하는 동안 오류 발생	2018.06.19 05:33:47											
09	09	4	Eroare la operare schimb reciproc	2018.06.19 05:33:47											
09	09	5	Napaka pri Interchange Handling	2018.06.19 05:33:47											
09	09	6	Greška tokom rukovanja zamjenjivošću	2018.06.19 05:33:47											
09	09	7	Ralat semasa pengendalian pertukaran	2018.06.19 05:33:47											
