LEGACY_MAIN_ASSET_NUMBER	COMPANY_CODE	MAIN_ASSET_NUMBER	ASSET_SUBNUMBER	MAIN_ASSET_NUMBER_TXT_GBL	MAIN_ASSET_NUMBER_TXT_LCL	DI_TIMESTAMP									
000000500326	1010	000000500326	0000	MK327	MK327	2017.07.06 08:56:49									
000000500327	1010	000000500327	0000	MK328	MK328	2017.07.06 08:56:49									
000000500328	1010	000000500328	0000	MK329	MK329	2017.07.06 08:56:49									
000000500329	1010	000000500329	0000	MK330	MK330	2017.07.06 08:56:49									
000000500330	1010	000000500330	0000	MK331	MK331	2017.07.06 08:56:49									
000000500331	1010	000000500331	0000	MK332	MK332	2017.07.06 08:56:49									
000000500332	1010	000000500332	0000	MK333	MK333	2017.07.06 08:56:49									
000000500333	1010	000000500333	0000	MK334	MK334	2017.07.06 08:56:49									
000000500334	1010	000000500334	0000	MK335	MK335	2017.07.06 08:56:49									
000000500335	1010	000000500335	0000	MK336	MK336	2017.07.06 08:56:49									
000000500336	1010	000000500336	0000	MK337	MK337	2017.07.06 08:56:49									
000000500337	1010	000000500337	0000	MK338	MK338	2017.07.06 08:56:49									
000000500338	1010	000000500338	0000	MK339	MK339	2017.07.06 08:56:49									
000000500339	1010	000000500339	0000	MK340	MK340	2017.07.06 08:56:49									
000000500733	1010	000000500733	0000	MK734	MK734	2017.07.06 08:56:49									
000000500734	1010	000000500734	0000	MK735	MK735	2017.07.06 08:56:49									
000000500735	1010	000000500735	0000	MK736	MK736	2017.07.06 08:56:49									
000000500736	1010	000000500736	0000	MK737	MK737	2017.07.06 08:56:49									
000000500737	1010	000000500737	0000	MK738	MK738	2017.07.06 08:56:49									
000000500738	1010	000000500738	0000	MK739	MK739	2017.07.06 08:56:49									
000000500739	1010	000000500739	0000	MK740	MK740	2017.07.06 08:56:49									
000000500740	1010	000000500740	0000	MK741	MK741	2017.07.06 08:56:49									
000000500741	1010	000000500741	0000	MK742	MK742	2017.07.06 08:56:49									
000000500742	1010	000000500742	0000	MK743	MK743	2017.07.06 08:56:49									
000000500743	1010	000000500743	0000	MK744	MK744	2017.07.06 08:56:49									
000000500744	1010	000000500744	0000	MK745	MK745	2017.07.06 08:56:49									
000000500745	1010	000000500745	0000	MK746	MK746	2017.07.06 08:56:49									
000000500746	1010	000000500746	0000	MK747	MK747	2017.07.06 08:56:49									
000000500747	1010	000000500747	0000	MK748	MK748	2017.07.06 08:56:49									
000000500748	1010	000000500748	0000	MK749	MK749	2017.07.06 08:56:49									
000000500749	1010	000000500749	0000	MK750	MK750	2017.07.06 08:56:49									
000000500750	1010	000000500750	0000	MK751	MK751	2017.07.06 08:56:49									
000000500038	1010	000000500038	0000	MK39	MK39	2017.07.06 08:56:49									
000000500039	1010	000000500039	0000	MK40	MK40	2017.07.06 08:56:49									
000000500040	1010	000000500040	0000	MK41	MK41	2017.07.06 08:56:49									
000000500041	1010	000000500041	0000	MK42	MK42	2017.07.06 08:56:49									
000000500042	1010	000000500042	0000	MK43	MK43	2017.07.06 08:56:49									
000000500043	1010	000000500043	0000	MK44	MK44	2017.07.06 08:56:49									
000000500044	1010	000000500044	0000	MK45	MK45	2017.07.06 08:56:49									
000000500045	1010	000000500045	0000	MK46	MK46	2017.07.06 08:56:49									
000000500046	1010	000000500046	0000	MK47	MK47	2017.07.06 08:56:49									
000000500047	1010	000000500047	0000	MK48	MK48	2017.07.06 08:56:49									
000000500048	1010	000000500048	0000	MK49	MK49	2017.07.06 08:56:49									
000000500049	1010	000000500049	0000	MK50	MK50	2017.07.06 08:56:49									
000000500445	1010	000000500445	0000	MK446	MK446	2017.07.06 08:56:49									
000000500446	1010	000000500446	0000	MK447	MK447	2017.07.06 08:56:49									
000000500447	1010	000000500447	0000	MK448	MK448	2017.07.06 08:56:49									
000000500448	1010	000000500448	0000	MK449	MK449	2017.07.06 08:56:49									
000000500449	1010	000000500449	0000	MK450	MK450	2017.07.06 08:56:49									
000000500450	1010	000000500450	0000	MK451	MK451	2017.07.06 08:56:49									
000000500451	1010	000000500451	0000	MK452	MK452	2017.07.06 08:56:49									
000000500002	1010	000000500002	0000	MK03	MK03	2017.07.06 08:56:49									
000000500751	1010	000000500751	0000	MK752	MK752	2017.07.06 08:56:49									
000000500281	1010	000000500281	0000	MK282	MK282	2017.07.06 08:56:49									
000000500815	1010	000000500815	0000	MK816	MK816	2017.07.06 08:56:49									
000000500578	1010	000000500578	0000	MK579	MK579	2017.07.06 08:56:49									
000000500359	1010	000000500359	0000	MK360	MK360	2017.07.06 08:56:49									
000000500893	1010	000000500893	0000	MK894	MK894	2017.07.06 08:56:49									
000000500666	1010	000000500666	0000	MK667	MK667	2017.07.06 08:56:49									
000000500282	1010	000000500282	0000	MK283	MK283	2017.07.06 08:56:49									
000000500283	1010	000000500283	0000	MK284	MK284	2017.07.06 08:56:49									
000000500284	1010	000000500284	0000	MK285	MK285	2017.07.06 08:56:49									
000000500285	1010	000000500285	0000	MK286	MK286	2017.07.06 08:56:49									
000000500286	1010	000000500286	0000	MK287	MK287	2017.07.06 08:56:49									
000000500287	1010	000000500287	0000	MK288	MK288	2017.07.06 08:56:49									
000000500288	1010	000000500288	0000	MK289	MK289	2017.07.06 08:56:49									
000000500289	1010	000000500289	0000	MK290	MK290	2017.07.06 08:56:49									
000000500290	1010	000000500290	0000	MK291	MK291	2017.07.06 08:56:49									
000000500291	1010	000000500291	0000	MK292	MK292	2017.07.06 08:56:49									
000000500292	1010	000000500292	0000	MK293	MK293	2017.07.06 08:56:49									
000000500293	1010	000000500293	0000	MK294	MK294	2017.07.06 08:56:49									
000000500294	1010	000000500294	0000	MK295	MK295	2017.07.06 08:56:49									
000000500295	1010	000000500295	0000	MK296	MK296	2017.07.06 08:56:49									
000000500296	1010	000000500296	0000	MK297	MK297	2017.07.06 08:56:49									
000000500901	1010	000000500901	0000	MK902	MK902	2017.07.06 08:56:49									
000000500902	1010	000000500902	0000	MK903	MK903	2017.07.06 08:56:49									
000000500903	1010	000000500903	0000	MK904	MK904	2017.07.06 08:56:49									
000000500452	1010	000000500452	0000	MK453	MK453	2017.07.06 08:56:49									
000000500453	1010	000000500453	0000	MK454	MK454	2017.07.06 08:56:49									
000000500454	1010	000000500454	0000	MK455	MK455	2017.07.06 08:56:49									
000000500455	1010	000000500455	0000	MK456	MK456	2017.07.06 08:56:49									
000000500456	1010	000000500456	0000	MK457	MK457	2017.07.06 08:56:49									
000000500457	1010	000000500457	0000	MK458	MK458	2017.07.06 08:56:49									
000000500458	1010	000000500458	0000	MK459	MK459	2017.07.06 08:56:49									
000000500459	1010	000000500459	0000	MK460	MK460	2017.07.06 08:56:49									
000000500460	1010	000000500460	0000	MK461	MK461	2017.07.06 08:56:49									
000000500461	1010	000000500461	0000	MK462	MK462	2017.07.06 08:56:49									
000000500462	1010	000000500462	0000	MK463	MK463	2017.07.06 08:56:49									
000000500463	1010	000000500463	0000	MK464	MK464	2017.07.06 08:56:49									
000000500464	1010	000000500464	0000	MK465	MK465	2017.07.06 08:56:49									
000000500465	1010	000000500465	0000	MK466	MK466	2017.07.06 08:56:49									
000000500466	1010	000000500466	0000	MK467	MK467	2017.07.06 08:56:49									
000000500467	1010	000000500467	0000	MK468	MK468	2017.07.06 08:56:49									
000000500468	1010	000000500468	0000	MK469	MK469	2017.07.06 08:56:49									
000000500469	1010	000000500469	0000	MK470	MK470	2017.07.06 08:56:49									
000000500470	1010	000000500470	0000	MK471	MK471	2017.07.06 08:56:49									
000000500471	1010	000000500471	0000	MK472	MK472	2017.07.06 08:56:49									
000000500472	1010	000000500472	0000	MK473	MK473	2017.07.06 08:56:49									
000000500473	1010	000000500473	0000	MK474	MK474	2017.07.06 08:56:49									
000000500474	1010	000000500474	0000	MK475	MK475	2017.07.06 08:56:49									
000000500475	1010	000000500475	0000	MK476	MK476	2017.07.06 08:56:49									
000000500476	1010	000000500476	0000	MK477	MK477	2017.07.06 08:56:49									
000000500477	1010	000000500477	0000	MK478	MK478	2017.07.06 08:56:49									
000000500478	1010	000000500478	0000	MK479	MK479	2017.07.06 08:56:49									
000000500953	1010	000000500953	0000	MK954	MK954	2017.07.06 08:56:49									
000000500954	1010	000000500954	0000	MK955	MK955	2017.07.06 08:56:49									
000000500955	1010	000000500955	0000	MK956	MK956	2017.07.06 08:56:49									
000000500956	1010	000000500956	0000	MK957	MK957	2017.07.06 08:56:49									
000000500957	1010	000000500957	0000	MK958	MK958	2017.07.06 08:56:49									
000000500958	1010	000000500958	0000	MK959	MK959	2017.07.06 08:56:49									
000000500959	1010	000000500959	0000	MK960	MK960	2017.07.06 08:56:49									
000000500960	1010	000000500960	0000	MK961	MK961	2017.07.06 08:56:49									
000000500961	1010	000000500961	0000	MK962	MK962	2017.07.06 08:56:49									
000000500962	1010	000000500962	0000	MK963	MK963	2017.07.06 08:56:49									
000000500963	1010	000000500963	0000	MK964	MK964	2017.07.06 08:56:49									
000000500964	1010	000000500964	0000	MK965	MK965	2017.07.06 08:56:49									
000000500965	1010	000000500965	0000	MK966	MK966	2017.07.06 08:56:49									
000000500966	1010	000000500966	0000	MK967	MK967	2017.07.06 08:56:49									
000000500967	1010	000000500967	0000	MK968	MK968	2017.07.06 08:56:49									
000000500968	1010	000000500968	0000	MK969	MK969	2017.07.06 08:56:49									
000000500969	1010	000000500969	0000	MK970	MK970	2017.07.06 08:56:49									
000000500970	1010	000000500970	0000	MK971	MK971	2017.07.06 08:56:49									
000000500971	1010	000000500971	0000	MK972	MK972	2017.07.06 08:56:49									
000000500972	1010	000000500972	0000	MK973	MK973	2017.07.06 08:56:49									
000000500973	1010	000000500973	0000	MK974	MK974	2017.07.06 08:56:49									
000000500974	1010	000000500974	0000	MK975	MK975	2017.07.06 08:56:49									
000000500975	1010	000000500975	0000	MK976	MK976	2017.07.06 08:56:49									
000000500976	1010	000000500976	0000	MK977	MK977	2017.07.06 08:56:49									
000000500311	1010	000000500311	0000	MK312	MK312	2017.07.06 08:56:49									
000000500312	1010	000000500312	0000	MK313	MK313	2017.07.06 08:56:49									
000000500313	1010	000000500313	0000	MK314	MK314	2017.07.06 08:56:49									
000000500314	1010	000000500314	0000	MK315	MK315	2017.07.06 08:56:49									
000000500315	1010	000000500315	0000	MK316	MK316	2017.07.06 08:56:49									
000000500525	1010	000000500525	0000	MK526	MK526	2017.07.06 08:56:49									
000000500921	1010	000000500921	0000	MK922	MK922	2017.07.06 08:56:49									
000000500922	1010	000000500922	0000	MK923	MK923	2017.07.06 08:56:49									
000000500923	1010	000000500923	0000	MK924	MK924	2017.07.06 08:56:49									
000000500924	1010	000000500924	0000	MK925	MK925	2017.07.06 08:56:49									
000000500925	1010	000000500925	0000	MK926	MK926	2017.07.06 08:56:49									
000000500926	1010	000000500926	0000	MK927	MK927	2017.07.06 08:56:49									
000000500927	1010	000000500927	0000	MK928	MK928	2017.07.06 08:56:49									
000000500928	1010	000000500928	0000	MK929	MK929	2017.07.06 08:56:49									
000000500929	1010	000000500929	0000	MK930	MK930	2017.07.06 08:56:49									
000000500930	1010	000000500930	0000	MK931	MK931	2017.07.06 08:56:49									
000000500931	1010	000000500931	0000	MK932	MK932	2017.07.06 08:56:49									
000000500932	1010	000000500932	0000	MK933	MK933	2017.07.06 08:56:49									
000000500846	1010	000000500846	0000	MK847	MK847	2017.07.06 08:56:49									
000000500847	1010	000000500847	0000	MK848	MK848	2017.07.06 08:56:49									
000000500848	1010	000000500848	0000	MK849	MK849	2017.07.06 08:56:49									
000000500849	1010	000000500849	0000	MK850	MK850	2017.07.06 08:56:49									
000000500850	1010	000000500850	0000	MK851	MK851	2017.07.06 08:56:49									
000000500851	1010	000000500851	0000	MK852	MK852	2017.07.06 08:56:49									
000000500852	1010	000000500852	0000	MK853	MK853	2017.07.06 08:56:49									
000000500853	1010	000000500853	0000	MK854	MK854	2017.07.06 08:56:49									
000000500854	1010	000000500854	0000	MK855	MK855	2017.07.06 08:56:49									
000000500855	1010	000000500855	0000	MK856	MK856	2017.07.06 08:56:49									
000000500856	1010	000000500856	0000	MK857	MK857	2017.07.06 08:56:49									
000000500101	1010	000000500101	0000	MK102	MK102	2017.07.06 08:56:49									
000000500357	1010	000000500357	0000	MK358	MK358	2017.07.06 08:56:49									
000000500607	1010	000000500607	0000	MK608	MK608	2017.07.06 08:56:49									
000000500857	1010	000000500857	0000	MK858	MK858	2017.07.06 08:56:49									
000000500102	1010	000000500102	0000	MK103	MK103	2017.07.06 08:56:49									
000000500050	1010	000000500050	0000	MK51	MK51	2017.07.06 08:56:49									
000000500051	1010	000000500051	0000	MK52	MK52	2017.07.06 08:56:49									
000000500052	1010	000000500052	0000	MK53	MK53	2017.07.06 08:56:49									
