LEGACY_PRICING_PROCEDURE	PRICING_PROCEDURE	USAGE_OF_THE_CONDITION_TABLE	APPLICATION	PRICING_PROCEDURE_TXT_GBL	PRICING_PROCEDURE_TXT_LCL	DI_TIMESTAMP									
V08000	V08000	B	V1	Contract Output	Kontraktnachrichten	2017.07.06 08:56:49									
V10000	V10000	B	V1	Order Output	Auftragsnachrichten	2017.07.06 08:56:49									
V10000	V10000	B	V2	Header Output	Kopfnachrichten	2017.07.06 08:56:49									
Y00001	Y00001	D	V	Material Determination	Materialfindung	2017.07.06 08:56:49									
Y10101	Y10101	A	V	Materials (Germany)	Materialien (Deutschland)	2017.07.06 08:56:49									
Y17101	Y17101	A	V	Materials (US)	Materialien (USA)	2017.07.06 08:56:49									
Y17J01	Y17J01	A	V	Materials (US)_Non-Vertex	Materialien (US) Nicht-Vertex	2017.07.06 08:56:49									
YA0001	YA0001	N	V	Free Goods SD	Naturalrabatt SD	2017.07.06 08:56:49									
YB0001	YB0001	H	CO	BP: Search procedure	BP: Suchschema	2017.07.06 08:56:49									
YB0001	YB0001	H	ME	BP: Search procedure	BP: Suchschema	2017.07.06 08:56:49									
YB0001	YB0001	H	V	BP: SD Search Procedure	BP: SD-Suchschema	2017.07.06 08:56:49									
YBDEL0	YBDEL0	A	V	Delivery (Freight)	Lieferung (Fracht)	2017.07.06 08:56:49									
YBL	YBL	A	CS	Sum wages and salaries	Summe Löhne und Gehälter	2017.07.06 08:56:49									
ZA0002	ZA0002	G	V	Listing w Org Units	Listung mit OrgEinheiten	2017.07.06 08:56:49									
ZB0002	ZB0002	G	V	Exclusion w Org Units	Ausschluss mit OrgEinheiten	2017.07.06 08:56:49									
