LEGACY_BP_ROLES	APP_OBJECT	BP_ROLES	BLOCK_REASON_TXT_GBL	BLOCK_REASON_TXT_LCL	DI_TIMESTAMP										
TR0100	BUPA	TR0100	Obsolete: Main Loan Partner	Obsolet:Hauptdarlehenspartner	2018.06.19 05:33:47										
TR0101	BUPA	TR0101	Obsolete: Borrower	Obsolet:Darlehensnehmer	2018.06.19 05:33:47										
TR0110	BUPA	TR0110	Obsolete: Prospect	Obsolet:Interessent	2018.06.19 05:33:47										
TR0113	BUPA	TR0113	Obsolete: Credit Standing Check	Obsolet:Bonitätsprüfung	2018.06.19 05:33:47										
TR0115	BUPA	TR0115	Obsolete: Special Arrangement	Obsolet:Sondervereinbarung	2018.06.19 05:33:47										
TR0120	BUPA	TR0120	Obsolete: Authorized Drawer	Obsolet:Verfügungsberechtigter	2018.06.19 05:33:47										
TR0121	BUPA	TR0121	Obsolete: Other Loan Partner with Customer Account	Obsolet:sonst. debit. Darlehenspartner	2018.06.19 05:33:47										
TR0150	BUPA	TR0150	Obsolete: Issuer	Obsolet:Emittent	2018.06.19 05:33:47										
TR0151	BUPA	TR0151	Obsolete: Counterparty	Obsolet:Kontrahent	2018.06.19 05:33:47										
TR0152	BUPA	TR0152	Obsolete: Depository Bank	Obsolet:Depotbank	2018.06.19 05:33:47										
TR0153	BUPA	TR0153	Obsolete: Paying Bank	Obsolet:Zahlbank	2018.06.19 05:33:47										
TR0154	BUPA	TR0154	Obsolete: Beneficiary	Obsolet:Begünstigter	2018.06.19 05:33:47										
TR0160	BUPA	TR0160	Obsolete: Ultimate Borrower	Obsolet:Enddarlehensnehmer	2018.06.19 05:33:47										
TR0200	BUPA	TR0200	Obsolete: Guarantor	Obsolet:Bürge	2018.06.19 05:33:47										
TR0202	BUPA	TR0202	Obsolete: Alternative Payer	Obsolet:Abweichender Regulierer	2018.06.19 05:33:47										
TR0203	BUPA	TR0203	Obsolete: Recoverer	Obsolet:Beitreiber	2018.06.19 05:33:47										
TR0600	BUPA	TR0600	Obsolete: Master Tenant with Customer Account	Obsolet:Debitorischer Hauptmieter	2018.06.19 05:33:47										
TR0601	BUPA	TR0601	Obsolete: Tenant (Without Customer Account)	Obsolet:Mieter (nichtdebitorisch)	2018.06.19 05:33:47										
TR0602	BUPA	TR0602	Obsolete: Landlord with a Vendor Account	Obsolet:Kreditorischer Vermieter	2018.06.19 05:33:47										
TR0603	BUPA	TR0603	Obsolete: Partner with a Customer Account	Obsolet:Debitorischer Vertragspartner	2018.06.19 05:33:47										
TR0604	BUPA	TR0604	Obsolete: Partner with a Vendor Account	Obsolet:Kreditorischer Vertragspartner	2018.06.19 05:33:47										
TR0610	BUPA	TR0610	Obsolete: Tenant External Comparative Apartment	Obsolet:Mieter ext. Vergleichswohnung	2018.06.19 05:33:47										
TR0622	BUPA	TR0622	Obsolete: Subsidizer	Obsolet:Zuschußgeber	2018.06.19 05:33:47										
TR0624	BUPA	TR0624	Obsolete: Subsidizer (with Customer Account)	Obsolet:Zuschußgeber debit.	2018.06.19 05:33:47										
TR0630	BUPA	TR0630	Obsolete: Court	Obsolet:Gericht	2018.06.19 05:33:47										
TR0635	BUPA	TR0635	Obsolete: State Central Bank	Obsolet:Landeszentralbank	2018.06.19 05:33:47										
TR0636	BUPA	TR0636	Obsolete: Bank for Rent Deposit	Obsolet:Bank für Kaution	2018.06.19 05:33:47										
TR0640	BUPA	TR0640	Obsolete: Applicants	Obsolet:Bewerber	2018.06.19 05:33:47										
TR0641	BUPA	TR0641	Obsolete: Co-Applicants	Obsolet:Mitbewerber	2018.06.19 05:33:47										
TR0645	BUPA	TR0645	Obsolete: Authorized Occupant	Obsolet:Belegungsberechtigter	2018.06.19 05:33:47										
TR0646	BUPA	TR0646	Obsolete: Authorized to Suggest Tenant	Obsolet:Vorschlagsberechtigter	2018.06.19 05:33:47										
TR0655	BUPA	TR0655	Obsolete: Guarantor	Obsolet:Sicherheitengeber	2018.06.19 05:33:47										
TR0700	BUPA	TR0700	Obsolete: Policyholder	Obsolet:Versicherungsnehmer	2018.06.19 05:33:47										
TR0701	BUPA	TR0701	Obsolete: Insurer	Obsolet:Versicherungsträger	2018.06.19 05:33:47										
TR0702	BUPA	TR0702	Obsolete: Person Insured	Obsolet:Versicherter	2018.06.19 05:33:47										
TR0703	BUPA	TR0703	Obsolete: Credit Institute	Obsolet:Kreditinstitut	2018.06.19 05:33:47										
TR0800	BUPA	TR0800	Obsolete: Customer/Vendor Integration: FI Customer	Obsolete:Debitor-/Kreditorintegration: Debitor	2018.06.19 05:33:47										
TR0801	BUPA	TR0801	Obsolete: Broker	Obsolet:Makler	2018.06.19 05:33:47										
TR0802	BUPA	TR0802	Obsolete: Notary	Obsolet:Notar	2018.06.19 05:33:47										
TR0803	BUPA	TR0803	Obsolete: Property Developer	Obsolet:Bauträger	2018.06.19 05:33:47										
TR0804	BUPA	TR0804	Obsolete: Primary Contractor	Obsolet:Generalunternehmer	2018.06.19 05:33:47										
TR0805	BUPA	TR0805	Obsolete: Primary Receiver	Obsolet:Generalübernehmer	2018.06.19 05:33:47										
TR0806	BUPA	TR0806	Obsolete: Administrator	Obsolet:Verwalter	2018.06.19 05:33:47										
TR0807	BUPA	TR0807	Obsolete: Technology	Obsolet:Technik	2018.06.19 05:33:47										
TR0808	BUPA	TR0808	Obsolete: Janitor	Obsolet:Hausmeister	2018.06.19 05:33:47										
TR0809	BUPA	TR0809	Obsolete: Architect	Obsolet:Architekt	2018.06.19 05:33:47										
TR0810	BUPA	TR0810	Obsolete: Land Registry	Obsolet:Grundbuchamt	2018.06.19 05:33:47										
TR0815	BUPA	TR0815	Obsolete: Appraiser	Obsolet:Gutachter	2018.06.19 05:33:47										
TR0820	BUPA	TR0820	Obsolete: Survey Office	Obsolet:Katasteramt	2018.06.19 05:33:47										
TR0821	BUPA	TR0821	Obsolete: Survey Office	Obsolet:Katasteramt	2018.06.19 05:33:47										
TR0822	BUPA	TR0822	Obsolete: Creditor	Obsolet:Gläubiger	2018.06.19 05:33:47										
TR0850	BUPA	TR0850	Obsolete: Correspondence Partner (Private)	Obsolet:Korrespondenzpartner privat	2018.06.19 05:33:47										
TR0860	BUPA	TR0860	Obsolete: Correspondence Partner (Business)	Obsolet:Korrespondenzpartner geschäftl	2018.06.19 05:33:47										
TR0990	BUPA	TR0990	Obsolete: Loan Contract Clerk	Obsolet:Sachbearbeiter Darl. Vertr.	2018.06.19 05:33:47										
TR0991	BUPA	TR0991	Obsolete: Loan Rollover Clerk	Obsolet:Sachbearbeiter Darl. Prol.	2018.06.19 05:33:47										
TR0992	BUPA	TR0992	Obsolete: Loan Accounting Clerk	Obsolet:Sachbearbeiter Darl. Buchh.	2018.06.19 05:33:47										
TR0997	BUPA	TR0997	Obsolete: Service Charge Settlement Clerk	Obsolet:Sachbearbeiter NKA	2018.06.19 05:33:47										
TR0998	BUPA	TR0998	Obsolete: Clerk	Obsolet:Sachbearbeiter	2018.06.19 05:33:47										
TXS001	BUPA	TXS001	Investor	Investor	2018.06.19 05:33:47										
UDM000	BUPA	UDM000	Business Partner Collections Management	Geschäftspartner Collections Management	2018.06.19 05:33:47										
UKM000	BUPA	UKM000	Business Partner Credit Management	Geschäftspartner Kreditmanagement	2018.06.19 05:33:47										
VLC001	BUPA	VLC001	End Customer	Endkunde	2018.06.19 05:33:47										
WFM001	BUPA	WFM001	Resource	Ressource	2018.06.19 05:33:47										
