LEGACY_CONDITION_TYPE	CONDITION_TYPE	APPLICATION	USAGE_OF_COND_TABLE	CONDITION_TYPE_TXT_GBL	CONDITION_TYPE_TXT_LCL	DI_TIMESTAMP									
AR4	AR4	TX	A	A/R Sales Tax 4	DE Umsatzsteuer 4	2018.06.19 05:33:47									
ARCC	ARCC	MR	B	Ariba Carbon Copy	Ariba-Kopie	2018.06.19 05:33:47									
ARSD	ARSD	TX	A	Sls Tax SD Interface	Umsatzsteuer SD-Sch.	2018.06.19 05:33:47									
ARSU	ARSU	MR	B	Ariba Status Update	Ariba-Statusaktual.	2018.06.19 05:33:47									
AS01	AS01	V	A	Tax trigger	Steuerauslöser	2018.06.19 05:33:47									
B000	B000	KA	A	Material	Material	2018.06.19 05:33:47									
B001	B001	KA	A	Wages	Löhne	2018.06.19 05:33:47									
B002	B002	KA	A	Salaries	Gehälter	2018.06.19 05:33:47									
B010	B010	KA	A	Production	Produktion	2018.06.19 05:33:47									
B090	B090	KA	A	Sales plant gen.	Verkauf Eigenerzeug.	2018.06.19 05:33:47									
B100	B100	TX	A	Convenio 100	Convenio 100	2018.06.19 05:33:47									
B101	B101	KA	A	Wage Cst Cntr/WgType	Löhne Kostenst./LArt	2018.06.19 05:33:47									
BA00	BA00	V1	B	Order Confirmation	Auftragsrückmeldung	2018.06.19 05:33:47									
BASB	BASB	TX	A	Base Amount	Basisbetrag	2018.06.19 05:33:47									
BASI	BASI	TX	A	Base Amount	Basisbetrag	2018.06.19 05:33:47									
BCI1	BCI1	TX	A	ICMS Complement Base	ICMS Ergänzungsbasis	2018.06.19 05:33:47									
BCI2	BCI2	TX	A	ICMS Complem. Exempt	ICMS Ergänz. befreit	2018.06.19 05:33:47									
BCI3	BCI3	TX	A	ICMS Complement Rate	ICMS Ergänzungssatz	2018.06.19 05:33:47									
BCO1	BCO1	TX	A	COFINS Rate	COFINS Satz	2018.06.19 05:33:47									
BCO2	BCO2	TX	A	COFINS Base	COFINS Basis	2018.06.19 05:33:47									
BCO3	BCO3	TX	A	COFINS Rate	COFINS Satz	2018.06.19 05:33:47									
BCO4	BCO4	TX	A	COFINS Pauta Amount	COFINS Pauta-Betrag	2018.06.19 05:33:47									
BCOP	BCOP	TX	A	COFINS Pauta Amount	COFINS Pauta-Betrag	2018.06.19 05:33:47									
BDIS	BDIS	TX	A	Discounting	Diskontierung	2018.06.19 05:33:47									
BFI1	BFI1	TX	A	ICMS Base Reduction	ICMS Basisreduktion	2018.06.19 05:33:47									
BFI2	BFI2	TX	A	ICMS Base Reduction	ICMS Basisreduktion	2018.06.19 05:33:47									
BFI3	BFI3	TX	A	ICMS Conh O.Bas Flag	ICMS Conh O.Bas Kz.	2018.06.19 05:33:47									
BFRE	BFRE	TX	A	Freight	Fracht	2018.06.19 05:33:47									
BI00	BI00	TX	A	Dummy Non-Statistic	Dummy Nicht statist.	2018.06.19 05:33:47									
BIC0	BIC0	TX	A	ICMS Rate	ICMS Satz	2018.06.19 05:33:47									
BIC1	BIC1	TX	A	ICMS Base Reduction	ICMS Basisreduktion	2018.06.19 05:33:47									
BIC2	BIC2	TX	A	ICMS Other Base Flag	ICMS Sonst. Basis-Kz	2018.06.19 05:33:47									
BIC3	BIC3	TX	A	ICMS Rate * Base	ICMS Satz * Basis	2018.06.19 05:33:47									
BIC5	BIC5	TX	A	ICMS Rate * 10^n	ICMS Satz * 10^n	2018.06.19 05:33:47									
BIC6	BIC6	TX	A	ICMS Base	ICMS Basis	2018.06.19 05:33:47									
BIC7	BIC7	TX	A	ICMS Exclude Base	ICMS Basis ausschl.	2018.06.19 05:33:47									
BIC9	BIC9	TX	A	ICMS Ind.Calc.Base	ICMS Kz. BerechnBas.	2018.06.19 05:33:47									
BICA	BICA	TX	A	ICMS Ind.Calc.Base	ICMS Kz. BerechnBas.	2018.06.19 05:33:47									
BICB	BICB	TX	A	ICMS Ref BIC1	ICMS Ref BIC1	2018.06.19 05:33:47									
BICC	BICC	TX	A	ICMS Conv.100 Flag	ICMS Konv.100 Kennz.	2018.06.19 05:33:47									
BICD	BICD	TX	A	ICMS Ex.Base Con.	ICMS Aus. Basis Kon.	2018.06.19 05:33:47									
BICE	BICE	TX	A	ICMS Con.Calc.Base	ICMS Kon.BerechnBas.	2018.06.19 05:33:47									
BICF	BICF	TX	A	ICMS Other Base Flag	ICMS Sonst. Basis-Kz	2018.06.19 05:33:47									
BICG	BICG	TX	A	ICMS Rate SF=ST	ICMS Satz SF=ST	2018.06.19 05:33:47									
BICH	BICH	TX	A	ICMS Rate SF=ST	ICMS Satz SF=ST	2018.06.19 05:33:47									
BICS	BICS	TX	A	ICMS Rate for ST	ICMS Satz für ST	2018.06.19 05:33:47									
BICX	BICX	TX	A	ICMS Exempt	ICMS befreit	2018.06.19 05:33:47									
BICY	BICY	TX	A	ICMS Exempt Ref BICX	ICMS befr. Ref. BICX	2018.06.19 05:33:47									
BIF0	BIF0	TX	A	ICMS on Freight	ICMS auf Fracht	2018.06.19 05:33:47									
BIFH	BIFH	TX	A	ICMS Fr Rate SF=ST	ICMS Fr-Satz SF=ST	2018.06.19 05:33:47									
BIP0	BIP0	TX	A	IPI Rate	IPI Satz	2018.06.19 05:33:47									
BIP1	BIP1	TX	A	IPI Base Reduction	IPI Basisreduktion	2018.06.19 05:33:47									
BIP2	BIP2	TX	A	IPI Other Base Flag	IPI Sonst. Basis-Kz.	2018.06.19 05:33:47									
BIP3	BIP3	TX	A	IPI Rate * Base	IPI Satz * Basis	2018.06.19 05:33:47									
BIP4	BIP4	TX	A	IPI Rate Ref BIP0	IPI Satz Ref BIP0	2018.06.19 05:33:47									
BIP5	BIP5	TX	A	IPI Rate * 10^n	IPI Satz * 10^n	2018.06.19 05:33:47									
BIP7	BIP7	TX	A	IPI  Exclude Base In	IPI  Basis auss. Ein	2018.06.19 05:33:47									
BIP9	BIP9	TX	A	IPI Calculation Base	IPI Berechnungsbasis	2018.06.19 05:33:47									
BIPA	BIPA	TX	A	IPI Rate Ref BIP0	IPI Satz Ref BIP0	2018.06.19 05:33:47									
BIPB	BIPB	TX	A	IPI Ref. Base	IPI Ref. Basis	2018.06.19 05:33:47									
BIPC	BIPC	TX	A	IPI Other Base Flag	IPI Sonst. Basis-Kz.	2018.06.19 05:33:47									
BIPD	BIPD	TX	A	IPI  Exclude Base Co	IPI  Basis-Co aussch	2018.06.19 05:33:47									
BIPE	BIPE	TX	A	Calculate Excl./Oth.	Ausg./Sonst. berechn	2018.06.19 05:33:47									
BIPP	BIPP	TX	A	IPI Pauta Amount	IPI Pauta-Betrag	2018.06.19 05:33:47									
BIPS	BIPS	TX	A	IPI -Split Vendor	IPI -Split Vendor	2018.06.19 05:33:47									
BIPT	BIPT	TX	A	IPI -Split Vendor PO	IPI -Split Vendor PO	2018.06.19 05:33:47									
BIPU	BIPU	TX	A	IPI -Split Vendor IV	IPI -Split Vendor IV	2018.06.19 05:33:47									
BIPX	BIPX	TX	A	IPI Exempt	IPI befreit	2018.06.19 05:33:47									
BIPY	BIPY	TX	A	IPI Exempt Ref BIPX	IPI befreit Ref BIPX	2018.06.19 05:33:47									
BIS0	BIS0	TX	A	ISS Rate	ISS Satz	2018.06.19 05:33:47									
BIS1	BIS1	TX	A	ISS Rate at Prov.	ISS Satz bei Leist.	2018.06.19 05:33:47									
BIS2	BIS2	TX	A	ISS Base at Prov.	ISS Basis bei Leist.	2018.06.19 05:33:47									
BIS3	BIS3	TX	A	ISS Law at Prov.	ISS Gesetz b. Leist.	2018.06.19 05:33:47									
BIS5	BIS5	TX	A	ISS Taxloc at Prov.	ISS SteuSt. b.Leist.	2018.06.19 05:33:47									
BIS6	BIS6	TX	A	ISS WHT at Prov.	ISS QSt bei Leist.	2018.06.19 05:33:47									
BIS7	BIS7	TX	A	ISS Min WHT at Prov.	ISS Min QSt bei Lei.	2018.06.19 05:33:47									
BISA	BISA	TX	A	ISS Rate at Serv.	ISS Satz am Leist.	2018.06.19 05:33:47									
BISB	BISB	TX	A	ISS Base at Serv.	ISS Basis am Leist.	2018.06.19 05:33:47									
BISC	BISC	TX	A	ISS Law at Serv.	ISS Gesetz am Leist.	2018.06.19 05:33:47									
BISE	BISE	TX	A	ISS Taxloc.at Serv.	ISS SteuStand am Lei	2018.06.19 05:33:47									
BISF	BISF	TX	A	ISS WHT at Serv.	ISS QSt am Leist.	2018.06.19 05:33:47									
BISG	BISG	TX	A	ISS Min WHT at Serv.	ISS Min QSt am Leist	2018.06.19 05:33:47									
BIZF	BIZF	TX	A	Zona Franca	Zona Franca	2018.06.19 05:33:47									
BLCO	BLCO	TX	A	Tax Laws for COFINS	Steuerges. f. COFINS	2018.06.19 05:33:47									
BLIC	BLIC	TX	A	Tax Laws for ICMS	Steuergesetze f.ICMS	2018.06.19 05:33:47									
BLIP	BLIP	TX	A	Tax Laws for IPI	Steuergesetze f. IPI	2018.06.19 05:33:47									
BLPI	BLPI	TX	A	Tax Laws for PIS	Steuergesetze f. PIS	2018.06.19 05:33:47									
BPI1	BPI1	TX	A	PIS Rate	PIS Satz	2018.06.19 05:33:47									
BPI2	BPI2	TX	A	PIS Base	PIS Basis	2018.06.19 05:33:47									
BPI3	BPI3	TX	A	PIS Rate	PIS Satz	2018.06.19 05:33:47									
BPI4	BPI4	TX	A	PIS Pauta Amount	PIS Pauta-Betrag	2018.06.19 05:33:47									
BPIP	BPIP	TX	A	PIS Pauta Amount	PIS Pauta-Betrag	2018.06.19 05:33:47									
BSF0	BSF0	TX	A	Subtrib. Rate	Subtrib. Satz	2018.06.19 05:33:47									
BSF1	BSF1	TX	A	ICMS Fr Rate SF=ST	ICMS Fr-Satz SF=ST	2018.06.19 05:33:47									
BST0	BST0	TX	A	Subtrib. Rate	Subtrib. Satz	2018.06.19 05:33:47									
BST1	BST1	TX	A	Subtrib. Surch. Type	Subtrib. ZuschlArt	2018.06.19 05:33:47									
BST2	BST2	TX	A	Subtrib. Minprice	Subtrib. Mindestpr.	2018.06.19 05:33:47									
BST3	BST3	TX	A	Subtrib. Fix Price	Subtrib. Festpreis	2018.06.19 05:33:47									
BST5	BST5	TX	A	Subtrib Icms Rate	Subtrib ICMS-Satz	2018.06.19 05:33:47									
BST6	BST6	TX	A	Subtrib. Reduction 1	Subtrib. Reduktion 1	2018.06.19 05:33:47									
BST7	BST7	TX	A	Subtrib. Reduction 2	Subtrib. Reduktion 2	2018.06.19 05:33:47									
BST8	BST8	TX	A	Subtrib. Base Reduct	Subtrib. Basis Red.	2018.06.19 05:33:47									
BST9	BST9	TX	A	Subtrib. Calc.Base	Subtrib. BerechBasis	2018.06.19 05:33:47									
BSTA	BSTA	TX	A	Subtrib. Surch. Type	Subtrib. ZuschlArt	2018.06.19 05:33:47									
BSTB	BSTB	TX	A	Subtrib. Surch. Type	Subtrib. ZuschlArt	2018.06.19 05:33:47									
BSTF	BSTF	TX	A	Subtrib.MinPr.Factor	SubTrib.MinPr.Faktor	2018.06.19 05:33:47									
BSTI	BSTI	TX	A	S.T. MinPrBef.Surch.	S.T. MinPrvrZschlag	2018.06.19 05:33:47									
BSUB	BSUB	TX	A	S.T. Base Modif.	S.T. Basismodifiz.	2018.06.19 05:33:47									
BW01	BW01	TX	A	WHT Coll.Code Gen.	QSt Einzugsschl.Gen.	2018.06.19 05:33:47									
BW02	BW02	TX	A	WHT Rate Gen.	QSt Satz Gen.	2018.06.19 05:33:47									
BW11	BW11	TX	A	WHT Coll.Code PIS	QSt EinzSchlüss. PIS	2018.06.19 05:33:47									
BW12	BW12	TX	A	WHT Rate PIS	QSt Satz PIS	2018.06.19 05:33:47									
BW21	BW21	TX	A	WHT Coll.Code COFINS	QSt EinzSchl. COFINS	2018.06.19 05:33:47									
BW22	BW22	TX	A	WHT Rate COFINS	QSt Satz COFINS	2018.06.19 05:33:47									
BW31	BW31	TX	A	WHT Coll.Code CSLL	QSt Einzugsschl.CSLL	2018.06.19 05:33:47									
BW32	BW32	TX	A	WHT Rate CSLL	QSt Satz CSLL	2018.06.19 05:33:47									
BW41	BW41	TX	A	WHT Coll.Code IR	QSt Einzugsschl. IR	2018.06.19 05:33:47									
BW42	BW42	TX	A	WHT Rate IR	QSt Satz IR	2018.06.19 05:33:47									
BW51	BW51	TX	A	BR WHT Base Amount	BR QSt Basisbetrag	2018.06.19 05:33:47									
BX01	BX01	TX	A	BR Tax Calculation	BR Steuerberechnung	2018.06.19 05:33:47									
BX10	BX10	TX	A	BR ICMS Normal Base	BR ICMS Normale Bas.	2018.06.19 05:33:47									
BX11	BX11	TX	A	BR ICMS Excluded Bse	BR ICMS Ausg. Basis	2018.06.19 05:33:47									
BX12	BX12	TX	A	BR ICMS Other Base	BR ICMS Andere Basis	2018.06.19 05:33:47									
BX13	BX13	TX	A	BR ICMS Amount	BR ICMS Betrag	2018.06.19 05:33:47									
BX14	BX14	TX	A	BR ICMS Freight Base	BR ICMS Fracht Basis	2018.06.19 05:33:47									
BX15	BX15	TX	A	BRICMS Freight Amnt.	BRICMS Frachtbetrag	2018.06.19 05:33:47									
BX16	BX16	TX	A	BR ICMS Rate	BR ICMS Satz	2018.06.19 05:33:47									
BX17	BX17	TX	A			2018.06.19 05:33:47									
BX18	BX18	TX	A			2018.06.19 05:33:47									
BX19	BX19	TX	A			2018.06.19 05:33:47									
BX1E	BX1E	TX	A			2018.06.19 05:33:47									
BX20	BX20	TX	A	BR IPI Normal Base	BR IPI Normale Basis	2018.06.19 05:33:47									
BX21	BX21	TX	A	BR IPI Excluded Base	BR IPI Ausg. Basis	2018.06.19 05:33:47									
BX22	BX22	TX	A	BR IPI Other Base	BR IPI Andere Basis	2018.06.19 05:33:47									
BX23	BX23	TX	A	BR IPI Amount	BR IPI Betrag	2018.06.19 05:33:47									
BX24	BX24	TX	A	BR IPI Offset Base	BR IPI AbgrenzBasis	2018.06.19 05:33:47									
BX25	BX25	TX	A	BR IPI Offset Amount	BR IPI AbgrenzBetrag	2018.06.19 05:33:47									
BX30	BX30	TX	A	BR ICMS Comp. Base	BR ICMS Komp.-Basis	2018.06.19 05:33:47									
BX31	BX31	TX	A	BR ICMS Comp.  Amnt.	BR ICMS Komp.-Betrag	2018.06.19 05:33:47									
BX32	BX32	TX	A	BR ICMS Comp. Rate	BR ICMS Komp.-Rate	2018.06.19 05:33:47									
BX40	BX40	TX	A	BR SubTrib Base	BR SubTrib Basis	2018.06.19 05:33:47									
BX41	BX41	TX	A	BR SubTrib Amount	BR SubTrib Betrag	2018.06.19 05:33:47									
BX42	BX42	TX	A	BR SubTrib Fr. Base	BR SubTrib Fr.-Basis	2018.06.19 05:33:47									
BX43	BX43	TX	A	BR SubTrib Fr. Amnt	BR SubTrib Fr.Betrag	2018.06.19 05:33:47									
BX44	BX44	TX	A	BRSubTrib NF Rate	BRSubTrib NF Rate	2018.06.19 05:33:47									
BX45	BX45	TX	A			2018.06.19 05:33:47									
BX46	BX46	TX	A			2018.06.19 05:33:47									
BX47	BX47	TX	A			2018.06.19 05:33:47									
BX49	BX49	TX	A			2018.06.19 05:33:47									
BX4E	BX4E	TX	A			2018.06.19 05:33:47									
BX50	BX50	TX	A	BR ISS Base	BR ISS Basis	2018.06.19 05:33:47									
BX51	BX51	TX	A	BR ISS Amount	BR ISS Betrag	2018.06.19 05:33:47									
BX60	BX60	TX	A	BR ISS Base Prov	BR ISS Basisprov.	2018.06.19 05:33:47									
BX61	BX61	TX	A	BR ISS ExBase Prov	BR ISS ExBasisprov.	2018.06.19 05:33:47									
BX62	BX62	TX	A	BR ISS Amount Prov	BR ISS Betrag Prov.	2018.06.19 05:33:47									
BX63	BX63	TX	A	BR ISS WTAmount Prov	BR ISS WTBetrag Prov	2018.06.19 05:33:47									
BX64	BX64	TX	A	BR ISS WT Base Prov	BR ISS WT Basisprov.	2018.06.19 05:33:47									
BX65	BX65	TX	A	BR ISS WTExBase Prov	BR ISS WTExBasisprov	2018.06.19 05:33:47									
BX6A	BX6A	TX	A	BR ISS Base Serv	BR ISS Basisservice	2018.06.19 05:33:47									
BX6B	BX6B	TX	A	BR ISS ExBase Serv	BR ISS ExBasisserv.	2018.06.19 05:33:47									
BX6C	BX6C	TX	A	BR ISS Amount Serv	BR ISS Betrag Serv.	2018.06.19 05:33:47									
BX6D	BX6D	TX	A	BR ISS WTAmount Serv	BR ISS WTBetrag Serv	2018.06.19 05:33:47									
BX6E	BX6E	TX	A	BR ISS WT Base Serv	BR ISS WT Basisserv.	2018.06.19 05:33:47									
BX6F	BX6F	TX	A	BR ISS WTExBase Serv	BR ISS WTExBasisserv	2018.06.19 05:33:47									
BX6O	BX6O	TX	A	BR ISS Offset TxIncl	BR ISS Abg SteuerInk	2018.06.19 05:33:47									
BX70	BX70	TX	A	BR COFINS Base	BR COFINS Basis	2018.06.19 05:33:47									
BX71	BX71	TX	A	BR COFINS Excl.Base	BR COFINS Auss.Basis	2018.06.19 05:33:47									
BX72	BX72	TX	A	BR COFINS Amount	BR COFINS Betrag	2018.06.19 05:33:47									
BX73	BX73	TX	A	BR COFINS Amount Res	BR COFINS BetrRes.	2018.06.19 05:33:47									
BX7O	BX7O	TX	A	BR COFINS Off.TxIncl	BR COFINS Abg.StInkl	2018.06.19 05:33:47									
BX7P	BX7P	TX	A	BR COFINS Pauta Amt.	BR COFINS Pauta-Btr.	2018.06.19 05:33:47									
BX7Q	BX7Q	TX	A	BR COFINS Pauta Amt.	BR COFINS Pauta-Btr.	2018.06.19 05:33:47									
BX7R	BX7R	TX	A	BR COFINS Res. Base	BR COFINS LösBasis	2018.06.19 05:33:47									
BX80	BX80	TX	A	BR PIS Base	BR PIS Basis	2018.06.19 05:33:47									
BX81	BX81	TX	A	BR PIS Excl. Base	BR PIS Ausschl.Basis	2018.06.19 05:33:47									
BX82	BX82	TX	A	BR PIS Amount	BR PIS Betrag	2018.06.19 05:33:47									
BX83	BX83	TX	A	BR PIS Amount Res.	BR PIS Betragsres.	2018.06.19 05:33:47									
BX8O	BX8O	TX	A	BR PIS Off.TxIncl	BR PIS Abg.SteuInkl.	2018.06.19 05:33:47									
BX8P	BX8P	TX	A	BR PIS Pauta Amount	BR PIS Pauta-Betrag	2018.06.19 05:33:47									
BX8Q	BX8Q	TX	A	BR PIS Pauta Amount	BR PIS Pauta-Betrag	2018.06.19 05:33:47									
BX8R	BX8R	TX	A	BR PIS Res. Base	BR PIS Lösungsbasis	2018.06.19 05:33:47									
BXPA	BXPA	TX	A	BR IPI Pauta Amount	BR IPI Pauta-Betrag	2018.06.19 05:33:47									
BXPO	BXPO	TX	A	BR Caller = PO?	BR Anrufer = PO?	2018.06.19 05:33:47									
BXWA	BXWA	TX	A	BR WHT Base Amount	BR QSt Basisbetrag	2018.06.19 05:33:47									
BXWT	BXWT	TX	A	BR WHT Base Amount	BR QSt Basisbetrag	2018.06.19 05:33:47									
BXZF	BXZF	TX	A			2018.06.19 05:33:47									
C000	C000	KA	A	Material OH	GK Material	2018.06.19 05:33:47									
C001	C001	KA	A	Manufacturing OH	GK Fertigung	2018.06.19 05:33:47									
C002	C002	KA	A	Administration OH	GK Verwaltung	2018.06.19 05:33:47									
C003	C003	KA	A	Sales OH	GK Vertrieb	2018.06.19 05:33:47									
C010	C010	KA	A	Material OH/Surcharg	GK Material/Zuschlag	2018.06.19 05:33:47									
C011	C011	KA	A	Manuf.OH/OH Surch	GK Fertigung/Zuschl.	2018.06.19 05:33:47									
C012	C012	KA	A	Manuf.OH/OH Surch	GK Fertigung/Zuschl.	2018.06.19 05:33:47									
C013	C013	KA	A	Sales OH/OH Surch	GK Vertrieb/Zuschlag	2018.06.19 05:33:47									
C020	C020	KA	A	Material OH/plant	GK Material/Werk	2018.06.19 05:33:47									
C021	C021	KA	A	Manuf.OH/plant	GK Fertigung/Werk	2018.06.19 05:33:47									
C022	C022	KA	A	Admin.OH/Plant	GK Verwaltung/Werk	2018.06.19 05:33:47									
C023	C023	KA	A	Sales OH/Plant	GK Vertrieb/Werk	2018.06.19 05:33:47									
C030	C030	KA	A	Material OH/CCode	GK Material/Bukrs	2018.06.19 05:33:47									
C031	C031	KA	A	Manuf.OH/CCode	GK Fertigung/Bukrs	2018.06.19 05:33:47									
C032	C032	KA	A	Admin.OH/CCode	GK Verwaltung/Bukrs	2018.06.19 05:33:47									
C033	C033	KA	A	Sales OH/CCode	GK Vertrieb/Bukrs	2018.06.19 05:33:47									
C040	C040	KA	A	Material OH/BArea	GK Material/Gsber.	2018.06.19 05:33:47									
C041	C041	KA	A	Manuf.OH/BArea	GK Fertigung/Gsber.	2018.06.19 05:33:47									
C042	C042	KA	A	Admin.OH/BArea	GK Verwaltung/Gsber.	2018.06.19 05:33:47									
C043	C043	KA	A	Sales OH/BArea	GK Vertrieb/Gsber.	2018.06.19 05:33:47									
C050	C050	KA	A	Material OH/OType	GK Vertrieb/AArt	2018.06.19 05:33:47									
C051	C051	KA	A	Manuf.OH/OType	GK Fertigung/AArt	2018.06.19 05:33:47									
C052	C052	KA	A	Admin.OH/OType	GK Verwaltung/AArt	2018.06.19 05:33:47									
C053	C053	KA	A	Sales OH/OType	GK Vertrieb/AArt	2018.06.19 05:33:47									
C060	C060	KA	A	Material OH/OType	GK Vertrieb/AArt	2018.06.19 05:33:47									
C061	C061	KA	A	Manuf.OH/OType	GK Fertigung/AArt	2018.06.19 05:33:47									
C062	C062	KA	A	Admin.OH/OType	GK Verwaltung/AArt	2018.06.19 05:33:47									
C063	C063	KA	A	Sales OH/OType	GK Vertrieb/AArt	2018.06.19 05:33:47									
C070	C070	KA	A	Material OH/Version	GK Material/Version	2018.06.19 05:33:47									
C080	C080	KA	A	Mat-OH/Profit Ctr.	GK Mat./Profitcenter	2018.06.19 05:33:47									
CCOP	CCOP	TX	A	ICMS Conh Complement	ICMS Conh-Komplement	2018.06.19 05:33:47									
CCOX	CCOX	TX	A	ICMS Conh Compl 100	ICMS Conh-Kompl. 100	2018.06.19 05:33:47									
CIC0	CIC0	TX	A	Conh ICMS Exempt	Conh ICMS befreit	2018.06.19 05:33:47									
CIC1	CIC1	TX	A			2018.06.19 05:33:47									
CIC2	CIC2	TX	A			2018.06.19 05:33:47									
CIC3	CIC3	TX	A			2018.06.19 05:33:47									
CNSC	CNSC	TX	A	Service Tax Cred. CN	DienstlSt. Haben CN	2018.06.19 05:33:47									
CNSD	CNSD	TX	A	Service Tax Deb. CN	DienstlSteu. Soll CN	2018.06.19 05:33:47									
CONC	CONC	TX	A	Consumption tax Cre.	Luxussteuer Haben	2018.06.19 05:33:47									
COND	COND	TX	A	Consumption tax Deb.	Luxussteuer Soll	2018.06.19 05:33:47									
CST1	CST1	TX	A			2018.06.19 05:33:47									
CST2	CST2	TX	A			2018.06.19 05:33:47									
CST3	CST3	TX	A			2018.06.19 05:33:47									
D100	D100	V	A	100% discount	100%-Abschlag	2018.06.19 05:33:47									
DC01	DC01	V	A	Division / Customer	Sparte/Kunde	2018.06.19 05:33:47									
DCD1	DCD1	M	A	Cash Discount 1	Skonto 1	2018.06.19 05:33:47									
DCD1	DCD1	V	A	Cash Discount Gross	Skonto brutto	2018.06.19 05:33:47									
DCD2	DCD2	V	A	Cash Discount Net	Skonto netto	2018.06.19 05:33:47									
DCM1	DCM1	V	A	Customer/Material	Kunde/Material	2018.06.19 05:33:47									
DFAD	DFAD	V	A	Factoring Discount	Delkredere	2018.06.19 05:33:47									
DM01	DM01	V	A	Material	Material	2018.06.19 05:33:47									
DPG1	DPG1	V	A	Cust. Grp / Material	Kundengr./Material	2018.06.19 05:33:47									
DPG2	DPG2	V	A	Customer Price Group	Kundenpreisgruppe	2018.06.19 05:33:47									
DPG3	DPG3	V	A	Material Price Group	Materialpreisgruppe	2018.06.19 05:33:47									
DPG4	DPG4	V	A	Customer/Mat.Pr.Grp	Kunde/MatPreisgruppe	2018.06.19 05:33:47									
DPG5	DPG5	V	A	Cust. Grp/Mat.Pr.Grp	Kundengr./MatPrGr.	2018.06.19 05:33:47									
DRD1	DRD1	V	A	Rounding Off	Runden	2018.06.19 05:33:47									
DRE1	DRE1	V	A	Refund Deduction	Rückerstattungsabzug	2018.06.19 05:33:47									
DRG1	DRG1	M	A	% Gross Amount 1	% Bruttobetrag 1	2018.06.19 05:33:47									
DRG1	DRG1	V	A	% Gross Amount 1	% Bruttobetrag 1	2018.06.19 05:33:47									
DRN1	DRN1	M	A	% Net Amount 1	% Nettobetrag 1	2018.06.19 05:33:47									
DRN1	DRN1	V	A	% Net Amount 1	% Nettobetrag 1	2018.06.19 05:33:47									
DRQ1	DRQ1	M	A	+/- as to Quantity 1	+/- bzgl. Menge 1	2018.06.19 05:33:47									
DRQ1	DRQ1	V	A	+/- as to Quantity 1	+/- bzgl. Menge 1	2018.06.19 05:33:47									
DRV1	DRV1	M	A	Fixed Amount 1	Festbetrag 1	2018.06.19 05:33:47									
DRV1	DRV1	V	A	Fixed Amount 1	Festbetrag 1	2018.06.19 05:33:47									
DRW1	DRW1	M	A	+/- as to Grss Wght	+/- bzgl. Bruttogew.	2018.06.19 05:33:47									
DRW1	DRW1	V	A	+/- as to Grss Wght1	+/- bzgl. Bruttogew1	2018.06.19 05:33:47									
EINK	EINK	MR	B	Mail to Purchasing	Mail an Einkauf	2018.06.19 05:33:47									
FGSU	FGSU	MR	B	Fieldglass Status Up	Fieldglass-Statusak.	2018.06.19 05:33:47									
FGW1	FGW1	M	A	Freight/Gr. Weight 1	Fracht/BruGewicht 1	2018.06.19 05:33:47									
FQU1	FQU1	M	A	Freight/Quantity 1	Fracht/Menge 1	2018.06.19 05:33:47									
