LEGACY_CUSTOMER_NUMBER	CUSTOMER_NUMBER	COMPANY_CODE	PREVIOUS_MASTER_RECORD_NUMBER	CUSTOMER_NUMBER_TXT_GBL	CUSTOMER_NUMBER_TXT_LCL	DI_TIMESTAMP									
MIGCUS0004	MIGCUS0004	1710	 	Abarcombie & Finch		2018.06.19 05:33:47									
MIGCUS0005	MIGCUS0005	1710	 	Americans Apparels		2018.06.19 05:33:47									
MIGCUS0006	MIGCUS0006	1710	 	Ana Fields		2018.06.19 05:33:47									
MIGCUS0007	MIGCUS0007	1710	 	Ramis Inc.		2018.06.19 05:33:47									
MIGCUS0008	MIGCUS0008	1710	 	RedInk Corp.		2018.06.19 05:33:47									
PR_ACC_210	MIGCUS0009	1010	PR_ACC_210		Name_210	2018.06.19 05:33:47									
PR_ACC_210	MIGCUS1001	1010	PR_ACC_210	Euclidus University		2018.06.19 05:33:47									
MIGCUS1001	MIGCUS1001	1710	 	Euclidus University		2018.06.19 05:33:47									
MIGCUS1002	MIGCUS1002	1710	 	World Banks		2018.06.19 05:33:47									
MIGCUS1003	MIGCUS1003	1710	 	22nd Century Fox		2018.06.19 05:33:47									
MIGCUS1004	MIGCUS1004	1710	 	Abarcombie & Finch		2018.06.19 05:33:47									
MIGCUS1005	MIGCUS1005	1710	 	Americans Apparels		2018.06.19 05:33:47									
MIGCUS1006	MIGCUS1006	1710	 	Ana Fields		2018.06.19 05:33:47									
MIGCUS1007	MIGCUS1007	1710	 	Ramis Inc.		2018.06.19 05:33:47									
MIGCUS1008	MIGCUS1008	1710	 	RedInk Corp.		2018.06.19 05:33:47									
PR_ACC_210	MIGCUS1009	1010	PR_ACC_210		Name_210	2018.06.19 05:33:47									
PR_ACC_210	MIG_210	1010	PR_ACC_210		Name_210	2018.06.19 05:33:47									
MIG_CPD_02	MIG_CPD_02	1710	 	Migration CPD Cust 01		2018.06.19 05:33:47									
MIG_KU_175	MIG_KU_175	1010	 		Customer and Supplier 175	2018.06.19 05:33:47									
MIG_KU_176	MIG_KU_176	1010	 		Customer and Supplier 176	2018.06.19 05:33:47									
PR_ACC_210	MIG_USC001	1010	PR_ACC_210	Euclidus University		2018.06.19 05:33:47									
MIG_USC001	MIG_USC001	1710	 	Euclidus University		2018.06.19 05:33:47									
MIG_USC002	MIG_USC002	1710	 	World Banks		2018.06.19 05:33:47									
MIG_USC003	MIG_USC003	1710	 	22nd Century Fox		2018.06.19 05:33:47									
MIG_USC004	MIG_USC004	1710	 	Abarcombie & Finch		2018.06.19 05:33:47									
MIG_USC005	MIG_USC005	1710	 	Americans Apparels		2018.06.19 05:33:47									
MIG_USC006	MIG_USC006	1710	 	Ana Fields		2018.06.19 05:33:47									
MIG_USC007	MIG_USC007	1710	 	Ramis Inc.		2018.06.19 05:33:47									
MIG_USC008	MIG_USC008	1710	 	RedInk Corp.		2018.06.19 05:33:47									
MIG_WTH01	MIG_WTH01	1710	 	Migration WTH Customer 01		2018.06.19 05:33:47									
MIG_WTH02	MIG_WTH02	1710	 	Migration WTH Customer 02		2018.06.19 05:33:47									
MTA_KU_175	MTA_KU_175	1010	 		Customer and Supplier 175	2018.06.19 05:33:47									
MTA_KU_176	MTA_KU_176	1010	 		Customer and Supplier 176	2018.06.19 05:33:47									
