LEGACY_ITEM_CATEGORY	ITEM_CATEGORY	ITEM_CATEGORY_TXT_GBL	ITEM_CATEGORY_TXT_LCL	DI_TIMESTAMP											
GAN2	GAN2	Advanced CMR	Erw. GS-Anforderung	2017.07.06 08:56:49											
GFN	GFN	Request Billing Plan	Anforderung FaktPlan	2017.07.06 08:56:49											
KEN	KEN	Consignment Issue	KonsignatEntnahme	2017.07.06 08:56:49											
KLN	KLN	Free of Charge Item	Kostenlose Position	2017.07.06 08:56:49											
KMN	KMN	Qty Contract Item	Mengenkontraktpos.	2017.07.06 08:56:49											
L2N	L2N	Request	Anforderung	2017.07.06 08:56:49											
L2W	L2W	Request	Anforderung	2017.07.06 08:56:49											
LAN	LAN	Ret.Packaging Pickup	Leihgutabholung	2017.07.06 08:56:49											
LBN	LBN	Mat. Provided Item	Beistellposition	2017.07.06 08:56:49											
LBR	LBR	PM Item for Reserv.	PM-Pos. für Reservrg	2017.07.06 08:56:49											
LFN	LFN	Request Billing Plan	Anforderung FaktPlan	2017.07.06 08:56:49											
NLN	NLN	StandStockTransItem	Umlagerpos. normal	2017.07.06 08:56:49											
PI	PI			2017.07.06 08:56:49											
PS01	PS01	Fixed Price	Festpreis	2017.07.06 08:56:49											
PS02	PS02	Time and Expenses	Zeit und Aufwand	2017.07.06 08:56:49											
PS03	PS03	Request for Service	Serviceanforderung	2017.07.06 08:56:49											
PS05	PS05	Statistische Pos.	Statistische Pos.	2017.07.06 08:56:49											
PS06	PS06	Periodic Service	Periodischer Service	2017.07.06 08:56:49											
PS13	PS13	Fixed Price	Festpreis	2017.07.06 08:56:49											
PS23	PS23	Time and Expenses	Zeit und Aufwand	2017.07.06 08:56:49											
PS33	PS33	Periodic Services	Periodische Services	2017.07.06 08:56:49											
PS43	PS43	Payment on Account	Akontozahlung	2017.07.06 08:56:49											
PSC1	PSC1	ReCredtmemo Service		2017.07.06 08:56:49											
PVN	PVN	Item Proposal	Positionsvorschlag	2017.07.06 08:56:49											
REN	REN	Standard Item	Normalposition	2017.07.06 08:56:49											
REN2	REN2	Adv. Returns Item	Erw. Retourenpos.	2017.07.06 08:56:49											
RENV	RENV	Acc. Return Non-Val.	Erw. Retoure Unbew.	2017.07.06 08:56:49											
RLN	RLN	Returns Order	Retourenauftrag	2017.07.06 08:56:49											
TAD	TAD	Service Item	Leistung	2017.07.06 08:56:49											
TAN	TAN	Standard Item	Normalposition	2017.07.06 08:56:49											
TANN	TANN	Free of Charge Item	Kostenlose Position	2017.07.06 08:56:49											
TAO	TAO	Milestone-Bill.Plan	TeilfakturierPlan	2017.07.06 08:56:49											
TAQ	TAQ	Pric.at Header Level	Lieferumfang oben	2017.07.06 08:56:49											
TAX	TAX	Non-Stock Item	Nichtlagerposition	2017.07.06 08:56:49											
TPOP	TPOP	Inbound Delivery	Anlieferung	2017.07.06 08:56:49											
UPOS	UPOS	Automotive Subitem	Automotive-Unterpos.	2017.07.06 08:56:49											
VC01	VC01	Value Contract item	Wertkontraktposition	2017.07.06 08:56:49											
