LEGACY_GL_ACCOUNT_NUMBER	GL_ACCOUNT_NUMBER	CHART_OF_ACCOUNTS	GL_ACCOUNT_NUMBER_TXT_GBL	GL_ACCOUNT_NUMBER_TXT_LCL	DI_TIMESTAMP										
0023000200	0023000200	YCOA	Lease Liability - Machinery & Equipment (ROU)	Leasingverbind. - tech. Anlagen u. Maschinen (ROU)	2018.06.19 05:33:47										
0023000300	0023000300	YCOA	Lease Liability - Motor Vehicles (ROU)	Leasingverbindlichkeiten - Fuhrpark (ROU)	2018.06.19 05:33:47										
0023000400	0023000400	YCOA	Lease Liability - Office Equipment (ROU)	Leasingverbindlichk. - Geschäftsausstattung (ROU)	2018.06.19 05:33:47										
0023000500	0023000500	YCOA	Lease Liability - Furniture and Fixtures (ROU)	Leasingverbind. - Betr.- und Geschäftsausst. (ROU)	2018.06.19 05:33:47										
0023000600	0023000600	YCOA	Lease Liability-Computer Hardware&Equipment (ROU)	Leasingverbind. - Computer-Hardware/-Ausst. (ROU)	2018.06.19 05:33:47										
0024010000	0024010000	YCOA	GR/IR: Goods and Services not yet delivered	WE/RE: Noch nicht erfolgte Lieferung und Leistung	2018.06.19 05:33:47										
0024020000	0024020000	YCOA	GR/IR: Goods and Services not yet invoiced	WE/RE: Noch nicht berechnete Lieferung u. Leistung	2018.06.19 05:33:47										
0024030000	0024030000	YCOA	Tax Provisions	Sonstige Steuerrückstellungen	2018.06.19 05:33:47										
0024031000	0024031000	YCOA	Pension Provision	Rückst. für Pensionen und ähnliche Verpflichtungen	2018.06.19 05:33:47										
0024031100	0024031100	YCOA	Pension Provision - ledgerspecific	Pensionsrückstellung - ledgerspezifisch	2018.06.19 05:33:47										
0024032000	0024032000	YCOA	Trade Tax Provision	Rückstellungen Gewerbesteuer	2018.06.19 05:33:47										
0024033000	0024033000	YCOA	Corporate Income Tax Provision	Rückstellungen Körperschaftssteuer	2018.06.19 05:33:47										
0024034000	0024034000	YCOA	Capital Gains Tax Provision	Rückstellungen Kapitalertragsteuer	2018.06.19 05:33:47										
0024035000	0024035000	YCOA	Foreign Withholding Tax Provision	Rückstellungen ausländische Quellensteuer	2018.06.19 05:33:47										
0024036000	0024036000	YCOA	Provision for Other Income and Revenue Tax	Rückstellungen and. Steuern v. Einkommen u. Ertrag	2018.06.19 05:33:47										
0024037000	0024037000	YCOA	Provision for Deferred Tax Liabilities	Rückstellungen für passive latente Steuern	2018.06.19 05:33:47										
0024090000	0024090000	YCOA	Other Provisions	Sonstige Rückstellungen	2018.06.19 05:33:47										
0024091000	0024091000	YCOA	Provisions for Guarantees	Rückstellungen für Gewährleistungen	2018.06.19 05:33:47										
0024093000	0024093000	YCOA	Provisions for Indeterminate Payables	Rückstellungen für ungewisse Verbindlichkeiten	2018.06.19 05:33:47										
0024097000	0024097000	YCOA	Prov for expected Losses fr executory Contracts	Rückst.f.drohende Verluste a. schweb. Geschäften	2018.06.19 05:33:47										
0024098000	0024098000	YCOA	Asset Revaluation Reserve	Anlagenneubewertungsrücklage	2018.06.19 05:33:47										
0024098100	0024098100	YCOA	Capital Reserves	Kapitalrücklagen	2018.06.19 05:33:47										
0024098200	0024098200	YCOA	Profit Reserves	Gewinnrücklagen	2018.06.19 05:33:47										
0024098300	0024098300	YCOA	Capital Reserve	Kapitalrücklage	2018.06.19 05:33:47										
0024098400	0024098400	YCOA	Legal Reserve	Gesetzliche Rücklage	2018.06.19 05:33:47										
0024098500	0024098500	YCOA	Statutory Reserve	Satzungsmäßige Rücklage	2018.06.19 05:33:47										
0024098600	0024098600	YCOA	Other Reservers	Andere Gewinnrücklagen	2018.06.19 05:33:47										
0024098700	0024098700	YCOA	Special tax-allowable Reserve §6b	Sonderposten mit Rücklageanteil nach §6b	2018.06.19 05:33:47										
0024099900	0024099900	YCOA	Correction of Provisions	Korrektur Rückstellung	2018.06.19 05:33:47										
0026900000	0026900000	YCOA	Functional Area Clearing	Funktionsbereich Verrechnungskonto	2018.06.19 05:33:47										
0026910000	0026910000	YCOA	Investment Receivables received	Erhaltene Investitions-Förderungen	2018.06.19 05:33:47										
0026911000	0026911000	YCOA	Clearing of Investment receivables received	Verrechnung erhaltene Investitions-Förderungen	2018.06.19 05:33:47										
0029120000	0029120000	YCOA	Other Payables due > 5 Years	Sonstige Verbindlichkeiten Restlaufzeit > 5 Jahre	2018.06.19 05:33:47										
0029500100	0029500100	YCOA	Document Split Clearing Account	Belegsplit Verrechnungskonto	2018.06.19 05:33:47										
0029500900	0029500900	YCOA	Document Split Clearing Account CO	Belegsplit Verrechnungskonto CO	2018.06.19 05:33:47										
0029110000	0029110000	YCOA	Other Payables due within 1-5 Years	Sonstige Verbindlichkeiten, Restlaufz. 1-5 Jahre	2018.06.19 05:33:47										
0029130000	0029130000	YCOA	Loans from Banks remaining Life 1-5 Years	Darlehen v. Kreditinstituten Restlaufz. 1-5 Jahre	2018.06.19 05:33:47										
0029131000	0029131000	YCOA	Loans from Banks remaining Life > 5 Years	Darlehen v. Kreditinstituten Restlaufz. > 5 Jahre	2018.06.19 05:33:47										
0031000000	0031000000	YCOA	Common Stock	Stammkapital	2018.06.19 05:33:47										
0031100000	0031100000	YCOA	Preferred Stock	Vorzugsaktie	2018.06.19 05:33:47										
0032000000	0032000000	YCOA	Capital in Excess of Par Value	Kapital über dem Nennwert	2018.06.19 05:33:47										
0032100000	0032100000	YCOA	Paid in Capital from treasury stock	Eingezahltes Kapital aus eigenen Anteilen	2018.06.19 05:33:47										
0033000000	0033000000	YCOA	Retained Earnings	Ergebnisvortrag	2018.06.19 05:33:47										
0039911000	0039911000	YCOA	Inventory - Initial Entry of Raw Material Balances	Gegenbuchung Bestandsaufnahme Rohstoffe	2018.06.19 05:33:47										
0039912000	0039912000	YCOA	Inventory - Initial Entry SF & Finish Gds Balances	Gegenbu.Bestandsaufnahme Unfertig-u.Fertigprodukte	2018.06.19 05:33:47										
0039913000	0039913000	YCOA	Initial FI-AM offset	Initiale Gegenbuchung für FI-AM	2018.06.19 05:33:47										
0039914000	0039914000	YCOA	Initial FI-AR offset	Initiale Gegenbuchung für FI-AR	2018.06.19 05:33:47										
0039915000	0039915000	YCOA	Initial FI-AP offset	Initiale Gegenbuchung für FI-AP	2018.06.19 05:33:47										
0039916000	0039916000	YCOA	Initial other GL offset	Initiale Gegenbuchung für anderes Hauptbuch	2018.06.19 05:33:47										
0039917000	0039917000	YCOA	Initial other Open Item GL offset	Initiale HB-Gegenbuchung für anderen off. Posten	2018.06.19 05:33:47										
0041000000	0041000000	YCOA	Revenue Domestic - Product	Erlöse Inland - Erzeugnis	2018.06.19 05:33:47										
0041000400	0041000400	YCOA	Sales Revenue w/ Cost Element	Umsatzerlöse mit Kostenart	2018.06.19 05:33:47										
0041001000	0041001000	YCOA	Revenue Foreign - Product	Erlöse Ausland - Erzeugnis	2018.06.19 05:33:47										
0041001500	0041001500	YCOA	Revenue Affiliate - Product	Erlöse Verbundene - Erzeugnis	2018.06.19 05:33:47										
0041002000	0041002000	YCOA	Accrued Revenue - Adjustment	Aktiver Abgrenzungsposten - Korrektur	2018.06.19 05:33:47										
0041003000	0041003000	YCOA	Accrued Revenue – EBR Adjustment	Aktive Abgrenzung - EBR-Anpassung	2018.06.19 05:33:47										
0041004000	0041004000	YCOA	Sales Deductions with Cost Element	Erlösschmälerungen mit Kostenart	2018.06.19 05:33:47										
0041090000	0041090000	YCOA	Other Operating Revenue	Sonstige betriebliche Erträge	2018.06.19 05:33:47										
0041090010	0041090010	YCOA	VAT in Revenue (RU)	Umsatzsteuer in Erlös (RU)	2018.06.19 05:33:47										
0041090011	0041090011	YCOA	VAT in Goods Sales (RU)	Umsatzsteuer in Warenverkäufen (RU)	2018.06.19 05:33:47										
0044000000	0044000000	YCOA	Over/Underpayments and Unallowed Deductions	Unberechtigte Kundenabzüge	2018.06.19 05:33:47										
0044001000	0044001000	YCOA	Sales Rebates	Kundenboni	2018.06.19 05:33:47										
0044002000	0044002000	YCOA	Sales Discounts - Domestic	Kundenskonti - Inland	2018.06.19 05:33:47										
0044002100	0044002100	YCOA	Sales Discounts - Foreign	Kundenskonti - Ausland	2018.06.19 05:33:47										
0044002200	0044002200	YCOA	Sales Discounts - Affiliated	Kundenskonti - Verbundene	2018.06.19 05:33:47										
0044003000	0044003000	YCOA	Customer Sales Deduction - Domestic	Kunden Erlösschmälerungen - Inland	2018.06.19 05:33:47										
0044003100	0044003100	YCOA	Customer Sales Deduction - Foreign	Kunden Erlösschmälerungen - Ausland	2018.06.19 05:33:47										
0044003200	0044003200	YCOA	Customer Sales Deduction - Affiliated	Kunden Erlösschmälerungen - Verbundene	2018.06.19 05:33:47										
0044004000	0044004000	YCOA	Sales Deduction - Material	Erlösschmälerung - Material	2018.06.19 05:33:47										
0044005000	0044005000	YCOA	Free Goods and Discount in kind	Naturalrabatte	2018.06.19 05:33:47										
0044006000	0044006000	YCOA	Sales Deduction - Menge	Erlösschmälerung - Menge	2018.06.19 05:33:47										
0044007000	0044007000	YCOA	(-) IPI on Sales (BR)	(-) IPI auf Umsatz (BR)	2018.06.19 05:33:47										
0044007001	0044007001	YCOA	(-) ICMS on Sales (BR)	(-) ICMS auf Umsatz (BR)	2018.06.19 05:33:47										
0044007002	0044007002	YCOA	(-) ISS on Sales (BR)	(-) ISS auf Umsatz (BR)	2018.06.19 05:33:47										
0044007003	0044007003	YCOA	(-) PIS on Sales (BR)	(-) PIS auf Umsatz (BR)	2018.06.19 05:33:47										
0044007004	0044007004	YCOA	(-) Cofins on Sales (BR)	(-) COFINS auf Umsatz (BR)	2018.06.19 05:33:47										
0044420000	0044420000	YCOA	Revenue Adjustment - ERR	Erlösberichtigung - vorgangsbez. Erlösrealisierung	2018.06.19 05:33:47										
0045000027	0045000027	YCOA	LONG TET TEST		2018.06.19 05:33:47										
0045000028	0045000028	YCOA	Test GL account en3		2018.06.19 05:33:47										
0045000042	0045000042	YCOA	LONG TET TEST		2018.06.19 05:33:47										
0045000043	0045000043	YCOA	TEST ACCOUNT		2018.06.19 05:33:47										
0045000044	0045000044	YCOA	Test GL account en3		2018.06.19 05:33:47										
0045000127	0045000127	YCOA	LONG TET TEST		2018.06.19 05:33:47										
0045000128	0045000128	YCOA	Automation test GL a		2018.06.19 05:33:47										
0045000142	0045000142	YCOA	LONG TET TEST		2018.06.19 05:33:47										
0045000143	0045000143	YCOA	Automation test GL a		2018.06.19 05:33:47										
0045000144	0045000144	YCOA	Test short text		2018.06.19 05:33:47										
0050100000	0050100000	YCOA	Cost of Goods Sold (Raw Material w/o Cost Element)	Kosten des Umsatzes (Rohstoffe ohne Kostenart)	2018.06.19 05:33:47										
0050150000	0050150000	YCOA	Cost of Goods Sold (PackagingMat w/o Cost Element)	Kosten des Umsatzes (Verpackung ohne Kostenart)	2018.06.19 05:33:47										
0050200000	0050200000	YCOA	Cost of Goods Sold (Trade w/o Cost Element)	Kosten des Umsatzes (Handel ohne Kostenart)	2018.06.19 05:33:47										
0050300000	0050300000	YCOA	Cost of Goods Sold (SF & Finish Goods w/o Cost El)	Kosten des Umsatzes (HF & FE ohne Kostenart)	2018.06.19 05:33:47										
0050301000	0050301000	YCOA	COGS Direct Material	UK Direktmaterial	2018.06.19 05:33:47										
0050302000	0050302000	YCOA	COGS Third Party	UK Fremd.lst.	2018.06.19 05:33:47										
0050303000	0050303000	YCOA	COGS Material Overhead	UK Materialgemeink.	2018.06.19 05:33:47										
0050304000	0050304000	YCOA	COGS Personnel Time	Kosten des Umsatzes Arbeitszeit	2018.06.19 05:33:47										
0050305000	0050305000	YCOA	COGS Machine Time	Kosten des Umsatzes Maschinenzeit	2018.06.19 05:33:47										
0050306000	0050306000	YCOA	COGS Setup Time	Kosten des Umsatzes Rüstzeit	2018.06.19 05:33:47										
0050307000	0050307000	YCOA	COGS Production Overhead	UK FertigGemKosten	2018.06.19 05:33:47										
0050308000	0050308000	YCOA	COGS Credits (Co/By-Pr)	Kosten des Umsatzes Ertrag aus Std-Kosten-Kalkul.	2018.06.19 05:33:47										
0051100000	0051100000	YCOA	Consumption - Raw Material	Verbrauch Rohstoffe	2018.06.19 05:33:47										
0051500000	0051500000	YCOA	Consumption - Packaging Material	Verbrauch Verpackung	2018.06.19 05:33:47										
0051600000	0051600000	YCOA	Consumption - Trading Goods	Verbrauch Handelswaren	2018.06.19 05:33:47										
0051700000	0051700000	YCOA	Consumption - Repair Material	Verbrauch Reparaturmaterial	2018.06.19 05:33:47										
0051900000	0051900000	YCOA	Consumption - Subcontracting, w/o CE	Verbrauch Lohnbearbeitung ohne Kostenart	2018.06.19 05:33:47										
0051950000	0051950000	YCOA	Consumption - Subcontracting	Verbrauch Lohnbearbeitung	2018.06.19 05:33:47										
0052001000	0052001000	YCOA	Loss Inventory Variance (Raw & Trade)	Aufwand aus Inventur-Differenzen (Roh/Handel)	2018.06.19 05:33:47										
0052003000	0052003000	YCOA	Loss Inventory Variance (SF & Finish Goods)	Aufwand aus Inventur-Differenzen (Halbf/Fertigerz)	2018.06.19 05:33:47										
0052011000	0052011000	YCOA	Loss Inventory Transfer (Raw & Trade)	Aufwand Bestandsumlagerung (Roh/Handel)	2018.06.19 05:33:47										
0052013000	0052013000	YCOA	Loss Inventory Transfer (SF & Finish Goods)	Aufwand aus Umlagerung (Halbfabr./Fertigerz.)	2018.06.19 05:33:47										
0052021000	0052021000	YCOA	Loss Consumption for Quality Control (Raw & Trade)	Aufwand Verbrauch Qualitätskontrolle (Roh/Handel)	2018.06.19 05:33:47										
0052023000	0052023000	YCOA	Loss Consumption for Quality Control (SF&Fin Gds)	Aufwand Verbrauch Qualitätskontr (Halbfabr/Fertig)	2018.06.19 05:33:47										
0052030000	0052030000	YCOA	Loss from Revaluation	Aufwand aus Neubewertung	2018.06.19 05:33:47										
0052031000	0052031000	YCOA	Loss from Valuation of External Products	Aufwand aus Umbewertung Fremderzeugnisse	2018.06.19 05:33:47										
0052033000	0052033000	YCOA	Loss from Valuation of own Products	Aufwand aus Umbewertung Eigenerzeugnisse	2018.06.19 05:33:47										
0052041000	0052041000	YCOA	Loss Price Variance (PRD)	Aufwand Preisabweichung (PRD)	2018.06.19 05:33:47										
0052041500	0052041500	YCOA	Loss Inventory Value Adjustment Ext. Prod. (BSK)	Aufw. Bestandswertkorrekt. Fremderzeugnisse (BSK)	2018.06.19 05:33:47										
0052042000	0052042000	YCOA	Loss Price Differences (PRV)	Aufwand aus Preisdifferenzen (PRV)	2018.06.19 05:33:47										
0052043000	0052043000	YCOA	Loss Price Differences (PRY)	Aufwand aus Preisdifferenzen Material Ledger PRY	2018.06.19 05:33:47										
0052044000	0052044000	YCOA	Loss Price Differences - Material Ledger (LKW)	Abgrenzungskonto Material Ledger Fremdmaterial LKW	2018.06.19 05:33:47										
0052045000	0052045000	YCOA	Loss Price Differences own Products (PRK)	Aufwand aus Preisdifferenzen Eigenerzeugn. (PRK)	2018.06.19 05:33:47										
0052046000	0052046000	YCOA	Differences (AVR Price)  (PRC)	Abgrenzungskonto Material Ledger Eigenmaterial PRC	2018.06.19 05:33:47										
0052070000	0052070000	YCOA	Loss from Production Variances	Aufwand aus Preisdifferenzen Eigenerzeugnisse	2018.06.19 05:33:47										
0052071000	0052071000	YCOA	Price Difference PRIV	Preisdifferenz PRIV	2018.06.19 05:33:47										
0052072000	0052072000	YCOA	Price Difference QTYV	Preisdifferenz QTYV	2018.06.19 05:33:47										
0052051000	0052051000	YCOA	Loss Consumption of Consign. Mat (Raw & Trade)	Aufwand aus Konsignationsverbrauch (Rohst. & HAWA)	2018.06.19 05:33:47										
0052053000	0052053000	YCOA	Loss Consumption of Consign. Mat (SF & F.Goods)	Aufwand aus Konsignationsverbrauch (HF/FE)	2018.06.19 05:33:47										
0052060000	0052060000	YCOA	Loss Small Price Differences Invoice Receipt (MM)	Aufwand aus Kleindifferenzen Rechnungseingang MM	2018.06.19 05:33:47										
0052070500	0052070500	YCOA	Loss Inventory Value Adjustment Own Prod. (BSK)	Aufw. Bestandswertkorrekt. Eigenerzeugnisse (BSK)	2018.06.19 05:33:47										
0052073000	0052073000	YCOA	Price Difference RSUV	Preisdifferenz RSUV	2018.06.19 05:33:47										
0052074000	0052074000	YCOA	Price Difference INPV	Preisdifferenz INPV	2018.06.19 05:33:47										
0052075000	0052075000	YCOA	Price Difference MXPV	Preisdifferenz MXPV	2018.06.19 05:33:47										
0052076000	0052076000	YCOA	Price Difference OPPV	Preisdifferenz OPPV	2018.06.19 05:33:47										
0052077000	0052077000	YCOA	Price Difference LSFV	Preisdifferenz LSFV	2018.06.19 05:33:47										
0052078000	0052078000	YCOA	Price Difference REMV	Preisdifferenz REMV	2018.06.19 05:33:47										
0052079000	0052079000	YCOA	Price Difference SCRP	Preisdifferenz SCRP	2018.06.19 05:33:47										
0052080000	0052080000	YCOA	Loss from allowed Differences GL Account Clearing	Aufwand aus tol. Differenzen Sachkontenausgleich	2018.06.19 05:33:47										
0052501000	0052501000	YCOA	Gain Inventory Variance (Raw & Trade)	Ertrag aus Inventur-Differenzen (Roh/Handel)	2018.06.19 05:33:47										
0052503000	0052503000	YCOA	Gain Inventory Variance (SF & Finish Goods)	Ertrag aus Inventur-Differenzen (Halbf/Fertigerz)	2018.06.19 05:33:47										
0052511000	0052511000	YCOA	Gain Inventory Transfer (Raw & Trade)	Ertrag Bestandsumlagerung (Roh/Handel)	2018.06.19 05:33:47										
0052513000	0052513000	YCOA	Gain Inventory Transfer (SF & Finish Goods)	Ertrag aus Umlagerung (Halbfabr./Fertigerz.)	2018.06.19 05:33:47										
0052521000	0052521000	YCOA	Gain Consumption for Quality Control (Raw & Trade)	Ertrag Verbrauch Qualitätskontrolle (Roh/Handel)	2018.06.19 05:33:47										
0052523000	0052523000	YCOA	Gain Consumption for QM (SF & Finish Goods)	Ertrag aus Verbrauch für QM (Halbfabr./Fertigerz.)	2018.06.19 05:33:47										
0052530000	0052530000	YCOA	Gain from Revaluation	Ertrag aus Neubewertung	2018.06.19 05:33:47										
0052531000	0052531000	YCOA	Gain from Valuation of External Products	Ertrag aus Umbewertung Fremderzeugnisse	2018.06.19 05:33:47										
0052532000	0052532000	YCOA	Gain from Valuation own Products	Ertrag aus Umbewertung von Eigenerzeugnissen	2018.06.19 05:33:47										
0052541000	0052541000	YCOA	Gain Price Variance (PRD)	Ertrag Preisabw. (Ware)	2018.06.19 05:33:47										
0052541100	0052541100	YCOA	Activity Price Diff. writeoff from WIP (PRA)		2018.06.19 05:33:47										
0052541200	0052541200	YCOA	Activity Price Diff. writeoff from WIP (PRM)		2018.06.19 05:33:47										
0052541500	0052541500	YCOA	Gain Inventory Value Adjustment Ext. Prod. (BSK)	Ertrag Bestandswertkorrekt. Fremderzeugnisse (BSK)	2018.06.19 05:33:47										
0052542000	0052542000	YCOA	Gain Price Differences (PRV)	Ertrag aus Preisdifferenzen Vorst Eigenmat. ML PRV	2018.06.19 05:33:47										
0052543000	0052543000	YCOA	Gain Price Differences (PRY)	Ertrag aus Preisdifferenzen aus Mat. Ledger PRY	2018.06.19 05:33:47										
0052544000	0052544000	YCOA	Gain Price Differences - Material Ledger (LKW)	Ertrag Preisdifferenzen aus Material Ledger (LKW)	2018.06.19 05:33:47										
0052545000	0052545000	YCOA	Posterior Real Rate Activity Allocation (AUI)	LeistVerrechnung Leistungstarif Periodenende (AUI)	2018.06.19 05:33:47										
0052546000	0052546000	YCOA	Consumption Valuation (COC)	Verbrauchsbewertung (COC)	2018.06.19 05:33:47										
0052551000	0052551000	YCOA	Gain Consumption of Consign. Mat (Raw & Trade)	Ertrag aus Konsignationsverbrauch (Rohst. & HAWA)	2018.06.19 05:33:47										
0052552000	0052552000	YCOA	Gain Consumption of Consign. Mat (SF & F.Goods)	Ertrag aus Verbrauch Konsignations-Mat. (HF/FE)	2018.06.19 05:33:47										
0052560000	0052560000	YCOA	Gain Small Price Difference Invoices Receipt (MM)	Ertrag aus Kleindifferenzen Rechnungseingang MM	2018.06.19 05:33:47										
0052570000	0052570000	YCOA	Gain from Production Variances	Ertrag aus Preisdifferenzen Eigenerzeugnisse	2018.06.19 05:33:47										
0052570500	0052570500	YCOA	Gain Inventory Value Adjustment Own Prod. (BSK)	Ertrag Bestandswertkorrekt. Eigenerzeugnisse (BSK)	2018.06.19 05:33:47										
0052580000	0052580000	YCOA	Gain from allowed Differences GL Account Clearing	Ertrag aus tol. Differenzen Sachkontenausgleich	2018.06.19 05:33:47										
0052590000	0052590000	YCOA	Freight Revenue - Recovery	Frachterlös - Rückgewinnung	2018.06.19 05:33:47										
0054011000	0054011000	YCOA	Inventory Change - Purch.Offset.Acct (Raw)	Bestandsveränderung - Einkaufsgegenkonto (Rohst.)	2018.06.19 05:33:47										
0054040000	0054040000	YCOA	Inventory Change - Reserve	Bestandsveränderung - Rückstellungen	2018.06.19 05:33:47										
0054051000	0054051000	YCOA	Inventory Change - Scrap External Products	Verschrottung Fremderzeugnisse	2018.06.19 05:33:47										
0054053000	0054053000	YCOA	Inventory Change - Scrap own Products	Verschrottung Eigenerzeugnisse	2018.06.19 05:33:47										
0054011100	0054011100	YCOA	Inventory Change - Purch.offset.acct (Packaging)	Bestandsveränderung - Einkaufsgegenkonto (Verp.)	2018.06.19 05:33:47										
0054011200	0054011200	YCOA	Inventory Change - Purch.offset.acct (Trading)	Bestandsveränderung - Einkaufsgegenkonto (Handel)	2018.06.19 05:33:47										
0054013000	0054013000	YCOA	Inventory Change - Purch.Offset.Acct (SF & F.Good)	Bestandsveränderung - Einkaufsgegenkonto (HF/FE)	2018.06.19 05:33:47										
0054070000	0054070000	YCOA	Inventory Change - Receipt without PO	Bestandsveränderung - Eingang ohne Bestellung	2018.06.19 05:33:47										
0054083000	0054083000	YCOA	Inventory Change - Cost of own Goods sold w/C.Elem	Bestandsveränderung - Verk. Eigenerz. m. Kostenart	2018.06.19 05:33:47										
0054084000	0054084000	YCOA	Inventory Change Cost own Goods sold SO cons. w/CE	Bestandsveränderung Umsatzkosten SO kons. mit KoA	2018.06.19 05:33:47										
0054093000	0054093000	YCOA	Inventory Change - QM cons.own prod. w/ cst elem.	Bestandsveränderung Verbrauch QM Eigenerz.m.KoArt	2018.06.19 05:33:47										
0054200000	0054200000	YCOA	Inventory Change - Work in Progress	Bestandsveränderung in Arbeit bef. Erzeugnisse	2018.06.19 05:33:47										
0054300000	0054300000	YCOA	Inventory Change - Semi Finished goods	Bestandsveränderung - Halbfabrikate	2018.06.19 05:33:47										
0054400000	0054400000	YCOA	Inventory Change - Finished Goods	Bestandsveränderung fertige Erzeugnisse	2018.06.19 05:33:47										
0054441000	0054441000	YCOA	Reserves for Unrealized Costs	Rückstellungen für fehlende Kosten	2018.06.19 05:33:47										
0055100000	0055100000	YCOA	Plant Activity Production Order	Fabrikleistung Fertigungsaufträge (BV)	2018.06.19 05:33:47										
0055110000	0055110000	YCOA	Settlement to Fixed Asset (FXA)	Abrechnung an Anlagen	2018.06.19 05:33:47										
0059900000	0059900000	YCOA	Cost of Goods Sold (Affiliated)	Umsatzkosten (Verbundene)	2018.06.19 05:33:47										
0061002000	0061002000	YCOA	3rd party material	Streckenmaterial	2018.06.19 05:33:47										
0061003000	0061003000	YCOA	Travel Expenses - Hotel and Accommodation	Reisekosten Unterkunft (Belege/Pauschalen)	2018.06.19 05:33:47										
0061004000	0061004000	YCOA	Travel Expenses - Meals	Reisekosten Verpflegung (Belege/Pauschalen)	2018.06.19 05:33:47										
0061005000	0061005000	YCOA	Travel Expenses - Ground Transportation	Reisekosten - Fahrtkosten	2018.06.19 05:33:47										
0061006000	0061006000	YCOA	Travel Expenses - Entertainment	Bewirtung und Präsentation	2018.06.19 05:33:47										
0061007000	0061007000	YCOA	Travel Expenses - Airfare, Rail, Mileage	Reisekosten Flüge und Fahrten	2018.06.19 05:33:47										
0061008000	0061008000	YCOA	Travel Expenses - Miscellaneous	Sonstige Reisekosten	2018.06.19 05:33:47										
0061010000	0061010000	YCOA	Payroll - Other Personnel Expenses	Sonstige Personalkosten	2018.06.19 05:33:47										
0061020000	0061020000	YCOA	Payroll - Bonus	Tarifliche Jahresleistungen Löhne	2018.06.19 05:33:47										
0061021000	0061021000	YCOA	Payroll - Overtime Salaries	Überstundenzuschläge Gehälter	2018.06.19 05:33:47										
0061021100	0061021100	YCOA	Payroll - Overtime Wages	Überstundenzuschläge Löhne	2018.06.19 05:33:47										
0061022000	0061022000	YCOA	Payroll - Vacation Pay Salaries	Tarifliche Urlaubsgehälter	2018.06.19 05:33:47										
0061022010	0061022010	YCOA	Payroll - Sick Pay	Krankengeld (AU)	2018.06.19 05:33:47										
0061022020	0061022020	YCOA	Payroll - Disability Pay (AU)	Krankheitslohnfortzahlung (AU)	2018.06.19 05:33:47										
0061022030	0061022030	YCOA	Long Service Leave	Dienstalterurlaub (AU)	2018.06.19 05:33:47										
0061022040	0061022040	YCOA	Workers' compensation assoc. contributions (AU,BR)	Berufsgenossenschafts-Beitrag (AU, BR)	2018.06.19 05:33:47										
0061022100	0061022100	YCOA	Payroll - Vacation Pay Wages	Tarifliches Urlaubsgeld Löhne (AU)	2018.06.19 05:33:47										
0061023010	0061023010	YCOA	Payroll-Medical insurance	Personalabrechnung - Krankenversicherung (CN)	2018.06.19 05:33:47										
0061023020	0061023020	YCOA	payroll- endowment insurance (CN)	Personalabrechnung - Kapitalversicherung (CN)	2018.06.19 05:33:47										
0061023030	0061023030	YCOA	payroll- unemployment insurance	Personalabrechnung - Arbeitslosenversicherung (CN)	2018.06.19 05:33:47										
0061023040	0061023040	YCOA	payroll- work injury insurance (CN)	PersAbr. - Arbeitsunfallversicherung (CN)	2018.06.19 05:33:47										
0061023050	0061023050	YCOA	payroll- housing fund (CN)	Personalabrechnung - Wohnraumfonds (CN)	2018.06.19 05:33:47										
0061023060	0061023060	YCOA	payroll- labor union dues and education dues (CN)	PerAbr.- Gewerkschafts- u. Ausbildungsbeitrag (CN)	2018.06.19 05:33:47										
0061051000	0061051000	YCOA	Payroll Expense - Downtime Wages	Ausfalllöhne	2018.06.19 05:33:47										
0061052000	0061052000	YCOA	Payroll Expense - Downtime Salaries	Ausfallgehälter	2018.06.19 05:33:47										
0061060000	0061060000	YCOA	Payroll Expense - Pension Contributions	Aufwand für Altersversorgung	2018.06.19 05:33:47										
0061061000	0061061000	YCOA	Payroll - Benefits	Arbeitgeberleistungen	2018.06.19 05:33:47										
0061062000	0061062000	YCOA	Workers' Compensation Association Contributions	Berufsgenossenschaftsbeitrag	2018.06.19 05:33:47										
0061063000	0061063000	YCOA	Dues to Associations	Beiträge zu Wirtschaftsverb. u. Berufsvertretungen	2018.06.19 05:33:47										
0061100000	0061100000	YCOA	Payroll Expense - Salaries	Gehälter	2018.06.19 05:33:47										
0061101000	0061101000	YCOA	Payroll Expense - Other salary-related expenses	Sonstige Aufwendungen mit Gehaltscharakter	2018.06.19 05:33:47										
0061102000	0061102000	YCOA	Payroll Expense - Other wage-related expenses	Sonstige Aufwendungen mit Lohncharakter	2018.06.19 05:33:47										
0061103000	0061103000	YCOA	Payroll Expense - Direct Labor Cost	Fertigungslöhne	2018.06.19 05:33:47										
0061104000	0061104000	YCOA	Payroll Expense - Indirect Labor Cost	Hilfslöhne	2018.06.19 05:33:47										
0061200000	0061200000	YCOA	Payroll Expense - Tax and Soc Security - Wages	Arbeitgeberanteil zur Sozialversicherung Löhne	2018.06.19 05:33:47										
0061201000	0061201000	YCOA	Payroll Expense - Tax and Soc Security - Salaries	Arbeitgeberanteil zur Sozialversicherung Gehälter	2018.06.19 05:33:47										
0061310000	0061310000	YCOA	INSS (Direct Production Cost) (BR)	INSS (Fertigungseinzelkosten) (BR)	2018.06.19 05:33:47										
