LEGACY_EQUIPMENT_NUMBER	EQUIPMENT_NUMBER	EQUIPMENT_NUMBER_TXT_GBL	EQUIPMENT_NUMBER_TXT_LCL	DI_TIMESTAMP											
000000000210100007	000000000210100007	Compressor Stage 1	Kompressorstufe 1	2017.07.06 08:56:49											
000000000210100008	000000000210100008	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000210100009	000000000210100009	Compressor Stage 1 cooler	Kompressorstufe 1 Kühler	2017.07.06 08:56:49											
000000000210100010	000000000210100010	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000210100011	000000000210100011	Compressor Stage 2	Kompressorstufe 2	2017.07.06 08:56:49											
000000000210100012	000000000210100012	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000210100013	000000000210100013	Compressor Stage 2 cooler	Kompressorstufe 2 Kühler	2017.07.06 08:56:49											
000000000010000030	000000000010000030	Equipment 1		2017.07.06 08:56:49											
000000000010000031	000000000010000031	Equipment 2		2017.07.06 08:56:49											
000000000010000032	000000000010000032	Equipment 3		2017.07.06 08:56:49											
000000000010000033	000000000010000033	Equipment 4		2017.07.06 08:56:49											
000000000010000034	000000000010000034	Equipment 5		2017.07.06 08:56:49											
000000000010000035	000000000010000035	Equipment 6		2017.07.06 08:56:49											
000000000010000060	000000000010000060	Equipment 4		2017.07.06 08:56:49											
000000000010000061	000000000010000061	Equipment 5		2017.07.06 08:56:49											
000000000010000062	000000000010000062	Equipment 6		2017.07.06 08:56:49											
000000000010000063	000000000010000063	Equipment 7		2017.07.06 08:56:49											
000000000010000064	000000000010000064	Equipment 8		2017.07.06 08:56:49											
000000000010000065	000000000010000065	Equipment 9		2017.07.06 08:56:49											
000000000010000066	000000000010000066	Equipment 10		2017.07.06 08:56:49											
000000000010000067	000000000010000067	Equipment 11		2017.07.06 08:56:49											
000000000010000068	000000000010000068	Pump 01		2017.07.06 08:56:49											
000000000010000069	000000000010000069	Pump 01		2017.07.06 08:56:49											
000000000010000070	000000000010000070	Pump 01		2017.07.06 08:56:49											
000000000010000071	000000000010000071	Equipment 1		2017.07.06 08:56:49											
000000000010000072	000000000010000072	Equipment 2		2017.07.06 08:56:49											
000000000010000073	000000000010000073	Equipment 3		2017.07.06 08:56:49											
000000000010000074	000000000010000074	Equipment 4		2017.07.06 08:56:49											
000000000010000075	000000000010000075	Equipment 5		2017.07.06 08:56:49											
000000000010000076	000000000010000076	Equipment 6		2017.07.06 08:56:49											
000000000010000077	000000000010000077	Equipment 7		2017.07.06 08:56:49											
000000000010000078	000000000010000078	Equipment 8		2017.07.06 08:56:49											
000000000010000079	000000000010000079	Equipment 9		2017.07.06 08:56:49											
000000000010000080	000000000010000080	Equipment 10		2017.07.06 08:56:49											
000000000010000081	000000000010000081	Equipment 11		2017.07.06 08:56:49											
000000000210100030	000000000210100030	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000210100031	000000000210100031	Compressor Stage 2	Kompressorstufe 2	2017.07.06 08:56:49											
000000000210100032	000000000210100032	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000210100033	000000000210100033	Compressor Stage 2 cooler	Kompressorstufe 2 Kühler	2017.07.06 08:56:49											
000000000210100034	000000000210100034	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000210100035	000000000210100035	Compressor Stage 3	Kompressorstufe 3	2017.07.06 08:56:49											
000000000210100036	000000000210100036	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000210100037	000000000210100037	Compressor Stage 3 cooler	Kompressorstufe 3 Kühler	2017.07.06 08:56:49											
000000000010000018	000000000010000018			2017.07.06 08:56:49											
000000000010000019	000000000010000019	TEST		2017.07.06 08:56:49											
000000000010000020	000000000010000020	Equipment 11		2017.07.06 08:56:49											
000000000010000021	000000000010000021	Equipment 1		2017.07.06 08:56:49											
000000000010000022	000000000010000022	Equipment 4		2017.07.06 08:56:49											
000000000010000023	000000000010000023	Equipment 5		2017.07.06 08:56:49											
000000000010000024	000000000010000024	Equipment 6		2017.07.06 08:56:49											
000000000010000025	000000000010000025	Equipment 7		2017.07.06 08:56:49											
000000000010000026	000000000010000026	Equipment 8		2017.07.06 08:56:49											
000000000010000027	000000000010000027	Equipment 9		2017.07.06 08:56:49											
000000000010000028	000000000010000028	Equipment 10		2017.07.06 08:56:49											
000000000010000029	000000000010000029	Equipment 11		2017.07.06 08:56:49											
000000000210100014	000000000210100014	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000210100015	000000000210100015	Compressor Stage 3	Kompressorstufe 3	2017.07.06 08:56:49											
000000000210100016	000000000210100016	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000210100017	000000000210100017	Compressor Stage 3 cooler	Kompressorstufe 3 Kühler	2017.07.06 08:56:49											
000000000210100018	000000000210100018	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000210100019	000000000210100019	Compr. Discharge Manual Isolation Valve	Kompressorausg.: manuelles Absperrventil	2017.07.06 08:56:49											
000000000210100020	000000000210100020	Compr. Discharge: Control Valve	Kompressorausgang: Regelventil	2017.07.06 08:56:49											
000000000210100021	000000000210100021	Manual Isolation Valve	Manuelles Absperrventil	2017.07.06 08:56:49											
000000000210100022	000000000210100022	Control Valve	Regelventil	2017.07.06 08:56:49											
000000000210100023	000000000210100023	Gear Box	Getriebe	2017.07.06 08:56:49											
000000000210100024	000000000210100024	Compressor Motor	Kompressormotor	2017.07.06 08:56:49											
000000000210100025	000000000210100025	DE side Bearing Assembly	A-seitige Lagerung	2017.07.06 08:56:49											
000000000210100026	000000000210100026	NDE side Bearing Assembly	B-seitige Lagerung	2017.07.06 08:56:49											
000000000210100027	000000000210100027	Compressor Stage 1	Kompressorstufe 1	2017.07.06 08:56:49											
000000000210100028	000000000210100028	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000210100029	000000000210100029	Compressor Stage 1 cooler	Kompressorstufe 1 Kühler	2017.07.06 08:56:49											
000000000010000036	000000000010000036	Equipment 7		2017.07.06 08:56:49											
000000000010000037	000000000010000037	Equipment 8		2017.07.06 08:56:49											
000000000010000038	000000000010000038	Equipment 9		2017.07.06 08:56:49											
000000000010000039	000000000010000039	Equipment 10		2017.07.06 08:56:49											
000000000010000040	000000000010000040	Equipment 11		2017.07.06 08:56:49											
000000000010000041	000000000010000041	TEST		2017.07.06 08:56:49											
000000000010000042	000000000010000042	Equipment 1		2017.07.06 08:56:49											
000000000010000043	000000000010000043	Equipment 2		2017.07.06 08:56:49											
000000000010000044	000000000010000044	Equipment 3		2017.07.06 08:56:49											
000000000010000045	000000000010000045	Equipment 4		2017.07.06 08:56:49											
000000000010000046	000000000010000046	Equipment 5		2017.07.06 08:56:49											
000000000010000047	000000000010000047	Equipment 6		2017.07.06 08:56:49											
000000000010000048	000000000010000048	Equipment 7		2017.07.06 08:56:49											
000000000010000049	000000000010000049	Equipment 10		2017.07.06 08:56:49											
000000000010000050	000000000010000050	Equipment 11		2017.07.06 08:56:49											
000000000010000051	000000000010000051	Equipment 8		2017.07.06 08:56:49											
000000000010000052	000000000010000052	Equipment 9		2017.07.06 08:56:49											
000000000010000053	000000000010000053			2017.07.06 08:56:49											
000000000010000054	000000000010000054			2017.07.06 08:56:49											
000000000010000055	000000000010000055			2017.07.06 08:56:49											
000000000010000056	000000000010000056	Pump 01		2017.07.06 08:56:49											
000000000010000057	000000000010000057	Equipment 1		2017.07.06 08:56:49											
000000000010000058	000000000010000058	Equipment 2		2017.07.06 08:56:49											
000000000010000059	000000000010000059	Equipment 3		2017.07.06 08:56:49											
000000000210100038	000000000210100038	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000210100040	000000000210100040	Compr. Discharge: Control Valve	Kompressorausgang: Regelventil	2017.07.06 08:56:49											
000000000210100041	000000000210100041	Manual Isolation Valve	Manuelles Absperrventil	2017.07.06 08:56:49											
000000000210100039	000000000210100039	Compr. Discharge Manual Isolation Valve	Kompressorausg.: manuelles Absperrventil	2017.07.06 08:56:49											
000000000210100042	000000000210100042	Control Valve	Regelventil	2017.07.06 08:56:49											
000000000210100043	000000000210100043	Gear Box	Getriebe	2017.07.06 08:56:49											
000000000210100044	000000000210100044	Compressor Motor	Kompressormotor	2017.07.06 08:56:49											
000000000210100045	000000000210100045	DE side Bearing Assembly	A-seitige Lagerung	2017.07.06 08:56:49											
000000000210100046	000000000210100046	NDE side Bearing Assembly	B-seitige Lagerung	2017.07.06 08:56:49											
000000000210100047	000000000210100047	Compressor Stage 1	Kompressorstufe 1	2017.07.06 08:56:49											
000000000210100048	000000000210100048	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000210100049	000000000210100049	Compressor Stage 1 cooler	Kompressorstufe 1 Kühler	2017.07.06 08:56:49											
000000000210100050	000000000210100050	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000210100051	000000000210100051	Compressor Stage 2	Kompressorstufe 2	2017.07.06 08:56:49											
000000000210100052	000000000210100052	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000210100053	000000000210100053	Compressor Stage 2 cooler	Kompressorstufe 2 Kühler	2017.07.06 08:56:49											
000000000210100054	000000000210100054	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000210100055	000000000210100055	Compressor Stage 3	Kompressorstufe 3	2017.07.06 08:56:49											
000000000210100056	000000000210100056	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000210100057	000000000210100057	Compressor Stage 3 cooler	Kompressorstufe 3 Kühler	2017.07.06 08:56:49											
000000000210100058	000000000210100058	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000210100059	000000000210100059	Compr. Discharge Manual Isolation Valve	Kompressorausg.: manuelles Absperrventil	2017.07.06 08:56:49											
000000000210100060	000000000210100060	Compr. Discharge: Control Valve	Kompressorausgang: Regelventil	2017.07.06 08:56:49											
000000000210100061	000000000210100061	Manual Isolation Valve	Manuelles Absperrventil	2017.07.06 08:56:49											
000000000210100062	000000000210100062	Control Valve	Regelventil	2017.07.06 08:56:49											
000000000210100063	000000000210100063	Gear Box	Getriebe	2017.07.06 08:56:49											
000000000210100064	000000000210100064	Compressor Motor	Kompressormotor	2017.07.06 08:56:49											
000000000210100065	000000000210100065	DE side Bearing Assembly	A-seitige Lagerung	2017.07.06 08:56:49											
000000000210100066	000000000210100066	NDE side Bearing Assembly	B-seitige Lagerung	2017.07.06 08:56:49											
000000000210100067	000000000210100067	Compressor Stage 1	Kompressorstufe 1	2017.07.06 08:56:49											
000000000210100068	000000000210100068	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000210100069	000000000210100069	Compressor Stage 1 cooler	Kompressorstufe 1 Kühler	2017.07.06 08:56:49											
000000000210100070	000000000210100070	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000210100071	000000000210100071	Compressor Stage 2	Kompressorstufe 2	2017.07.06 08:56:49											
000000000210100072	000000000210100072	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000210100073	000000000210100073	Compressor Stage 2 cooler	Kompressorstufe 2 Kühler	2017.07.06 08:56:49											
000000000210100074	000000000210100074	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000210100075	000000000210100075	Compressor Stage 3	Kompressorstufe 3	2017.07.06 08:56:49											
000000000210100076	000000000210100076	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000210100077	000000000210100077	Compressor Stage 3 cooler	Kompressorstufe 3 Kühler	2017.07.06 08:56:49											
000000000210100078	000000000210100078	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000210100079	000000000210100079	Compr. Discharge Manual Isolation Valve	Kompressorausg.: manuelles Absperrventil	2017.07.06 08:56:49											
000000000210100080	000000000210100080	Compr. Discharge: Control Valve	Kompressorausgang: Regelventil	2017.07.06 08:56:49											
000000000210100081	000000000210100081	Dryer Inlet Valve	Trocknereinlassventil	2017.07.06 08:56:49											
000000000210100082	000000000210100082	Dryer Outlet Valve	Trocknerauslassventil	2017.07.06 08:56:49											
000000000210100083	000000000210100083	Dryer Inlet Valve	Trocknereinlassventil	2017.07.06 08:56:49											
000000000210100084	000000000210100084	Dryer Outlet Valve	Trocknerauslassventil	2017.07.06 08:56:49											
000000000210100085	000000000210100085	Cooling Tower Fan	Kühlturmventilator	2017.07.06 08:56:49											
000000000210100086	000000000210100086	Cooling Tower Fan Gear Box	Getriebe für Kühlturmventilatoren	2017.07.06 08:56:49											
000000000210100087	000000000210100087	Inlet Water Isolation Valve	Absperrventil für Wassereinlass	2017.07.06 08:56:49											
000000000210100088	000000000210100088	Cooling Tower Fan	Kühlturmventilator	2017.07.06 08:56:49											
000000000210100089	000000000210100089	Cooling Tower Fan Gear Box	Getriebe für Kühlturmventilatoren	2017.07.06 08:56:49											
000000000210100090	000000000210100090	Inlet Water Isolation Valve	Absperrventil für Wassereinlass	2017.07.06 08:56:49											
000000000210100091	000000000210100091	Cooling Water Circulation Pump	Kühlwasserumwälzpumpe	2017.07.06 08:56:49											
000000000210100092	000000000210100092	Cooling Water Circulation Pump	Kühlwasserumwälzpumpe	2017.07.06 08:56:49											
000000000210100093	000000000210100093	Cooling Water Circulation Pump	Kühlwasserumwälzpumpe	2017.07.06 08:56:49											
000000000217100001	000000000217100001	Manual Isolation Valve	Manuelles Absperrventil	2017.07.06 08:56:49											
000000000217100002	000000000217100002	Control Valve	Regelventil	2017.07.06 08:56:49											
000000000217100003	000000000217100003	Gear Box	Getriebe	2017.07.06 08:56:49											
000000000217100004	000000000217100004	Compressor Motor	Kompressormotor	2017.07.06 08:56:49											
000000000217100005	000000000217100005	DE side Bearing Assembly	A-seitige Lagerung	2017.07.06 08:56:49											
000000000217100006	000000000217100006	NDE side Bearing Assembly	B-seitige Lagerung	2017.07.06 08:56:49											
000000000217100007	000000000217100007	Compressor Stage 1	Kompressorstufe 1	2017.07.06 08:56:49											
000000000217100008	000000000217100008	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000217100009	000000000217100009	Compressor Stage 1 cooler	Kompressorstufe 1 Kühler	2017.07.06 08:56:49											
000000000217100010	000000000217100010	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000217100011	000000000217100011	Compressor Stage 2	Kompressorstufe 2	2017.07.06 08:56:49											
000000000217100012	000000000217100012	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000217100013	000000000217100013	Compressor Stage 2 cooler	Kompressorstufe 2 Kühler	2017.07.06 08:56:49											
000000000217100014	000000000217100014	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000217100015	000000000217100015	Compressor Stage 3	Kompressorstufe 3	2017.07.06 08:56:49											
000000000217100016	000000000217100016	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000217100017	000000000217100017	Compressor Stage 3 cooler	Kompressorstufe 3 Kühler	2017.07.06 08:56:49											
000000000217100018	000000000217100018	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000217100020	000000000217100020	Compr. Discharge: Control Valve	Kompressorausgang: Regelventil	2017.07.06 08:56:49											
000000000217100021	000000000217100021	Manual Isolation Valve	Manuelles Absperrventil	2017.07.06 08:56:49											
000000000217100019	000000000217100019	Compr. Discharge Manual Isolation Valve	Kompressorausg.: manuelles Absperrventil	2017.07.06 08:56:49											
000000000217100022	000000000217100022	Control Valve	Regelventil	2017.07.06 08:56:49											
000000000217100023	000000000217100023	Gear Box	Getriebe	2017.07.06 08:56:49											
000000000217100024	000000000217100024	Compressor Motor	Kompressormotor	2017.07.06 08:56:49											
000000000217100025	000000000217100025	DE side Bearing Assembly	A-seitige Lagerung	2017.07.06 08:56:49											
000000000217100026	000000000217100026	NDE side Bearing Assembly	B-seitige Lagerung	2017.07.06 08:56:49											
000000000217100027	000000000217100027	Compressor Stage 1	Kompressorstufe 1	2017.07.06 08:56:49											
000000000217100028	000000000217100028	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000217100029	000000000217100029	Compressor Stage 1 cooler	Kompressorstufe 1 Kühler	2017.07.06 08:56:49											
000000000217100030	000000000217100030	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000217100031	000000000217100031	Compressor Stage 2	Kompressorstufe 2	2017.07.06 08:56:49											
000000000217100032	000000000217100032	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000217100033	000000000217100033	Compressor Stage 2 cooler	Kompressorstufe 2 Kühler	2017.07.06 08:56:49											
000000000217100034	000000000217100034	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000217100035	000000000217100035	Compressor Stage 3	Kompressorstufe 3	2017.07.06 08:56:49											
000000000217100036	000000000217100036	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000217100037	000000000217100037	Compressor Stage 3 cooler	Kompressorstufe 3 Kühler	2017.07.06 08:56:49											
000000000217100038	000000000217100038	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000217100039	000000000217100039	Compr. Discharge Manual Isolation Valve	Kompressorausg.: manuelles Absperrventil	2017.07.06 08:56:49											
000000000217100040	000000000217100040	Compr. Discharge: Control Valve	Kompressorausgang: Regelventil	2017.07.06 08:56:49											
000000000217100041	000000000217100041	Manual Isolation Valve	Manuelles Absperrventil	2017.07.06 08:56:49											
000000000217100042	000000000217100042	Control Valve	Regelventil	2017.07.06 08:56:49											
000000000217100043	000000000217100043	Gear Box	Getriebe	2017.07.06 08:56:49											
000000000217100044	000000000217100044	Compressor Motor	Kompressormotor	2017.07.06 08:56:49											
000000000217100045	000000000217100045	DE side Bearing Assembly	A-seitige Lagerung	2017.07.06 08:56:49											
000000000217100046	000000000217100046	NDE side Bearing Assembly	B-seitige Lagerung	2017.07.06 08:56:49											
000000000217100047	000000000217100047	Compressor Stage 1	Kompressorstufe 1	2017.07.06 08:56:49											
000000000217100048	000000000217100048	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000217100049	000000000217100049	Compressor Stage 1 cooler	Kompressorstufe 1 Kühler	2017.07.06 08:56:49											
000000000217100050	000000000217100050	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000217100051	000000000217100051	Compressor Stage 2	Kompressorstufe 2	2017.07.06 08:56:49											
000000000217100052	000000000217100052	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000217100053	000000000217100053	Compressor Stage 2 cooler	Kompressorstufe 2 Kühler	2017.07.06 08:56:49											
000000000217100054	000000000217100054	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000217100055	000000000217100055	Compressor Stage 3	Kompressorstufe 3	2017.07.06 08:56:49											
000000000217100056	000000000217100056	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000217100057	000000000217100057	Compressor Stage 3 cooler	Kompressorstufe 3 Kühler	2017.07.06 08:56:49											
000000000217100058	000000000217100058	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000217100059	000000000217100059	Compr. Discharge Manual Isolation Valve	Kompressorausg.: manuelles Absperrventil	2017.07.06 08:56:49											
000000000217100060	000000000217100060	Compr. Discharge: Control Valve	Kompressorausgang: Regelventil	2017.07.06 08:56:49											
000000000217100061	000000000217100061	Manual Isolation Valve	Manuelles Absperrventil	2017.07.06 08:56:49											
000000000217100062	000000000217100062	Control Valve	Regelventil	2017.07.06 08:56:49											
000000000217100063	000000000217100063	Gear Box	Getriebe	2017.07.06 08:56:49											
000000000217100064	000000000217100064	Compressor Motor	Kompressormotor	2017.07.06 08:56:49											
000000000217100065	000000000217100065	DE side Bearing Assembly	A-seitige Lagerung	2017.07.06 08:56:49											
000000000217100066	000000000217100066	NDE side Bearing Assembly	B-seitige Lagerung	2017.07.06 08:56:49											
000000000217100067	000000000217100067	Compressor Stage 1	Kompressorstufe 1	2017.07.06 08:56:49											
000000000217100068	000000000217100068	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000217100069	000000000217100069	Compressor Stage 1 cooler	Kompressorstufe 1 Kühler	2017.07.06 08:56:49											
000000000217100070	000000000217100070	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000217100071	000000000217100071	Compressor Stage 2	Kompressorstufe 2	2017.07.06 08:56:49											
000000000217100072	000000000217100072	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000217100073	000000000217100073	Compressor Stage 2 cooler	Kompressorstufe 2 Kühler	2017.07.06 08:56:49											
000000000217100074	000000000217100074	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000217100075	000000000217100075	Compressor Stage 3	Kompressorstufe 3	2017.07.06 08:56:49											
000000000217100076	000000000217100076	Inlet Water Valve	Wassereinlassventil	2017.07.06 08:56:49											
000000000217100077	000000000217100077	Compressor Stage 3 cooler	Kompressorstufe 3 Kühler	2017.07.06 08:56:49											
000000000217100078	000000000217100078	Discharge Water Valve	Wasserablaufventil	2017.07.06 08:56:49											
000000000217100079	000000000217100079	Compr. Discharge Manual Isolation Valve	Kompressorausg.: manuelles Absperrventil	2017.07.06 08:56:49											
000000000217100080	000000000217100080	Compr. Discharge: Control Valve	Kompressorausgang: Regelventil	2017.07.06 08:56:49											
000000000217100081	000000000217100081	Dryer Inlet Valve	Trocknereinlassventil	2017.07.06 08:56:49											
000000000217100082	000000000217100082	Dryer Outlet Valve	Trocknerauslassventil	2017.07.06 08:56:49											
000000000217100083	000000000217100083	Dryer Inlet Valve	Trocknereinlassventil	2017.07.06 08:56:49											
000000000217100084	000000000217100084	Dryer Outlet Valve	Trocknerauslassventil	2017.07.06 08:56:49											
000000000217100085	000000000217100085	Cooling Tower Fan	Kühlturmventilator	2017.07.06 08:56:49											
000000000217100086	000000000217100086	Cooling Tower Fan Gear Box	Getriebe für Kühlturmventilatoren	2017.07.06 08:56:49											
000000000217100087	000000000217100087	Inlet Water Isolation Valve	Absperrventil für Wassereinlass	2017.07.06 08:56:49											
000000000217100088	000000000217100088	Cooling Tower Fan	Kühlturmventilator	2017.07.06 08:56:49											
000000000217100089	000000000217100089	Cooling Tower Fan Gear Box	Getriebe für Kühlturmventilatoren	2017.07.06 08:56:49											
000000000217100090	000000000217100090	Inlet Water Isolation Valve	Absperrventil für Wassereinlass	2017.07.06 08:56:49											
000000000217100091	000000000217100091	Cooling Water Circulation Pump	Kühlwasserumwälzpumpe	2017.07.06 08:56:49											
000000000217100092	000000000217100092	Cooling Water Circulation Pump	Kühlwasserumwälzpumpe	2017.07.06 08:56:49											
000000000217100093	000000000217100093	Cooling Water Circulation Pump	Kühlwasserumwälzpumpe	2017.07.06 08:56:49											
