LEGACY_MAIN_ASSET_NUMBER	COMPANY_CODE	MAIN_ASSET_NUMBER	MAIN_ASSET_NUMBER_TXT_GBL	MAIN_ASSET_NUMBER_TXT_LCL	DI_TIMESTAMP										
000000500023	1010	000000500023	MK24	MK24	2017.07.06 08:56:49										
000000500024	1010	000000500024	MK25	MK25	2017.07.06 08:56:49										
000000500025	1010	000000500025	MK26	MK26	2017.07.06 08:56:49										
000000500026	1010	000000500026	MK27	MK27	2017.07.06 08:56:49										
000000500027	1010	000000500027	MK28	MK28	2017.07.06 08:56:49										
000000500028	1010	000000500028	MK29	MK29	2017.07.06 08:56:49										
000000500029	1010	000000500029	MK30	MK30	2017.07.06 08:56:49										
000000500030	1010	000000500030	MK31	MK31	2017.07.06 08:56:49										
000000500031	1010	000000500031	MK32	MK32	2017.07.06 08:56:49										
000000500032	1010	000000500032	MK33	MK33	2017.07.06 08:56:49										
000000500033	1010	000000500033	MK34	MK34	2017.07.06 08:56:49										
000000500034	1010	000000500034	MK35	MK35	2017.07.06 08:56:49										
000000500035	1010	000000500035	MK36	MK36	2017.07.06 08:56:49										
000000500036	1010	000000500036	MK37	MK37	2017.07.06 08:56:49										
000000500037	1010	000000500037	MK38	MK38	2017.07.06 08:56:49										
000000500038	1010	000000500038	MK39	MK39	2017.07.06 08:56:49										
000000500039	1010	000000500039	MK40	MK40	2017.07.06 08:56:49										
000000500040	1010	000000500040	MK41	MK41	2017.07.06 08:56:49										
000000500041	1010	000000500041	MK42	MK42	2017.07.06 08:56:49										
000000500042	1010	000000500042	MK43	MK43	2017.07.06 08:56:49										
000000500043	1010	000000500043	MK44	MK44	2017.07.06 08:56:49										
000000500044	1010	000000500044	MK45	MK45	2017.07.06 08:56:49										
000000500045	1010	000000500045	MK46	MK46	2017.07.06 08:56:49										
000000500046	1010	000000500046	MK47	MK47	2017.07.06 08:56:49										
000000500047	1010	000000500047	MK48	MK48	2017.07.06 08:56:49										
000000500048	1010	000000500048	MK49	MK49	2017.07.06 08:56:49										
000000500049	1010	000000500049	MK50	MK50	2017.07.06 08:56:49										
000000500050	1010	000000500050	MK51	MK51	2017.07.06 08:56:49										
000000500051	1010	000000500051	MK52	MK52	2017.07.06 08:56:49										
000000500052	1010	000000500052	MK53	MK53	2017.07.06 08:56:49										
000000500053	1010	000000500053	MK54	MK54	2017.07.06 08:56:49										
000000500054	1010	000000500054	MK55	MK55	2017.07.06 08:56:49										
000000500055	1010	000000500055	MK56	MK56	2017.07.06 08:56:49										
000000500056	1010	000000500056	MK57	MK57	2017.07.06 08:56:49										
000000500057	1010	000000500057	MK58	MK58	2017.07.06 08:56:49										
000000500058	1010	000000500058	MK59	MK59	2017.07.06 08:56:49										
000000500059	1010	000000500059	MK60	MK60	2017.07.06 08:56:49										
000000500060	1010	000000500060	MK61	MK61	2017.07.06 08:56:49										
000000500061	1010	000000500061	MK62	MK62	2017.07.06 08:56:49										
000000500062	1010	000000500062	MK63	MK63	2017.07.06 08:56:49										
000000500063	1010	000000500063	MK64	MK64	2017.07.06 08:56:49										
000000500064	1010	000000500064	MK65	MK65	2017.07.06 08:56:49										
000000500065	1010	000000500065	MK66	MK66	2017.07.06 08:56:49										
000000500066	1010	000000500066	MK67	MK67	2017.07.06 08:56:49										
000000500067	1010	000000500067	MK68	MK68	2017.07.06 08:56:49										
000000500068	1010	000000500068	MK69	MK69	2017.07.06 08:56:49										
000000500069	1010	000000500069	MK70	MK70	2017.07.06 08:56:49										
000000500070	1010	000000500070	MK71	MK71	2017.07.06 08:56:49										
000000500071	1010	000000500071	MK72	MK72	2017.07.06 08:56:49										
000000500072	1010	000000500072	MK73	MK73	2017.07.06 08:56:49										
000000500073	1010	000000500073	MK74	MK74	2017.07.06 08:56:49										
000000500074	1010	000000500074	MK75	MK75	2017.07.06 08:56:49										
000000500075	1010	000000500075	MK76	MK76	2017.07.06 08:56:49										
000000500076	1010	000000500076	MK77	MK77	2017.07.06 08:56:49										
000000500077	1010	000000500077	MK78	MK78	2017.07.06 08:56:49										
000000500078	1010	000000500078	MK79	MK79	2017.07.06 08:56:49										
000000500079	1010	000000500079	MK80	MK80	2017.07.06 08:56:49										
000000500080	1010	000000500080	MK81	MK81	2017.07.06 08:56:49										
000000500081	1010	000000500081	MK82	MK82	2017.07.06 08:56:49										
000000500082	1010	000000500082	MK83	MK83	2017.07.06 08:56:49										
000000500083	1010	000000500083	MK84	MK84	2017.07.06 08:56:49										
000000500084	1010	000000500084	MK85	MK85	2017.07.06 08:56:49										
000000500085	1010	000000500085	MK86	MK86	2017.07.06 08:56:49										
000000500086	1010	000000500086	MK87	MK87	2017.07.06 08:56:49										
000000500087	1010	000000500087	MK88	MK88	2017.07.06 08:56:49										
000000500088	1010	000000500088	MK89	MK89	2017.07.06 08:56:49										
000000500089	1010	000000500089	MK90	MK90	2017.07.06 08:56:49										
000000500090	1010	000000500090	MK91	MK91	2017.07.06 08:56:49										
000000500091	1010	000000500091	MK92	MK92	2017.07.06 08:56:49										
000000500092	1010	000000500092	MK93	MK93	2017.07.06 08:56:49										
000000500093	1010	000000500093	MK94	MK94	2017.07.06 08:56:49										
000000500094	1010	000000500094	MK95	MK95	2017.07.06 08:56:49										
000000500095	1010	000000500095	MK96	MK96	2017.07.06 08:56:49										
000000500096	1010	000000500096	MK97	MK97	2017.07.06 08:56:49										
000000500097	1010	000000500097	MK98	MK98	2017.07.06 08:56:49										
000000500098	1010	000000500098	MK99	MK99	2017.07.06 08:56:49										
000000500099	1010	000000500099	MK100	MK100	2017.07.06 08:56:49										
000000500100	1010	000000500100	MK101	MK101	2017.07.06 08:56:49										
000000500101	1010	000000500101	MK102	MK102	2017.07.06 08:56:49										
000000500102	1010	000000500102	MK103	MK103	2017.07.06 08:56:49										
000000500103	1010	000000500103	MK104	MK104	2017.07.06 08:56:49										
000000500104	1010	000000500104	MK105	MK105	2017.07.06 08:56:49										
000000500105	1010	000000500105	MK106	MK106	2017.07.06 08:56:49										
000000500106	1010	000000500106	MK107	MK107	2017.07.06 08:56:49										
000000500107	1010	000000500107	MK108	MK108	2017.07.06 08:56:49										
000000500108	1010	000000500108	MK109	MK109	2017.07.06 08:56:49										
000000500109	1010	000000500109	MK110	MK110	2017.07.06 08:56:49										
000000500110	1010	000000500110	MK111	MK111	2017.07.06 08:56:49										
000000500111	1010	000000500111	MK112	MK112	2017.07.06 08:56:49										
000000500112	1010	000000500112	MK113	MK113	2017.07.06 08:56:49										
000000500113	1010	000000500113	MK114	MK114	2017.07.06 08:56:49										
000000500114	1010	000000500114	MK115	MK115	2017.07.06 08:56:49										
000000500115	1010	000000500115	MK116	MK116	2017.07.06 08:56:49										
000000500116	1010	000000500116	MK117	MK117	2017.07.06 08:56:49										
000000500117	1010	000000500117	MK118	MK118	2017.07.06 08:56:49										
000000500118	1010	000000500118	MK119	MK119	2017.07.06 08:56:49										
000000500119	1010	000000500119	MK120	MK120	2017.07.06 08:56:49										
000000500120	1010	000000500120	MK121	MK121	2017.07.06 08:56:49										
000000500121	1010	000000500121	MK122	MK122	2017.07.06 08:56:49										
000000500122	1010	000000500122	MK123	MK123	2017.07.06 08:56:49										
000000500123	1010	000000500123	MK124	MK124	2017.07.06 08:56:49										
000000500124	1010	000000500124	MK125	MK125	2017.07.06 08:56:49										
000000500125	1010	000000500125	MK126	MK126	2017.07.06 08:56:49										
000000500126	1010	000000500126	MK127	MK127	2017.07.06 08:56:49										
000000500127	1010	000000500127	MK128	MK128	2017.07.06 08:56:49										
000000500128	1010	000000500128	MK129	MK129	2017.07.06 08:56:49										
000000500129	1010	000000500129	MK130	MK130	2017.07.06 08:56:49										
000000500130	1010	000000500130	MK131	MK131	2017.07.06 08:56:49										
000000500131	1010	000000500131	MK132	MK132	2017.07.06 08:56:49										
000000500132	1010	000000500132	MK133	MK133	2017.07.06 08:56:49										
000000500133	1010	000000500133	MK134	MK134	2017.07.06 08:56:49										
000000500134	1010	000000500134	MK135	MK135	2017.07.06 08:56:49										
000000500135	1010	000000500135	MK136	MK136	2017.07.06 08:56:49										
000000500136	1010	000000500136	MK137	MK137	2017.07.06 08:56:49										
000000500137	1010	000000500137	MK138	MK138	2017.07.06 08:56:49										
000000500138	1010	000000500138	MK139	MK139	2017.07.06 08:56:49										
000000500139	1010	000000500139	MK140	MK140	2017.07.06 08:56:49										
000000500140	1010	000000500140	MK141	MK141	2017.07.06 08:56:49										
000000500141	1010	000000500141	MK142	MK142	2017.07.06 08:56:49										
000000500142	1010	000000500142	MK143	MK143	2017.07.06 08:56:49										
000000500143	1010	000000500143	MK144	MK144	2017.07.06 08:56:49										
000000500144	1010	000000500144	MK145	MK145	2017.07.06 08:56:49										
000000500145	1010	000000500145	MK146	MK146	2017.07.06 08:56:49										
000000500146	1010	000000500146	MK147	MK147	2017.07.06 08:56:49										
000000500147	1010	000000500147	MK148	MK148	2017.07.06 08:56:49										
000000500148	1010	000000500148	MK149	MK149	2017.07.06 08:56:49										
000000500149	1010	000000500149	MK150	MK150	2017.07.06 08:56:49										
000000500150	1010	000000500150	MK151	MK151	2017.07.06 08:56:49										
000000500151	1010	000000500151	MK152	MK152	2017.07.06 08:56:49										
000000500152	1010	000000500152	MK153	MK153	2017.07.06 08:56:49										
000000500153	1010	000000500153	MK154	MK154	2017.07.06 08:56:49										
000000500154	1010	000000500154	MK155	MK155	2017.07.06 08:56:49										
000000500155	1010	000000500155	MK156	MK156	2017.07.06 08:56:49										
000000500156	1010	000000500156	MK157	MK157	2017.07.06 08:56:49										
000000500157	1010	000000500157	MK158	MK158	2017.07.06 08:56:49										
000000500158	1010	000000500158	MK159	MK159	2017.07.06 08:56:49										
000000500159	1010	000000500159	MK160	MK160	2017.07.06 08:56:49										
000000500160	1010	000000500160	MK161	MK161	2017.07.06 08:56:49										
000000500161	1010	000000500161	MK162	MK162	2017.07.06 08:56:49										
000000500162	1010	000000500162	MK163	MK163	2017.07.06 08:56:49										
000000500163	1010	000000500163	MK164	MK164	2017.07.06 08:56:49										
000000500164	1010	000000500164	MK165	MK165	2017.07.06 08:56:49										
000000500165	1010	000000500165	MK166	MK166	2017.07.06 08:56:49										
000000500166	1010	000000500166	MK167	MK167	2017.07.06 08:56:49										
000000500167	1010	000000500167	MK168	MK168	2017.07.06 08:56:49										
000000500168	1010	000000500168	MK169	MK169	2017.07.06 08:56:49										
000000500169	1010	000000500169	MK170	MK170	2017.07.06 08:56:49										
000000500170	1010	000000500170	MK171	MK171	2017.07.06 08:56:49										
000000500171	1010	000000500171	MK172	MK172	2017.07.06 08:56:49										
000000500172	1010	000000500172	MK173	MK173	2017.07.06 08:56:49										
000000500173	1010	000000500173	MK174	MK174	2017.07.06 08:56:49										
000000500174	1010	000000500174	MK175	MK175	2017.07.06 08:56:49										
000000500175	1010	000000500175	MK176	MK176	2017.07.06 08:56:49										
000000500176	1010	000000500176	MK177	MK177	2017.07.06 08:56:49										
000000500177	1010	000000500177	MK178	MK178	2017.07.06 08:56:49										
000000500178	1010	000000500178	MK179	MK179	2017.07.06 08:56:49										
000000500179	1010	000000500179	MK180	MK180	2017.07.06 08:56:49										
000000500180	1010	000000500180	MK181	MK181	2017.07.06 08:56:49										
000000500181	1010	000000500181	MK182	MK182	2017.07.06 08:56:49										
000000500182	1010	000000500182	MK183	MK183	2017.07.06 08:56:49										
000000500183	1010	000000500183	MK184	MK184	2017.07.06 08:56:49										
000000500184	1010	000000500184	MK185	MK185	2017.07.06 08:56:49										
000000500185	1010	000000500185	MK186	MK186	2017.07.06 08:56:49										
000000500186	1010	000000500186	MK187	MK187	2017.07.06 08:56:49										
000000500187	1010	000000500187	MK188	MK188	2017.07.06 08:56:49										
000000500188	1010	000000500188	MK189	MK189	2017.07.06 08:56:49										
000000500189	1010	000000500189	MK190	MK190	2017.07.06 08:56:49										
000000500190	1010	000000500190	MK191	MK191	2017.07.06 08:56:49										
000000500191	1010	000000500191	MK192	MK192	2017.07.06 08:56:49										
000000500192	1010	000000500192	MK193	MK193	2017.07.06 08:56:49										
000000500193	1010	000000500193	MK194	MK194	2017.07.06 08:56:49										
000000500194	1010	000000500194	MK195	MK195	2017.07.06 08:56:49										
000000500195	1010	000000500195	MK196	MK196	2017.07.06 08:56:49										
000000500196	1010	000000500196	MK197	MK197	2017.07.06 08:56:49										
000000500197	1010	000000500197	MK198	MK198	2017.07.06 08:56:49										
000000500198	1010	000000500198	MK199	MK199	2017.07.06 08:56:49										
000000500199	1010	000000500199	MK200	MK200	2017.07.06 08:56:49										
000000500200	1010	000000500200	MK201	MK201	2017.07.06 08:56:49										
000000500201	1010	000000500201	MK202	MK202	2017.07.06 08:56:49										
000000500202	1010	000000500202	MK203	MK203	2017.07.06 08:56:49										
000000500203	1010	000000500203	MK204	MK204	2017.07.06 08:56:49										
000000500204	1010	000000500204	MK205	MK205	2017.07.06 08:56:49										
000000500205	1010	000000500205	MK206	MK206	2017.07.06 08:56:49										
000000500206	1010	000000500206	MK207	MK207	2017.07.06 08:56:49										
000000500207	1010	000000500207	MK208	MK208	2017.07.06 08:56:49										
000000500208	1010	000000500208	MK209	MK209	2017.07.06 08:56:49										
000000500209	1010	000000500209	MK210	MK210	2017.07.06 08:56:49										
000000500210	1010	000000500210	MK211	MK211	2017.07.06 08:56:49										
000000500211	1010	000000500211	MK212	MK212	2017.07.06 08:56:49										
000000500212	1010	000000500212	MK213	MK213	2017.07.06 08:56:49										
000000500213	1010	000000500213	MK214	MK214	2017.07.06 08:56:49										
000000500214	1010	000000500214	MK215	MK215	2017.07.06 08:56:49										
000000500215	1010	000000500215	MK216	MK216	2017.07.06 08:56:49										
000000500216	1010	000000500216	MK217	MK217	2017.07.06 08:56:49										
000000500217	1010	000000500217	MK218	MK218	2017.07.06 08:56:49										
000000500218	1010	000000500218	MK219	MK219	2017.07.06 08:56:49										
000000500219	1010	000000500219	MK220	MK220	2017.07.06 08:56:49										
000000500220	1010	000000500220	MK221	MK221	2017.07.06 08:56:49										
000000500221	1010	000000500221	MK222	MK222	2017.07.06 08:56:49										
000000500222	1010	000000500222	MK223	MK223	2017.07.06 08:56:49										
000000500223	1010	000000500223	MK224	MK224	2017.07.06 08:56:49										
000000500224	1010	000000500224	MK225	MK225	2017.07.06 08:56:49										
000000500225	1010	000000500225	MK226	MK226	2017.07.06 08:56:49										
000000500226	1010	000000500226	MK227	MK227	2017.07.06 08:56:49										
000000500227	1010	000000500227	MK228	MK228	2017.07.06 08:56:49										
000000500228	1010	000000500228	MK229	MK229	2017.07.06 08:56:49										
000000500229	1010	000000500229	MK230	MK230	2017.07.06 08:56:49										
000000500230	1010	000000500230	MK231	MK231	2017.07.06 08:56:49										
000000500231	1010	000000500231	MK232	MK232	2017.07.06 08:56:49										
000000500232	1010	000000500232	MK233	MK233	2017.07.06 08:56:49										
000000500233	1010	000000500233	MK234	MK234	2017.07.06 08:56:49										
000000500234	1010	000000500234	MK235	MK235	2017.07.06 08:56:49										
000000500235	1010	000000500235	MK236	MK236	2017.07.06 08:56:49										
000000500236	1010	000000500236	MK237	MK237	2017.07.06 08:56:49										
000000500237	1010	000000500237	MK238	MK238	2017.07.06 08:56:49										
000000500238	1010	000000500238	MK239	MK239	2017.07.06 08:56:49										
000000500239	1010	000000500239	MK240	MK240	2017.07.06 08:56:49										
000000500240	1010	000000500240	MK241	MK241	2017.07.06 08:56:49										
000000500241	1010	000000500241	MK242	MK242	2017.07.06 08:56:49										
000000500242	1010	000000500242	MK243	MK243	2017.07.06 08:56:49										
000000500243	1010	000000500243	MK244	MK244	2017.07.06 08:56:49										
000000500244	1010	000000500244	MK245	MK245	2017.07.06 08:56:49										
000000500245	1010	000000500245	MK246	MK246	2017.07.06 08:56:49										
000000500246	1010	000000500246	MK247	MK247	2017.07.06 08:56:49										
000000500247	1010	000000500247	MK248	MK248	2017.07.06 08:56:49										
000000500248	1010	000000500248	MK249	MK249	2017.07.06 08:56:49										
000000500249	1010	000000500249	MK250	MK250	2017.07.06 08:56:49										
000000500250	1010	000000500250	MK251	MK251	2017.07.06 08:56:49										
000000500251	1010	000000500251	MK252	MK252	2017.07.06 08:56:49										
000000500252	1010	000000500252	MK253	MK253	2017.07.06 08:56:49										
000000500253	1010	000000500253	MK254	MK254	2017.07.06 08:56:49										
000000500254	1010	000000500254	MK255	MK255	2017.07.06 08:56:49										
000000500255	1010	000000500255	MK256	MK256	2017.07.06 08:56:49										
000000500256	1010	000000500256	MK257	MK257	2017.07.06 08:56:49										
000000500257	1010	000000500257	MK258	MK258	2017.07.06 08:56:49										
000000500258	1010	000000500258	MK259	MK259	2017.07.06 08:56:49										
000000500259	1010	000000500259	MK260	MK260	2017.07.06 08:56:49										
000000500260	1010	000000500260	MK261	MK261	2017.07.06 08:56:49										
000000500261	1010	000000500261	MK262	MK262	2017.07.06 08:56:49										
000000500262	1010	000000500262	MK263	MK263	2017.07.06 08:56:49										
000000500263	1010	000000500263	MK264	MK264	2017.07.06 08:56:49										
000000500264	1010	000000500264	MK265	MK265	2017.07.06 08:56:49										
000000500265	1010	000000500265	MK266	MK266	2017.07.06 08:56:49										
000000500266	1010	000000500266	MK267	MK267	2017.07.06 08:56:49										
000000500267	1010	000000500267	MK268	MK268	2017.07.06 08:56:49										
000000500268	1010	000000500268	MK269	MK269	2017.07.06 08:56:49										
000000500269	1010	000000500269	MK270	MK270	2017.07.06 08:56:49										
000000500270	1010	000000500270	MK271	MK271	2017.07.06 08:56:49										
000000500271	1010	000000500271	MK272	MK272	2017.07.06 08:56:49										
000000500272	1010	000000500272	MK273	MK273	2017.07.06 08:56:49										
000000500273	1010	000000500273	MK274	MK274	2017.07.06 08:56:49										
000000500274	1010	000000500274	MK275	MK275	2017.07.06 08:56:49										
000000500275	1010	000000500275	MK276	MK276	2017.07.06 08:56:49										
000000500276	1010	000000500276	MK277	MK277	2017.07.06 08:56:49										
000000500277	1010	000000500277	MK278	MK278	2017.07.06 08:56:49										
000000500278	1010	000000500278	MK279	MK279	2017.07.06 08:56:49										
000000500279	1010	000000500279	MK280	MK280	2017.07.06 08:56:49										
000000500280	1010	000000500280	MK281	MK281	2017.07.06 08:56:49										
000000500281	1010	000000500281	MK282	MK282	2017.07.06 08:56:49										
000000500282	1010	000000500282	MK283	MK283	2017.07.06 08:56:49										
000000500283	1010	000000500283	MK284	MK284	2017.07.06 08:56:49										
000000500284	1010	000000500284	MK285	MK285	2017.07.06 08:56:49										
000000500285	1010	000000500285	MK286	MK286	2017.07.06 08:56:49										
000000500286	1010	000000500286	MK287	MK287	2017.07.06 08:56:49										
000000500287	1010	000000500287	MK288	MK288	2017.07.06 08:56:49										
000000500288	1010	000000500288	MK289	MK289	2017.07.06 08:56:49										
000000500289	1010	000000500289	MK290	MK290	2017.07.06 08:56:49										
000000500290	1010	000000500290	MK291	MK291	2017.07.06 08:56:49										
000000500291	1010	000000500291	MK292	MK292	2017.07.06 08:56:49										
000000500292	1010	000000500292	MK293	MK293	2017.07.06 08:56:49										
000000500293	1010	000000500293	MK294	MK294	2017.07.06 08:56:49										
000000500294	1010	000000500294	MK295	MK295	2017.07.06 08:56:49										
000000500295	1010	000000500295	MK296	MK296	2017.07.06 08:56:49										
000000500296	1010	000000500296	MK297	MK297	2017.07.06 08:56:49										
000000500297	1010	000000500297	MK298	MK298	2017.07.06 08:56:49										
000000500298	1010	000000500298	MK299	MK299	2017.07.06 08:56:49										
000000500299	1010	000000500299	MK300	MK300	2017.07.06 08:56:49										
000000500300	1010	000000500300	MK301	MK301	2017.07.06 08:56:49										
000000500301	1010	000000500301	MK302	MK302	2017.07.06 08:56:49										
000000500302	1010	000000500302	MK303	MK303	2017.07.06 08:56:49										
000000500303	1010	000000500303	MK304	MK304	2017.07.06 08:56:49										
000000500304	1010	000000500304	MK305	MK305	2017.07.06 08:56:49										
000000500305	1010	000000500305	MK306	MK306	2017.07.06 08:56:49										
000000500306	1010	000000500306	MK307	MK307	2017.07.06 08:56:49										
000000500307	1010	000000500307	MK308	MK308	2017.07.06 08:56:49										
000000500308	1010	000000500308	MK309	MK309	2017.07.06 08:56:49										
000000500309	1010	000000500309	MK310	MK310	2017.07.06 08:56:49										
000000500310	1010	000000500310	MK311	MK311	2017.07.06 08:56:49										
000000500311	1010	000000500311	MK312	MK312	2017.07.06 08:56:49										
000000500312	1010	000000500312	MK313	MK313	2017.07.06 08:56:49										
000000500313	1010	000000500313	MK314	MK314	2017.07.06 08:56:49										
000000500314	1010	000000500314	MK315	MK315	2017.07.06 08:56:49										
000000500315	1010	000000500315	MK316	MK316	2017.07.06 08:56:49										
000000500316	1010	000000500316	MK317	MK317	2017.07.06 08:56:49										
000000500317	1010	000000500317	MK318	MK318	2017.07.06 08:56:49										
000000500318	1010	000000500318	MK319	MK319	2017.07.06 08:56:49										
000000500319	1010	000000500319	MK320	MK320	2017.07.06 08:56:49										
000000500320	1010	000000500320	MK321	MK321	2017.07.06 08:56:49										
000000500321	1010	000000500321	MK322	MK322	2017.07.06 08:56:49										
000000500322	1010	000000500322	MK323	MK323	2017.07.06 08:56:49										
000000500323	1010	000000500323	MK324	MK324	2017.07.06 08:56:49										
000000500324	1010	000000500324	MK325	MK325	2017.07.06 08:56:49										
000000500325	1010	000000500325	MK326	MK326	2017.07.06 08:56:49										
000000500326	1010	000000500326	MK327	MK327	2017.07.06 08:56:49										
000000500327	1010	000000500327	MK328	MK328	2017.07.06 08:56:49										
000000500328	1010	000000500328	MK329	MK329	2017.07.06 08:56:49										
000000500329	1010	000000500329	MK330	MK330	2017.07.06 08:56:49										
000000500330	1010	000000500330	MK331	MK331	2017.07.06 08:56:49										
000000500331	1010	000000500331	MK332	MK332	2017.07.06 08:56:49										
000000500332	1010	000000500332	MK333	MK333	2017.07.06 08:56:49										
000000500333	1010	000000500333	MK334	MK334	2017.07.06 08:56:49										
000000500334	1010	000000500334	MK335	MK335	2017.07.06 08:56:49										
000000500335	1010	000000500335	MK336	MK336	2017.07.06 08:56:49										
000000500336	1010	000000500336	MK337	MK337	2017.07.06 08:56:49										
000000500337	1010	000000500337	MK338	MK338	2017.07.06 08:56:49										
000000500338	1010	000000500338	MK339	MK339	2017.07.06 08:56:49										
000000500339	1010	000000500339	MK340	MK340	2017.07.06 08:56:49										
000000500340	1010	000000500340	MK341	MK341	2017.07.06 08:56:49										
000000500341	1010	000000500341	MK342	MK342	2017.07.06 08:56:49										
000000500342	1010	000000500342	MK343	MK343	2017.07.06 08:56:49										
000000500343	1010	000000500343	MK344	MK344	2017.07.06 08:56:49										
000000500344	1010	000000500344	MK345	MK345	2017.07.06 08:56:49										
000000500345	1010	000000500345	MK346	MK346	2017.07.06 08:56:49										
000000500346	1010	000000500346	MK347	MK347	2017.07.06 08:56:49										
000000500347	1010	000000500347	MK348	MK348	2017.07.06 08:56:49										
000000500348	1010	000000500348	MK349	MK349	2017.07.06 08:56:49										
000000500349	1010	000000500349	MK350	MK350	2017.07.06 08:56:49										
000000500350	1010	000000500350	MK351	MK351	2017.07.06 08:56:49										
000000500351	1010	000000500351	MK352	MK352	2017.07.06 08:56:49										
000000500352	1010	000000500352	MK353	MK353	2017.07.06 08:56:49										
000000500353	1010	000000500353	MK354	MK354	2017.07.06 08:56:49										
000000500354	1010	000000500354	MK355	MK355	2017.07.06 08:56:49										
000000500355	1010	000000500355	MK356	MK356	2017.07.06 08:56:49										
000000500356	1010	000000500356	MK357	MK357	2017.07.06 08:56:49										
000000500357	1010	000000500357	MK358	MK358	2017.07.06 08:56:49										
000000500358	1010	000000500358	MK359	MK359	2017.07.06 08:56:49										
000000500359	1010	000000500359	MK360	MK360	2017.07.06 08:56:49										
000000500360	1010	000000500360	MK361	MK361	2017.07.06 08:56:49										
000000500361	1010	000000500361	MK362	MK362	2017.07.06 08:56:49										
000000500362	1010	000000500362	MK363	MK363	2017.07.06 08:56:49										
000000500363	1010	000000500363	MK364	MK364	2017.07.06 08:56:49										
000000500364	1010	000000500364	MK365	MK365	2017.07.06 08:56:49										
000000500365	1010	000000500365	MK366	MK366	2017.07.06 08:56:49										
000000500366	1010	000000500366	MK367	MK367	2017.07.06 08:56:49										
000000500367	1010	000000500367	MK368	MK368	2017.07.06 08:56:49										
000000500368	1010	000000500368	MK369	MK369	2017.07.06 08:56:49										
000000500369	1010	000000500369	MK370	MK370	2017.07.06 08:56:49										
000000500370	1010	000000500370	MK371	MK371	2017.07.06 08:56:49										
000000500371	1010	000000500371	MK372	MK372	2017.07.06 08:56:49										
000000500372	1010	000000500372	MK373	MK373	2017.07.06 08:56:49										
000000500373	1010	000000500373	MK374	MK374	2017.07.06 08:56:49										
000000500374	1010	000000500374	MK375	MK375	2017.07.06 08:56:49										
000000500375	1010	000000500375	MK376	MK376	2017.07.06 08:56:49										
000000500376	1010	000000500376	MK377	MK377	2017.07.06 08:56:49										
000000500377	1010	000000500377	MK378	MK378	2017.07.06 08:56:49										
000000500378	1010	000000500378	MK379	MK379	2017.07.06 08:56:49										
000000500379	1010	000000500379	MK380	MK380	2017.07.06 08:56:49										
000000500380	1010	000000500380	MK381	MK381	2017.07.06 08:56:49										
000000500381	1010	000000500381	MK382	MK382	2017.07.06 08:56:49										
000000500382	1010	000000500382	MK383	MK383	2017.07.06 08:56:49										
000000500383	1010	000000500383	MK384	MK384	2017.07.06 08:56:49										
000000500384	1010	000000500384	MK385	MK385	2017.07.06 08:56:49										
000000500385	1010	000000500385	MK386	MK386	2017.07.06 08:56:49										
