LEGACY_SCB_IND	SCB_IND	REP_REC_DOC_TYPE	INDICATOR_ACC_SERV_SPEC	REASON_FOR_PAYMENT	REASON_FOR_PAYMENT_2	EDI_DOC_TYPE	DI_TIMESTAMP								
207	207	2	207	Erwerb bzw. Veräußerung von Kapitalbeteil., Kapitaleinz., Kapitalerhöh	und Kapitalherab. bei ausländischen nicht börsennotierten Aktiengesell	 	2017.07.06 08:56:49								
208	208	2	208	Einzahlungen i.d. Kapitalrückl. und Rückzahl. bei ausländ. Aktienges.	einschl. der Zuschüsse zum Ausgleich von bilanzierten Verlustvorträgen	 	2017.07.06 08:56:49								
211	211	2	211	Erwerb bzw. Veräuß. von Kapitalbeteil., Kapitaleinz., Kapitalerhöh. u.	Kapitalherab. bei ausl. Nicht-Aktienges. - Zahl. b. ausl. Betriebsstät	 	2017.07.06 08:56:49								
212	212	2	212	Einz. i.d. Kapitalrückl. und Rückzahl. bei ausländ. Nicht-Aktienges.	einschl. der Zuschüsse zum Ausgleich von bilanzierten Verlustvorträgen	 	2017.07.06 08:56:49								
219	219	4	219	Gew. u. Rückz. v. Kred. m. Lz. > 12M d. inl. Fin.töchter a. ausl. Unt.	, die an Ihnen unmittelbar oder mittelbar beteiligt sind	 	2017.07.06 08:56:49								
221	221	2	221	Gewähr. u. Rückz. von Krediten an Ausl., Dot. u. Rückz. v. Guthaben	b. ausl. Banken, Abtr. Ausl.Ford > 12 Mon. durch Untern. u. Privatper.	 	2017.07.06 08:56:49								
222	222	2	222	Gewähr. u. Rückz. von Krediten, Laufzeit > 12 Mon. d. inl. Untern. u.	Privatper. & öffentl. Haush. an ausl. beteil. Untern. u. Betriebsst.	 	2017.07.06 08:56:49								
223	223	2	223	Erw. u. Abtr. , Tilg. v. Schuldscheindarl., Namenschuldver., Pfandbr.	u.ä. n. börsenfäh. WP ausl. Emit., Laufz. > 12 Mon., d. inl. Untern.	 	2017.07.06 08:56:49								
228	228	4	228	Gewähr. u. Rückz. von Krediten, Laufzeit > 12 Mon. d. inl. Untern.	an ausl. Untern. mit gemeinsamen Direktinvestor	 	2017.07.06 08:56:49								
227	227	4	227	Gew. u. Rückz. v. Kred. m. Lz. > 12M d. inl. Unt. a. ausl. Untern.,d.	bet. sind, sowie Kredite, d. inl. ZN u. BS an ihre ausl. Zentralen geb	 	2017.07.06 08:56:49								
232	232	2	232	Kauf u. Verk. v. Immob. u. Grundst. im Ausland sowie Erwer und Veräuß.	v. Anteilen an geschl. Immob.fonds durch inländische Untern. u.Privatp	 	2017.07.06 08:56:49								
236	236	2	236	Erwerb bzw. Veräuß. von Kapitalbeteil., Kapitaleinz., Kapitalerhöh. u.	Kapitalherab. v. Untern.anteilen, nicht in Aktien, d. inl. Untern.u.Pe	 	2017.07.06 08:56:49								
247	247	4	247	Erw. bzw. Ver. Kap.bet. a. inl. n.börsenn. Unt. als AG sowie Kap.einz.	, Kap.erh., Kap.herabs. in F. v. inl. Aktien. ausg. d. n. börsenn. Unt	 	2017.07.06 08:56:49								
248	248	4	248	Einz. i.d. Kap.rückl. u.Rückzahl. einschl. d. Zusch. z. Ausgl. v. bil.	Verl.vortr. i.F.v. inl. Aktien, ausgeg. d. börsennot. Unternehmen	 	2017.07.06 08:56:49								
251	251	2	251	Erw. bzw. Ver. v. Kap.bet. a. inl. Unt., d.n. AG sind, sowie Kap.einz.	, Kap.herbs. b.d. inl. Unt. Zahl.b.Err.u.Aufh.,Erw.u.Ver.v.inl.ZN ausl	 	2017.07.06 08:56:49								
345	345	4	345	Übrige Geldmarktpapiere inländischer öffentlicher Emittenten	 	 	2017.07.06 08:56:49								
351	351	4	351	Gew. u. Rückzahl. v. Krediten (sowie offene Abtret. v. Inl.ford.) m.	Lz. > 12M a. inl. Öffentliche Haushalte	 	2017.07.06 08:56:49								
360	360	2	360	Transportnebenleistungen für den Luftverkehr	 	 	2017.07.06 08:56:49								
252	252	4	252	Einz. i.d. Kap.rückl. u. Rückz. bei inl. Unt., d.n. AG sind, einschl.	d. Zusch. von bilanzierten Verlustvorträgen b.diesen Unternehmen	 	2017.07.06 08:56:49								
258	258	4	258	Nichtbankaktien inländischer Emittenten	 	 	2017.07.06 08:56:49								
261	261	4	261	Gew. u. Rückzahl. v. Krediten (sowie offene Abtret. v. Inl.ford.) m.	Lz. > 12M a. inl. Finanzielle Unternehmen	 	2017.07.06 08:56:49								
262	262	4	262	Auf. u. Rückz. v. Kred. m. Lz. > 12M d. inl. Unt. b. ausl. Untern.,d.	bet. sind, soie Kred.aufn. v. inl. ZN u. BS b. ihren ausl. Zentralen	 	2017.07.06 08:56:49								
263	263	4	263	Erstabs. u. off. Abtret. sowie Til. o. Rückerw. v. lgfrist. n.börsenn.	(Lz > 12M) d. Inländer: Emissionen von finanziellen Unternehmen	 	2017.07.06 08:56:49								
267	267	2	267	Aufnahme u. Rückz. von Krediten, Laufzeit > 12 Mon. d. inl. Untern. u.	Privatper. & öffentl. Haush. an ausl. beteil. Untern. u. Betriebsst.	 	2017.07.06 08:56:49								
268	268	4	268	Aufnahme u. Rückz. von Krediten, Laufzeit > 12 Mon. d. inl. Untern.	an ausl. Untern. mit gemeinsamen Direktinvestor	 	2017.07.06 08:56:49								
269	269	2	269	Aufnahme u. Rückz. von Krediten, Laufzeit > 12 Mon. d. inl. Untern. u.	Privatper. & öffentl. Haush. an ausl. beteil. Finanzierungstöchtern	 	2017.07.06 08:56:49								
272	272	4	272	Kauf u. Verk. v. Immo. u. Grundst. im Inl. oder v. im Inl. aufge. Zert	geschl. Immo.fonds durch Unternehmen u. Privatpersonen	 	2017.07.06 08:56:49								
275	275	4	275	St. Abtr. u. Til. v.kfr. Inl.ford. u.n. börsennot. Wertpap. (bis 12M)	d. Inländer, untersch. n. Schuldnergr.: Finanz. Unternehmen	 	2017.07.06 08:56:49								
276	276	4	276	St. Abtr. u. Til. v. lgfr. Inl.ford. und nicht-börsennot. Wertpap.	(Lz > 12M) d. Inl., untersch. n. Sculdnergr.: Finanzielle Unternehmen	 	2017.07.06 08:56:49								
278	278	4	278	Erw. u. Ver. v. Kap.bet., Kap.einz., Kap.erh. u. Kap.herabs. v. nicht	in Aktien verbr. Unt.ant. an inl. Unternehmen	 	2017.07.06 08:56:49								
279	279	4	279	Erwerb und Veräußerung von Übrigen Kapitalanlagen im Inland bei inländ	Unternehmen und Privatpersonen	 	2017.07.06 08:56:49								
280	280	4	280	Pacht- und Mieterträge sowie –aufwendungen von inländischen	Unternehmen und Privatpersonen	 	2017.07.06 08:56:49								
282	282	4	282	Zinsen auf Wertpapiere ausländischer öffentlicher Emittenten, die von	inländischen Unternehmen u. Privatpersonen vereinnahmt werden	 	2017.07.06 08:56:49								
283	283	4	283	Zinsen auf Wertpapiere ausländischer privater Emittenten, die von inl.	Unternehmen und Privatpersonen vereinahmt werden	 	2017.07.06 08:56:49								
284	284	4	284	Zinseinnahmen und –ausgaben der Unternehmen und Privatpersonen	aus Bankguthaben, Krediten etc.	 	2017.07.06 08:56:49								
310	310	2	310	Transportnebenleistungen für den Seeverkehr	 	 	2017.07.06 08:56:49								
339	339	2	339	Erwerb und Veräußerung von Übrigen Kapitalanlagen im Ausland durch	inländische öffentliche Haushalte	 	2017.07.06 08:56:49								
285	285	4	285	Erträge aus ausländischen Aktien oder Genussscheinen, die an Ausl. gez	werden bzw. die über ausl. Lagerstellen an Inländer gezahlt werden	 	2017.07.06 08:56:49								
286	286	4	286	Erträge aus Anteilen an sonstigen Kapitalgesellschaften (z.B.GmbH-Ant)	die von inl. Untern. u. Privatpersonen vereinnahmt oder gezahlt werden	 	2017.07.06 08:56:49								
287	287	4	287	Erträge aus sonstigen Geschäfts- und Kapitalanteilen (z.B.Kommand.Ant)	sowie ZN, die von inl. Untern. u. Privatpers. vereinnahmt oder gez. we	 	2017.07.06 08:56:49								
288	288	4	288	Erträge aus Anteilen an Aktiengesellschaften, die von inländischen	Unternehmen und Privatpersonen vereinahmt oder gezahlt werden	 	2017.07.06 08:56:49								
289	289	4	289	Kred.v. Dir.Invest. an Tochterunt. : Zinsen für inl. Dir.Invest. sowie	Zinsen für inl. Tochterunt. von ihren ausl. Dir.Investoren	 	2017.07.06 08:56:49								
290	290	4	290	Ver. o. gel. Zusch. v. Unt. z. Verm. v. Verl.vortr. bzw. Jahr.fehlbetr	sowie Übern. d. neg. Betr.erg. von BS u. ZN aus Ergeb. d. gewöhnl. Gt.	 	2017.07.06 08:56:49								
297	297	4	297	Aufw.u.Ertr.v.Unt.u.Priv.pers.sowie öffentl.Haush.a.sonst.n.i.Wertpap.	verbr. Unternehmensbet. bei ausl. bzw. inl. Nicht-Aktiengesellschaften	 	2017.07.06 08:56:49								
321	321	2	321	Gewähr. u. Rückz. von Krediten an Ausl., Dot. u. Rückz. v. Guthaben	b. ausl. Banken, Abtr. Ausl.Ford > 12 Mon. durch öffentl. Haushalte	 	2017.07.06 08:56:49								
323	323	2	323	Erw. u. Abtr. , Tilg. v. Schuldscheindarl., Namenschuldver., Pfandbr.	u.ä. n. börsenfäh. WP ausl. Emit., Laufz. > 12 Mon., d. öffentl. Haush	 	2017.07.06 08:56:49								
332	332	2	332	Kauf u. Verk. v. Immob. u. Grundst. im Ausland sowie Erwer und Veräuß.	v. Anteilen an geschl. Immob.fonds durch öffentliche Haushalte	 	2017.07.06 08:56:49								
336	336	2	336	Erwerb bzw. Veräuß. von Kapitalbeteil., Kapitaleinz., Kapitalerhöh. u.	Kapitalherab. v. Untern.anteilen, nicht in Aktien, d. öffentl. Haush.	 	2017.07.06 08:56:49								
352	352	4	352	St. Abtr. u. Til. v. lgfr. Inl.ford. und nicht-börsennot. Wertpap.	(Lz > 12M) d. Inl., untersch. n. Sculdnergr.: Öffentliche Haushalte	 	2017.07.06 08:56:49								
361	361	2	361	Bedarf für Transportmittel	 	 	2017.07.06 08:56:49								
366	366	4	366	Erstabs. u. off. Abtret. sowie Til. o. Rückerw. v. lgfrist. n.börsenn.	(Lz > 12M) d. Inländer: Emissionen des Bundes	 	2017.07.06 08:56:49								
367	367	4	367	Erstabs. u. off. Abtret. sowie Til. o. Rückerw. v. lgfrist. n.börsenn.	(Lz > 12M) d. Inländer: Emissionen der Länder	 	2017.07.06 08:56:49								
466	466	4	466	Variabel verzinsliche Euro-Anleihen inländischer Unternehmen	 	 	2017.07.06 08:56:49								
467	467	2	467	Ausländische Emissionszertifikate	 	 	2017.07.06 08:56:49								
491	491	4	491	Festverzinsliche Fremdwährungsanleihen inländischer MFIs	 	 	2017.07.06 08:56:49								
492	492	4	492	Festverzinsliche Fremdwährungsanleihen inländischer Unternehmen	 	 	2017.07.06 08:56:49								
495	495	4	495	Variabel verzinsliche Fremdwährungsanleihen inländischer MFIs	 	 	2017.07.06 08:56:49								
368	368	4	368	Erstabs. u. off. Abtret. sowie Til. o. Rückerw. v. lgfrist. n.börsenn.	(Lz > 12M) d. Inländer: Emissionen von Städten u. Gemeinden	 	2017.07.06 08:56:49								
372	372	4	372	Kauf u. Verk. v. Immo. u. Grundst. im Inl. oder v. im Inl. aufge. Zert	geschl. Immo.fonds durch Öffentliche Haushalte	 	2017.07.06 08:56:49								
373	373	4	373	St. Abtr. u. Til. v.kfr. Inl.ford. u.n. börsennot. Wertpap. (bis 12M)	d. Inländer, untersch. n. Schuldnergr.: Öffentliche Haushalte	 	2017.07.06 08:56:49								
379	379	4	379	Erwerb und Veräußerung von Übrigen Kapitalanlagen im Inland bei inländ	Öffentlichen Haushalten	 	2017.07.06 08:56:49								
380	380	4	380	Pacht- und Mieterträge sowie –aufwendungen von inländischen	Öffentlichen Haushalten	 	2017.07.06 08:56:49								
382	382	4	382	Zinsen auf Wertpapiere inländischer öffentlicher Emittenten, die an	Ausl. gez. w. bzw. die Inl. als erste inl. St. v. ausl. Lagerst. erhal	 	2017.07.06 08:56:49								
384	384	4	384	Zinseinnahmen und –ausgaben der öffentlichen Haushalte aus Bankguthabe	n, Krediten, etc	 	2017.07.06 08:56:49								
400	400	2	400	Lebensversicherungen inländischer Versicherungsnehmer	 	 	2017.07.06 08:56:49								
401	401	2	401	Lebensversicherungszweitmarkt	 	 	2017.07.06 08:56:49								
410	410	2	410	Transportversicherung inländischer Versicherungsnehmer	 	 	2017.07.06 08:56:49								
420	420	2	420	Sonstiger Versicherungsverkehr inländischer Versicherungsnehmer	 	 	2017.07.06 08:56:49								
440	440	2	440	Lebensversicherungen inländischer Versicherungsnehmer mit Ausländern	 	 	2017.07.06 08:56:49								
441	441	2	441	Transportversicherung inländischer Versicherungsgeber -	Versicherungsvertrag mit Ausländern	 	2017.07.06 08:56:49								
442	442	2	442	Sonstiger Versicherungsverkehr inländischer Versicherungsnehmer -	Versicherungsvertrag mit Ausländern	 	2017.07.06 08:56:49								
443	443	2	443	Lebensversicherungen inländischer Versicherungsgeber mit Inländern	 	 	2017.07.06 08:56:49								
444	444	2	444	Transportversicherung inländischer Versicherungsgeber -	Versicherungsvertrag mit Inländern	 	2017.07.06 08:56:49								
445	445	2	445	Sonstiger Versicherungsverkehr inländischer Versicherungsnehmer -	Versicherungsvertrag mit Inländern	 	2017.07.06 08:56:49								
449	449	2	449	Gewinnbeteiligung bei Rückversicherungen	 	 	2017.07.06 08:56:49								
450	450	2	450	Abgehendes (Retro-) Geschäft	 	 	2017.07.06 08:56:49								
451	451	2	451	Eingehendes (Rück-) Geschäft	 	 	2017.07.06 08:56:49								
460	460	2	460	Sonstige Einnahmen von Versicherungen	 	 	2017.07.06 08:56:49								
461	461	4	461	Festverzinsliche Euro-Anleihen inländischer MFIs	 	 	2017.07.06 08:56:49								
462	462	4	462	Festverzinsliche Euro-Anleihen inländischer Unternehmen	 	 	2017.07.06 08:56:49								
465	465	4	465	Variabel verzinsliche Euro-Anleihen inländischer MFIs	 	 	2017.07.06 08:56:49								
496	496	4	496	Variabel verzinsliche Fremdwährungsanleihen inländischer Unternehmen	 	 	2017.07.06 08:56:49								
507	507	4	507	Inländische Emissionszertifikate	 	 	2017.07.06 08:56:49								
517	517	2	517	Personalleasing	 	 	2017.07.06 08:56:49								
521	521	2	521	Entgelte für nicht-selbständige Arbeit	 	 	2017.07.06 08:56:49								
523	523	2	523	Provisionen	 	 	2017.07.06 08:56:49								
525	525	4	525	Gehaltszahlungen an ausländische Beschäftigte bei deutschen	Botschaften und Konsulaten	 	2017.07.06 08:56:49								
526	526	4	526	Renten	 	 	2017.07.06 08:56:49								
527	527	4	527	Pensionen	 	 	2017.07.06 08:56:49								
528	528	4	528	Kriegsopferversorgung	 	 	2017.07.06 08:56:49								
529	529	4	529	Sonstige Renten	 	 	2017.07.06 08:56:49								
533	533	2	533	Finanzdienstleistungen	 	 	2017.07.06 08:56:49								
534	534	2	534	Entsorgungsleistungen	 	 	2017.07.06 08:56:49								
536	536	2	536	Juristische Dienstleistungen	 	 	2017.07.06 08:56:49								
540	540	2	540	Werbung, Marktforschung, Messekosten	 	 	2017.07.06 08:56:49								
546	546	2	546	Wirtschaftsprüfung, Buchführung, Steuerberatung	 	 	2017.07.06 08:56:49								
549	549	2	549	Forschung und Entwicklung	 	 	2017.07.06 08:56:49								
551	551	2	551	Produkttests	 	 	2017.07.06 08:56:49								
553	553	2	553	Technische Dienstleistungen	 	 	2017.07.06 08:56:49								
554	554	2	554	Architekturdienstleistungen	 	 	2017.07.06 08:56:49								
555	555	2	555	Ingenieur-Dienstleistungen	 	 	2017.07.06 08:56:49								
556	556	2	556	Kaufmännische Dienstleistungen	 	 	2017.07.06 08:56:49								
558	558	2	558	Dienstleistungen für Landwirtschaft und Bergbau	 	 	2017.07.06 08:56:49								
561	561	2	561	Reparatur von Gebäuden und anderen nicht beweglichen Sachen	 	 	2017.07.06 08:56:49								
564	564	2	564	Herstellung von audiovisuellen und sonstigen künstlerischen Produkten	 	 	2017.07.06 08:56:49								
566	566	2	566	Wartung und Reparatur	 	 	2017.07.06 08:56:49								
567	567	2	567	Lohnfertigung	 	 	2017.07.06 08:56:49								
569	569	2	569	Einnahmen für Baustellen im Ausland, die länger als ein Jahr bestehen	Einnahmen für Baustellen im Inland, die länger als ein Jahr bestehen	 	2017.07.06 08:56:49								
571	571	2	571	Sonstige produktbezogene oder unternehmensbezogene Dienstleistungen	 	 	2017.07.06 08:56:49								
572	572	2	572	Nachrichten- und Informationsdienste	 	 	2017.07.06 08:56:49								
573	573	2	573	EDV-Dienstleistungen	 	 	2017.07.06 08:56:49								
574	574	2	574	Speicherung von Informationen sowie Bereitstellung entsprechender	Infrastruktur	 	2017.07.06 08:56:49								
570	570	2	570	Einnahmen aus Baustellen im Ausland, die kürzer als ein Jahr bestehen	Einnahmen aus Baustellen im Inland, die kürzer als ein Jahr bestehen	 	2017.07.06 08:56:49								
576	576	2	576	Kommunikationsdienstleistungen	 	 	2017.07.06 08:56:49								
579	579	2	579	Ausgaben für Baustellen im Ausland, die länger als ein Jahr bestehen	Ausgaben für Baustellen im Inand, die länger als ein Jahr bestehen	 	2017.07.06 08:56:49								
580	580	2	580	Ausgaben für Baustellen im Ausland, die kürzer als ein Jahr bestehen	Ausgaben für Baustellen im Inand, die kürzer als ein Jahr bestehen	 	2017.07.06 08:56:49								
583	583	4	583	Zinsen auf Wertpapiere ausländischer privater Emittenten, die von inl.	MFIs vereinahmt werden	 	2017.07.06 08:56:49								
584	584	4	584	Swapzinsen und Ausgleichszahlungen	 	 	2017.07.06 08:56:49								
585	585	4	585	Erträge auf ausländische Investmentzertifikate, die von inländischen	MFIs vereinnahmt oder gezahlt werden	 	2017.07.06 08:56:49								
594	594	2	594	Miete und Operationelles Leasing	 	 	2017.07.06 08:56:49								
600	600	2	600	Zahlungen im Zusammenhang mit deutschen Ein- und Ausfuhren und	Verbringungen, die den Wert der Ware reduzieren	 	2017.07.06 08:56:49								
601	601	2	601	Abgaben im Zusammenhang mit deutschen Ein- und Ausfuhren	 	 	2017.07.06 08:56:49								
602	602	2	602	Zahlungen im Zusammenhang mit deutschen Ein- und Ausfuhren und	Verbringungen, die den Wert der Ware erhöhen	 	2017.07.06 08:56:49								
606	606	2	606	Ausländische Geldmarktfondszertifikate mit Ertragsausschüttung	(auch bei Wahlmöglichkeit zwischen Barausschüttung und Thesaurierung)	 	2017.07.06 08:56:49								
607	607	2	607	Ausländische thesaurierende Geldmarktfonds	 	 	2017.07.06 08:56:49								
610	610	2	610	Gewährleistungen, Ersatz- und Rückzahlungen sowie Preisnachlässe im	Dienstleistungsverkehr mit dem Ausland	 	2017.07.06 08:56:49								
613	613	2	613	Nutzung von Software	 	 	2017.07.06 08:56:49								
